Année LFI;Type de Budget (Hors Budgets annexes);Code Mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;Code Catégorie;Catégorie;AE LFI 2019;CP LFI 2019;Code Titre;Titre;Code Ministère;Ministère
2019;Budget général;MA;Médias, livre et industries culturelles;334;Livre et industries culturelles;02;Industries culturelles;;;64;Transferts aux autres collectivités;15258687;15258687;6;Dépenses d’intervention;MIN02;Culture
2019;Budget général;DC;Direction de l'action du Gouvernement;308;Protection des droits et libertés;13;Commission du secret de la Défense nationale;;;23;Prestations sociales et allocations diverses;2465;2465;2;Dépenses de personnel;MIN12;Services du Premier ministre
2019;Budget général;TR;Action et transformation publiques;348;Rénovation des cités administratives et autres sites domaniaux multi-occupants;13;Acquisitions, construction;;;51;Dépenses pour immobilisations corporelles de l’État;382000000;28000000;5;Dépenses d’investissement;MIN07;Action et comptes publics
2019;Budget général;SE;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;11;Systèmes d'information;;;31;Dépenses de fonctionnement autres que celles de personnel;48597690;47277011;3;Dépenses de fonctionnement;MIN56;Solidarités et santé
2019;Budget général;VA;Cohésion des territoires;147;Politique de la ville;01;Actions territorialisées et Dispositifs spécifiques de la politique de la ville;;;64;Transferts aux autres collectivités;267896674;267896674;6;Dépenses d’intervention;MIN45;Cohésion des territoires et relations avec les collectivités territoriales
2019;Budget général;RB;Régimes sociaux et de retraite;197;Régimes de retraite et de sécurité sociale des marins;01;Régimes de retraite et de sécurité sociale des marins;;;32;Subventions pour charges de service public;10674026;10674026;3;Dépenses de fonctionnement;MIN23;Transition écologique et solidaire
2019;Budget général;VA;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;04;Instruments de pilotage et d'étude;;;22;Cotisations et contributions sociales;5890316;5890316;2;Dépenses de personnel;MIN45;Cohésion des territoires et relations avec les collectivités territoriales
2019;Budget général;JA;Justice;310;Conduite et pilotage de la politique de la justice;03;Évaluation, contrôle, études et recherche;;;21;Rémunérations d’activité;11634145;11634145;2;Dépenses de personnel;MIN10;Justice
2019;Budget général;DA;Défense;212;Soutien de la politique de la défense;67;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;04;Délégation à l'Information et la Communication de la Défense;23;Prestations sociales et allocations diverses;2208;2208;2;Dépenses de personnel;MIN70;Armées
2019;Budget général;DC;Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;11;Stratégie et prospective;;;23;Prestations sociales et allocations diverses;233873;233873;2;Dépenses de personnel;MIN12;Services du Premier ministre
