Année LFI;Type de Budget;Code Mission;Mission;Code Programme;Programme;"T2 AE=CP 
 LFI 2019";"AE HORS T2 
LFI 2019";CP HORS T2 LFI 2019;AE (T2 + HORS T2)  LFI2019;CP (T2 + HORS T2)  LFI 2019;ETPT LFI 2019;Code Ministère;Ministère
2019;Budget général;TR;Action et transformation publiques;348;Rénovation des cités administratives et autres sites domaniaux multi-occupants;;900000000;100000000;900000000;100000000;;MIN07;Action et comptes publics
2019;Budget général;PB;Pouvoirs publics;501;Présidence de la République;;103000000;103000000;103000000;103000000;;MIN07;Action et comptes publics
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;862;Prêts pour le développement économique et social;;50000000;50000000;50000000;50000000;;MIN21;Économie et finances
2019;Budget général;VA;Cohésion des territoires;162;Interventions territoriales de l'État;;35569445;25669445;35569445;25669445;;MIN12;Services du Premier ministre
2019;Budget général;SE;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;1947603;10465196245;10465196245;10467143848;10467143848;;MIN56;Solidarités et santé
2019;Budget général;SB;Sécurités;207;Sécurité et éducation routières;;42781626;41686024;42781626;41686024;;MIN09;Intérieur
2019;Budget général;AV;Investissements d'avenir;423;Accélération de la modernisation des entreprises;;0;404000000;0;404000000;;MIN12;Services du Premier ministre
2019;Budget général;RC;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;;3657202636;3166043198;3657202636;3166043198;;MIN45;Cohésion des territoires et relations avec les collectivités territoriales
2019;Comptes d'affectation spéciale;YF;Développement agricole et rural;776;Recherche appliquée et innovation en agriculture;;71000000;71000000;71000000;71000000;;MIN03;Agriculture et alimentation
2019;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;842;ARTE France;;283330563;283330563;283330563;283330563;;MIN07;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;742;Ouvriers des établissements industriels de l'État;1927030000;7870000;7870000;1934900000;1934900000;;MIN07;Action et comptes publics
2019;Budget général;TA;Écologie, développement et mobilité durables;181;Prévention des risques;46446540;791882139;786355707;838328679;832802247;432;MIN23;Transition écologique et solidaire
2019;Budget général;SA;Santé;183;Protection maladie;;942390779;942390779;942390779;942390779;;MIN56;Solidarités et santé
2019;Budget général;RA;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles;222244448;129708789;130571510;351953237;352815958;2787;MIN03;Agriculture et alimentation
2019;Budget général;AA;Action extérieure de l'État;347;Présidence française du G7;;22000000;24400000;22000000;24400000;;MIN01;Europe et affaires étrangères
2019;Budgets annexes;XC;Contrôle et exploitation aériens;614;Transports aériens, surveillance et certification;;42370969;42370969;42370969;42370969;;MIN23;Transition écologique et solidaire
2019;Budgets annexes;XJ;Publications officielles et information administrative;624;Pilotage et ressources humaines;65912746;47859000;47559000;113771746;113471746;663;MIN12;Services du Premier ministre
2019;Budget général;VA;Cohésion des territoires;147;Politique de la ville;19419002;649516080;489516080;668935082;508935082;299;MIN45;Cohésion des territoires et relations avec les collectivités territoriales
2019;Budget général;SB;Sécurités;152;Gendarmerie nationale;7489870819;2012204162;1321985724;9502074981;8811856543;100491;MIN09;Intérieur
2019;Comptes de concours financiers;ZA;Accords monétaires internationaux;812;Relations avec l'Union monétaire d'Afrique centrale;;0;0;0;0;;MIN21;Économie et finances
2019;Budget général;TR;Action et transformation publiques;352;Fonds pour l'accélération du financement des start-up d'État;;7200000;2100000;7200000;2100000;;MIN07;Action et comptes publics
2019;Comptes d'affectation spéciale;YL;Aides à l'acquisition de véhicules propres;797;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres au bénéfice des particuliers;;132000000;132000000;132000000;132000000;;MIN23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YM;Participation de la France au désendettement de la Grèce;795;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus sur les titres grecs;;118000000;125700000;118000000;125700000;;MIN21;Économie et finances
2019;Budget général;TA;Écologie, développement et mobilité durables;217;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;2765896155;189956043;227458189;2955852198;2993354344;38941;MIN23;Transition écologique et solidaire
2019;Budget général;EB;Engagements financiers de l'État;117;Charge de la dette et trésorerie de l'État (crédits évaluatifs);;42061000000;42061000000;42061000000;42061000000;;MIN21;Économie et finances
2019;Budget général;EC;Enseignement scolaire;143;Enseignement technique agricole;972133579;494703246;494703246;1466836825;1466836825;15361;MIN03;Agriculture et alimentation
2019;Budget général;TR;Action et transformation publiques;351;Fonds d'accompagnement interministériel Ressources humaines;40000000;10000000;10000000;50000000;50000000;;MIN07;Action et comptes publics
2019;Budget général;PB;Pouvoirs publics;521;Sénat;;323584600;323584600;323584600;323584600;;MIN07;Action et comptes publics
2019;Budget général;JA;Justice;310;Conduite et pilotage de la politique de la justice;177193892;273956632;293213255;451150524;470407147;2326;MIN10;Justice
2019;Budget général;TA;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;;3365600659;3193638870;3365600659;3193638870;;MIN23;Transition écologique et solidaire
2019;Budget général;AV;Investissements d'avenir;421;Soutien des progrès de l'enseignement et de la recherche;;0;212500000;0;212500000;;MIN12;Services du Premier ministre
2019;Budget général;RA;Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);;179519167;179519167;179519167;179519167;;MIN70;Armées
2019;Budget général;AD;Aide publique au développement;209;Solidarité à l'égard des pays en développement;153150588;3041202932;1850593181;3194353520;2003743769;1483;MIN01;Europe et affaires étrangères
2019;Comptes d'affectation spéciale;YF;Développement agricole et rural;775;Développement et transfert en agriculture;;65000000;65000000;65000000;65000000;;MIN03;Agriculture et alimentation
2019;Budget général;DA;Défense;144;Environnement et prospective de la politique de défense;;1628787470;1476089721;1628787470;1476089721;;MIN70;Armées
2019;Budget général;GA;Gestion des finances publiques et des ressources humaines;148;Fonction publique;200000;205379599;205379599;205579599;205579599;;MIN07;Action et comptes publics
2019;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;753;Contrôle et modernisation de la politique de la circulation et du stationnement routiers;;26200000;26200000;26200000;26200000;;MIN09;Intérieur
2019;Budget général;EB;Engagements financiers de l'État;145;Épargne;;101881941;101881941;101881941;101881941;;MIN21;Économie et finances
2019;Budget général;CA;Conseil et contrôle de l'État;126;Conseil économique, social et environnemental;34933319;5305644;5305644;40238963;40238963;150;MIN12;Services du Premier ministre
2019;Budget général;GA;Gestion des finances publiques et des ressources humaines;156;Gestion fiscale et financière de l'État et du secteur public local;6880827172;1100136750;856448272;7980963922;7737275444;100816;MIN07;Action et comptes publics
2019;Comptes de concours financiers;ZC;Avances aux collectivités territoriales;833;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;;110604910447;110604910447;110604910447;110604910447;;MIN07;Action et comptes publics
2019;Comptes d'affectation spéciale;YN;Transition énergétique;764;Soutien à la transition énergétique;;5440400000;5440400000;5440400000;5440400000;;MIN23;Transition écologique et solidaire
2019;Budget général;RD;Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);;19858000000;19858000000;19858000000;19858000000;;MIN07;Action et comptes publics
2019;Budget général;AD;Aide publique au développement;110;Aide économique et financière au développement;;1305765394;1074752833;1305765394;1074752833;;MIN21;Économie et finances
2019;Budget général;SF;Sport, jeunesse et vie associative;219;Sport;;324154844;312230809;324154844;312230809;;MIN52;Sports
2019;Budget général;RA;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;;1763263758;1722927442;1763263758;1722927442;;MIN23;Transition écologique et solidaire
