Exercice;loi;typeBudget;ministere;mission;programme;action;sous_action;categorie;titre;AE LFI 2020;CP LFI 2020
2020;LFI;BG;10;JA;101;101-01;;31;3;50 000;50 000
2020;LFI;BG;10;JA;101;101-01;;61;6;484 226 865;484 226 865
2020;LFI;BG;10;JA;101;101-01;;64;6;65 000;65 000
2020;LFI;BG;10;JA;101;101-02;;31;3;27 350;27 350
2020;LFI;BG;10;JA;101;101-02;;64;6;8 615 000;8 615 000
2020;LFI;BG;10;JA;101;101-03;;31;3;1 875 000;1 875 000
2020;LFI;BG;10;JA;101;101-03;;63;6;20 000;20 000
2020;LFI;BG;10;JA;101;101-03;;64;6;26 880 000;26 880 000
2020;LFI;BG;10;JA;101;101-04;;63;6;5 000;5 000
2020;LFI;BG;10;JA;101;101-04;;64;6;8 748 682;8 748 682
2020;LFI;BG;36;TB;102;;102-01-01;61;6;2 302 926 798;2 302 926 798
2020;LFI;BG;36;TB;102;;102-01-02;32;3;1 235 903 153;1 235 903 153
2020;LFI;BG;36;TB;102;;102-01-02;64;6;5 000 000;5 000 000
2020;LFI;BG;36;TB;102;;102-02-01;32;3;43 500 000;43 500 000
2020;LFI;BG;36;TB;102;;102-02-01;62;6;0;9 238 280
2020;LFI;BG;36;TB;102;;102-02-01;63;6;105 889 439;90 123 383
2020;LFI;BG;36;TB;102;;102-02-01;64;6;291 435 841;265 696 349
2020;LFI;BG;36;TB;102;;102-02-01;72;7;7 900 000;7 900 000
2020;LFI;BG;36;TB;102;;102-02-02;32;3;55 992 632;55 992 632
2020;LFI;BG;36;TB;102;;102-02-02;62;6;436 852 990;436 852 990
2020;LFI;BG;36;TB;102;;102-02-02;64;6;1 269 910 153;1 269 910 153
2020;LFI;BG;36;TB;102;102-03;;61;6;429 466 695;429 466 695
2020;LFI;BG;36;TB;102;102-03;;64;6;160 000 000;160 000 000
2020;LFI;BG;36;TB;103;;103-01-01;62;6;267 206 420;140 406 417
2020;LFI;BG;36;TB;103;;103-01-01;64;6;14 000 000;14 000 000
2020;LFI;BG;36;TB;103;;103-01-02;61;6;97 223 154;97 223 154
2020;LFI;BG;36;TB;103;;103-01-02;62;6;26 435 344;32 527 372
2020;LFI;BG;36;TB;103;;103-02-03;64;6;1 000 000;1 000 000
2020;LFI;BG;36;TB;103;;103-02-04;32;3;114 103 650;114 103 650
2020;LFI;BG;36;TB;103;;103-02-04;61;6;577 941 395;577 941 395
2020;LFI;BG;36;TB;103;;103-02-04;62;6;912 596 713;663 068 609
2020;LFI;BG;36;TB;103;;103-02-04;64;6;40 885 105;40 557 677
2020;LFI;BG;36;TB;103;;103-03-01;61;6;2 032 575 018;2 032 575 018
2020;LFI;BG;36;TB;103;;103-03-01;62;6;911 245 224;911 245 224
2020;LFI;BG;36;TB;103;;103-03-02;62;6;763 843 369;760 124 869
2020;LFI;BG;36;TB;103;;103-03-02;64;6;24 500 000;24 500 000
2020;LFI;BG;36;TB;103;103-04;;63;6;864 898 479;495 715 212
2020;LFI;BG;9;IA;104;104-11;;32;3;244 439 568;244 439 568
2020;LFI;BG;9;IA;104;104-11;;61;6;11 000 000;11 000 000
2020;LFI;BG;9;IA;104;104-12;;31;3;500 000;500 000
2020;LFI;BG;9;IA;104;104-12;;62;6;1 035 000;1 035 000
2020;LFI;BG;9;IA;104;104-12;;63;6;6 265 000;6 265 000
2020;LFI;BG;9;IA;104;104-12;;64;6;45 415 001;45 415 001
2020;LFI;BG;9;IA;104;104-14;;31;3;985 274;1 046 605
2020;LFI;BG;9;IA;104;104-15;;61;6;100 000;100 000
2020;LFI;BG;9;IA;104;104-15;;64;6;113 475 821;113 475 821
2020;LFI;BG;9;IA;104;104-16;;64;6;8 138 000;8 138 000
2020;LFI;BG;1;AA;105;105-01;;21;2;44 218 869;44 218 869
2020;LFI;BG;1;AA;105;105-01;;22;2;21 050 889;21 050 889
2020;LFI;BG;1;AA;105;105-01;;23;2;993 008;993 008
2020;LFI;BG;1;AA;105;105-01;;31;3;22 214 846;22 214 846
