Exercice;Loi;Type ligne;Type Budget;code;Libelle
2020;LFI;Mission;CCF;ZC;Avances aux collectivités territoriales
2020;LFI;PGM;CCF;832;Avances aux collectivités et établissements publics, et à la Nouvelle-Calédonie
2020;LFI;ACT;CCF;832-01;Avances de l'article L. 2337-1 du code général des collectivités territoriales
2020;LFI;ACT;CCF;832-02;Avances de l'article 14 de la loi n° 46-2921 du 23 décembre 1946 et de l'article L. 2237-2 du code général des collectivités territoriales
2020;LFI;ACT;CCF;832-03;Avances de l'article 34 de la loi n° 53-1336 du 31 décembre 1953 (avances spéciales sur recettes budgétaires)
2020;LFI;ACT;CCF;832-04;Avances à la Nouvelle-Calédonie, au titre de la fiscalité du nickel
2020;LFI;PGM;CCF;833;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes
2020;LFI;ACT;CCF;833-01;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes
2020;LFI;ACT;CCF;833-02;Avances aux départements sur le produit de la taxe intérieure de consommation sur les produits pétroliers
2020;LFI;ACT;CCF;833-03;Avances aux départements sur les frais de gestion de la taxe foncière sur les propriétés bâties
2020;LFI;ACT;CCF;833-04;Avances aux régions sur les frais de gestion de la contribution foncière des entreprises (CFE), de la contribution sur la valeur ajoutée des entreprises (CVAE) et de la taxe d'habitation (TH) et sur le produit de la taxe intérieure de consommation sur les produits énergétiques (TICPE)
2020;LFI;Mission;CAS;YK;Financement des aides aux collectivités pour l'électrification rurale
2020;LFI;PGM;CAS;793;Électrification rurale
2020;LFI;ACT;CAS;793-09;Déclaration d'utilité publique (Très haute tension)
2020;LFI;ACT;CAS;793-03;Renforcement des réseaux
2020;LFI;ACT;CAS;793-04;Extension des réseaux
2020;LFI;ACT;CAS;793-05;Enfouissement et pose en façade
2020;LFI;ACT;CAS;793-06;Sécurisation des fils nus (hors faible section)
2020;LFI;ACT;CAS;793-07;Sécurisation des fils nus de faible section
2020;LFI;ACT;CAS;793-08;Fonctionnement
2020;LFI;ACT;CAS;793-10;Intempéries
2020;LFI;PGM;CAS;794;Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées
2020;LFI;ACT;CAS;794-02;Sites isolés
2020;LFI;ACT;CAS;794-03;Installations de proximité en zone non interconnectée
2020;LFI;ACT;CAS;794-04;Maîtrise de la demande d'énergie
2020;LFI;ACT;CAS;794-05;Déclaration d'utilité publique (Très haute tension) - (Engagements antérieurs au 1er janvier 2013)
2020;LFI;ACT;CAS;794-06;Intempéries - (Engagements antérieurs au 1er janvier 2013)
2020;LFI;Mission;BG;VA;Cohésion des territoires
2020;LFI;PGM;BG;112;Impulsion et coordination de la politique d'aménagement du territoire
2020;LFI;ACT;BG;112-11;FNADT section locale
2020;LFI;SSA;BG;112-11-01;CPER 2007-2014
2020;LFI;SSA;BG;112-11-02;CPER 2015-2020
2020;LFI;SSA;BG;112-11-03;Contrats de convergence et de transformation
2020;LFI;SSA;BG;112-11-04;Pactes de développement territorial
2020;LFI;ACT;BG;112-12;FNADT section générale
2020;LFI;SSA;BG;112-12-01;Soutien au développement des territoires
2020;LFI;SSA;BG;112-12-02;Accès aux services
2020;LFI;SSA;BG;112-12-03;Fonctionnement
2020;LFI;ACT;BG;112-13;Soutien aux Opérateurs
2020;LFI;SSA;BG;112-13-01;SCSP de l'Agence nationale de la cohésion des territoires
2020;LFI;SSA;BG;112-13-02;Prospective, évaluation et autres études
2020;LFI;SSA;BG;112-13-03;Subventions aux organismes et partenaires du réseau ANCT
2020;LFI;SSA;BG;112-13-04;Certification, assistance technique et participation aux programmes de coopération
2020;LFI;SSA;BG;112-13-05;Soutien à Business France
2020;LFI;ACT;BG;112-14;Prime d’aménagement du territoire, contrats de ruralité et pacte Etat-métropoles
2020;LFI;SSA;BG;112-14-01;Prime d'aménagement du territoire
2020;LFI;SSA;BG;112-14-02;Pacte État-métropoles
2020;LFI;SSA;BG;112-14-03;Contrats de ruralité
2020;LFI;PGM;BG;162;Interventions territoriales de l'État
2020;LFI;ACT;BG;162-10;Fonds interministériel pour la transformation de la Guyane
2020;LFI;SSA;BG;162-10-01;La cohésion des territoires
2020;LFI;SSA;BG;162-10-02;La mobilité multimodale
2020;LFI;SSA;BG;162-10-03;Les territoires résilients
2020;LFI;SSA;BG;162-10-04;Les territoires d'innovation et de rayonnement
2020;LFI;SSA;BG;162-10-05;La cohésion sociale et l'employabilité
2020;LFI;ACT;BG;162-02;Eau - Agriculture en Bretagne
2020;LFI;SSA;BG;162-02-21;Inciter les agriculteurs et les autres acteurs à supprimer les atteintes à l'environnement
2020;LFI;SSA;BG;162-02-22;Mesurer l'évolution de la situation environnementale des milieux et faire appliquer des solutions correctives par l'action réglementaire
2020;LFI;SSA;BG;162-02-23;Améliorer l'évaluation des résultats, développer le retour d'expérience et amplifier la gestion prospective et le pilotage à long terme
2020;LFI;SSA;BG;162-02-24;Mettre en oeuvre le plan d'urgence nitrates
2020;LFI;SSA;BG;162-02-25;Mettre en oeuvre le plan de lutte contre les algues vertes
2020;LFI;ACT;BG;162-04;Programme exceptionnel d'investissements en faveur de la Corse
2020;LFI;SSA;BG;162-04-41;Mettre à niveau les réseaux et équipements collectifs
2020;LFI;SSA;BG;162-04-42;Renforcer les infrastructures de mise en valeur du territoire insulaire
2020;LFI;SSA;BG;162-04-43;Résorber le déficit en services collectifs
2020;LFI;SSA;BG;162-04-44;Assistance à maîtrise d'ouvrage
2020;LFI;ACT;BG;162-06;Plan gouvernemental sur le Marais Poitevin - Poitou Charentes
2020;LFI;SSA;BG;162-06-61;Améliorer et coordonner la gestion de la ressource en eau
2020;LFI;SSA;BG;162-06-62;Favoriser une agriculture conforme aux enjeux environnementaux du marais
2020;LFI;SSA;BG;162-06-63;Préserver les milieux naturels
2020;LFI;SSA;BG;162-06-64;Gérer et valoriser de façon durable le territoire et le patrimoine du Marais poitevin
2020;LFI;ACT;BG;162-08;Volet territorialisé du plan national d'action chlordécone
2020;LFI;SSA;BG;162-08-81;Elaborer localement une stratégie d'amélioration de la qualité de vie des populations dans un contexte de pollution
2020;LFI;SSA;BG;162-08-82;Favoriser une approche de prévention du risque sanitaire et de protection des populations dans une stratégie durable
2020;LFI;SSA;BG;162-08-83;Poursuivre les actions de recherche
2020;LFI;SSA;BG;162-08-84;Evaluer les enjeux socio-économiques de la pollution au chlordécone
2020;LFI;ACT;BG;162-09;Plan littoral 21
2020;LFI;SSA;BG;162-09-91;Vitrine française de la résilience écologique
2020;LFI;SSA;BG;162-09-92;Economie globale portée par l'innovation qui irrigue tout le territoire
2020;LFI;SSA;BG;162-09-93;Littoral symbole d'attractivité, d'accueil et de cohésion républicaine
2020;LFI;ACT;BG;162-11;Reconquête de la qualité des cours d’eau en Pays de la Loire
2020;LFI;SSA;BG;162-11-11;Mieux accompagner les maîtres d'ouvrage porteurs des actions de restauration des milieux aquatiques
2020;LFI;SSA;BG;162-11-12;Accompagner la transition agro-écologique des exploitations agricoles
2020;LFI;SSA;BG;162-11-13;Renforcer les connaissances et le suivi
2020;LFI;PGM;BG;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables
