Mission;Code Mission;Type Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;Code Ministère;Libellé Ministère;AE T2 PLF;AE HT2 PLF;CP T2 PLF;CP HT2 PLF;AE T2 AMD;AE HT2 amd;CP T2 AMD;CP HT2 AMD;AE T2 LFI;AE HT2 LFI;AE ( T2 + HT2) LFI;CP T2 LFI;CP HT2 LFI;CP ( T2 + HT2) LFI
Justice;JA;BG;101;Accès au droit et à la justice;01;Aide juridictionnelle;;;31;3;10;Justice;0;45 000;0;45 000;0;0;0;0;0;45 000;45 000;0;45 000;45 000
Justice;JA;BG;101;Accès au droit et à la justice;01;Aide juridictionnelle;;;61;6;10;Justice;0;533 092 043;0;533 092 043;0;0;0;0;0;533 092 043;533 092 043;0;533 092 043;533 092 043
Justice;JA;BG;101;Accès au droit et à la justice;01;Aide juridictionnelle;;;64;6;10;Justice;0;865 000;0;865 000;0;0;0;0;0;865 000;865 000;0;865 000;865 000
Justice;JA;BG;101;Accès au droit et à la justice;02;Développement de l'accès au droit et du réseau judiciaire de proximité;;;31;3;10;Justice;0;71 903;0;71 903;0;0;0;0;0;71 903;71 903;0;71 903;71 903
Justice;JA;BG;101;Accès au droit et à la justice;02;Développement de l'accès au droit et du réseau judiciaire de proximité;;;64;6;10;Justice;0;9 390 480;0;9 390 480;0;0;0;0;0;9 390 480;9 390 480;0;9 390 480;9 390 480
Justice;JA;BG;101;Accès au droit et à la justice;03;Aide aux victimes;;;31;3;10;Justice;0;2 965 500;0;2 965 500;0;0;0;0;0;2 965 500;2 965 500;0;2 965 500;2 965 500
Justice;JA;BG;101;Accès au droit et à la justice;03;Aide aux victimes;;;63;6;10;Justice;0;45 000;0;45 000;0;0;0;0;0;45 000;45 000;0;45 000;45 000
Justice;JA;BG;101;Accès au droit et à la justice;03;Aide aux victimes;;;64;6;10;Justice;0;29 039 500;0;29 039 500;0;0;0;0;0;29 039 500;29 039 500;0;29 039 500;29 039 500
Justice;JA;BG;101;Accès au droit et à la justice;04;Médiation familiale et espaces de rencontre;;;63;6;10;Justice;0;12 500;0;12 500;0;0;0;0;0;12 500;12 500;0;12 500;12 500
Justice;JA;BG;101;Accès au droit et à la justice;04;Médiation familiale et espaces de rencontre;;;64;6;10;Justice;0;9 647 551;0;9 647 551;0;0;0;0;0;9 647 551;9 647 551;0;9 647 551;9 647 551
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;01;Amélioration de l'efficacité du service public de l'emploi;01;Indemnisation des demandeurs d'emploi;61;6;36;Travail, emploi et insertion;0;2 337 019 078;0;2 337 019 078;0;-29 934 392;0;-29 934 392;0;2 307 084 686;2 307 084 686;0;2 307 084 686;2 307 084 686
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;01;Amélioration de l'efficacité du service public de l'emploi;02;Coordination du service public de l'emploi;32;3;36;Travail, emploi et insertion;0;1 149 874 718;0;1 149 874 718;0;0;0;0;0;1 149 874 718;1 149 874 718;0;1 149 874 718;1 149 874 718
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;01;Amélioration de l'efficacité du service public de l'emploi;02;Coordination du service public de l'emploi;64;6;36;Travail, emploi et insertion;0;0;0;0;0;5 000 000;0;5 000 000;0;5 000 000;5 000 000;0;5 000 000;5 000 000
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;01;Insertion dans l'emploi au moyen de contrats aidés;32;3;36;Travail, emploi et insertion;0;54 900 000;0;54 900 000;0;0;0;0;0;54 900 000;54 900 000;0;54 900 000;54 900 000
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;01;Insertion dans l'emploi au moyen de contrats aidés;62;6;36;Travail, emploi et insertion;0;45 813;0;2 577 575;0;0;0;0;0;45 813;45 813;0;2 577 575;2 577 575
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;01;Insertion dans l'emploi au moyen de contrats aidés;63;6;36;Travail, emploi et insertion;0;136 910 006;0;117 612 831;0;0;0;0;0;136 910 006;136 910 006;0;117 612 831;117 612 831
