Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege
MSN;BG;AA; ;;;ActionExtÉtat
PGM;BG;105;AA;01;Action de la France en Europe et dans le monde;ActionFranceEurope_Monde
ACT;BG;105-01;;;Coordination de l'action diplomatique;Coordination action diplo
SSA;BG;105-01-01;;;Etat major : cabinets;Etat major : cabinets
SSA;BG;105-01-08;;;Etat major : logistique de niveau chef d'Etat ou de gouvernement;Et.maj. log chef Etat/gvt
SSA;BG;105-01-09;;;Etat-major : affaires politiques;Et.maj. aff. politiques
SSA;BG;105-01-15;;;"Personnel concourant à l'action ""coordination de l'action diplomatique""";Pers. coordin. act. diplo
SSA;BG;105-01-16;;;Sécurité des communautés françaises;Sécur. communautés franç.
ACT;BG;105-02;;;Action européenne;Action européenne
SSA;BG;105-02-01;;;Moyens de fonctionnement : services d'administration centrale;Moyens  fonction. sces AC
SSA;BG;105-02-07;;;Dépenses d'intervention et de communication du ministre chargé des affaires européennes;Subv. et comm. Min AE
SSA;BG;105-02-08;;;Contributions aux organisations européennes;Contrib. org. eur.
SSA;BG;105-02-11;;;"Personnel concourant à l'action ""action européenne""";Pers. action européenne
ACT;BG;105-04;;;Contributions internationales;Contrib. internationales
SSA;BG;105-04-01;;;Opérations de maintien de la paix : participations obligatoires aux opérations de maintien de la paix des Nations Unies (en devises);OMP particip.obl.NU (dev)
SSA;BG;105-04-02;;;Contributions en euros aux organisations internationales;CI en euros
SSA;BG;105-04-05;;;Contributions en devises aux organisations internationales;CI en devises
ACT;BG;105-05;;;Coopération de sécurité et de défense;Coop. sécurité et défense
SSA;BG;105-05-01;;;Formation des élites et cadres de sécurité et de défense;Form.élites sécu déf
SSA;BG;105-05-02;;;Ingénierie de sécurité et de défense;Ingénierie sécu.& défense
SSA;BG;105-05-03;;;Fonctions de direction et soutien en France et étranger;Fonct.dir.&soutien Fr&étr
SSA;BG;105-05-04;;;"Personnel concourant à l'action ""coopération de sécurité et de défense""";Pers.action coop.sécu.déf
ACT;BG;105-06;;;Soutien;Soutien
SSA;BG;105-06-06;;;Ressources humaines;Ressources humaines
SSA;BG;105-06-08;;;Systèmes d'information et de télécommunication;Systèmes d’information
SSA;BG;105-06-10;;;Logistique diplomatique;Logistique diplomatique
SSA;BG;105-06-11;;;Politique immobilière;Politique immobilière
SSA;BG;105-06-12;;;Sécurité diplomatique;Sécurité diplomatique
SSA;BG;105-06-14;;;"Personnel concourant à l'action ""soutien""";Pers. action soutien
ACT;BG;105-07;;;Réseau diplomatique;Réseau diplomatique
SSA;BG;105-07-01;;;Réseau diplomatique : postes à l'étranger - dépenses de structures du ministère des Affaires étrangères;Rés.diplo.étr.struc.MAE
SSA;BG;105-07-02;;;"Personnel du Ministère des Affaires étrangères et européennes concourant à l'action ""réseau diplomatique""";Pers.MAE action rés diplo
SSA;BG;105-07-03;;;Réseau diplomatique : postes à l'étranger - dépenses de structures hors ministère des Affaires étrangères;Rés.diplo.étr.str.horsMAE
SSA;BG;105-07-04;;;"Personnel hors Ministère des Affaires étrangères et européennes, concourant à l'action ""réseau diplomatique""";Pers.horsMAEact.rés.diplo
ACT;BG;105-99;;;Dépenses de personnel à reventiler entre les actions du programme;Dépenses de personnel à r
PGM;BG;151;AA;01;Français à l'étranger et affaires consulaires;FrançaisEtrangAffConsul
ACT;BG;151-01;;;Offre d'un service public de qualité aux Français à l'étranger;Offre sce publ.qualitéFAE
SSA;BG;151-01-02;;;Services publics administratifs offerts aux français;Sces publ. adm. aux Franç
SSA;BG;151-01-12;;;Animation et gestion du réseau : animation des postes consulaires;Animation postes consul.
SSA;BG;151-01-13;;;"Personnel concourant à l'action ""offre d'un service public de qualité aux français à l'étranger""";Pers.sce publ.qualité FAE
ACT;BG;151-02;;;Accès des élèves français au réseau AEFE;Accès élèves franç. AEFE
SSA;BG;151-02-01;;;Aide à la scolarité;Aide à la scolarité
SSA;BG;151-02-02;;;Prise en charge des frais de scolarité;PEC frais de scolarité
ACT;BG;151-03;;;Instruction des demandes de visa;Instruction demandes visa
SSA;BG;151-03-01;;;Fourniture des services administratifs;Fourniture services admin
SSA;BG;151-03-02;;;"Personnel concourant à l'action ""instruction des demandes de visa""";Pers. instruct. ddes visa
SSA;BG;151-03-03;;;Introduction de la biométrie, aménagement des services et lutte contre la fraude;Intro biomet lutte fraude
ACT;BG;151-99;;;Dépenses de personnel à reventiler entre les actions du programme;Dépenses de personnel à r
PGM;BG;185;AA;01;Diplomatie culturelle et d'influence;Diplomatie culturelle et
ACT;BG;185-01;;;Appui au réseau;Appui au réseau
ACT;BG;185-02;;;Coopération culturelle et promotion du français;Coop. cult. et Français
SSA;BG;185-02-01;;;Langue française et diversité linguistique;Français
SSA;BG;185-02-05;;;Coopération et diffusion culturelles;Coop. culturelle
ACT;BG;185-03;;;Objectifs de développement durable;ODD
ACT;BG;185-04;;;Enseignement supérieur et recherche;Ens. sup recherche
ACT;BG;185-05;;;Agence pour l'enseignement français à l'étranger;AEFE
ACT;BG;185-06;;;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";Dép.pers.dipl.cultur.infl
ACT;BG;185-07;;;Diplomatie économique et développement du tourisme;Diplomatie éco tourisme
MSN;BG;AB; ;;;Adm.gale&territori.
PGM;BG;216;AB;09;Conduite et pilotage des politiques de l'intérieur;Cond.Pil.Interieur
ACT;BG;216-01;;;État-major et services centraux;État-major et services ce
SSA;BG;216-01-01;;;Cabinets des ministres et bureaux des cabinets des ministres;Cabinets des ministres et
SSA;BG;216-01-02;;;Cabinet du secrétariat général et des services rattachés;Cabinet du secrétariat gé
SSA;BG;216-01-03;;;Délégation à l'information et à la communication;Délégation à l'informatio
SSA;BG;216-01-05;;;Inspection générale de l'administration;Inspection générale de l'
SSA;BG;216-01-07;;;Conseil national des activités privées de sécurité (CNAPS);Conseil national des acti
SSA;BG;216-01-08;;;Autres études et recherches;Autres études et recherch
SSA;BG;216-01-09;;;Direction des systèmes d'information et de communication : personnel;Direction des systèmes d'
SSA;BG;216-01-10;;;Services zonaux des systèmes d'information et de communication : soutien;Services zonaux des systè
SSA;BG;216-01-11;;;Gestion des ressources humaines;Gestion des ressources hu
SSA;BG;216-01-12;;;Direction générale des collectivités locales;Direction générale des co
SSA;BG;216-01-14;;;Comité des finances locales;Comité des finances local
SSA;BG;216-01-15;;;Fonctionnement général des services;Fonctionnement général de
SSA;BG;216-01-16;;;Cultes;Cultes
SSA;BG;216-01-17;;;Direction générale des outre-mer;Direction générale des ou
ACT;BG;216-03;;;Système d'information et de communication;Système d'information et 
SSA;BG;216-03-05;;;Maintien en condition opérationnelle des systèmes d'information et de communication (SIC);Maintien en condition opé
SSA;BG;216-03-08;;;Système d'information et de communication : grands projets;Syst inf gds projets
ACT;BG;216-04;;;Action sociale et formation;Action sociale et formati
SSA;BG;216-04-01;;;Action sociale : offre de services collectifs;Action sociale : offre de
SSA;BG;216-04-02;;;Formation et recrutement;Formation et recrutement
SSA;BG;216-04-07;;;Action sociale : partenariat social;Action sociale : partenar
SSA;BG;216-04-08;;;Action sociale : insertion des personnes handicapées;Action sociale : insertio
SSA;BG;216-04-09;;;Action sociale : professionnels de soutien;Action sociale : professi
SSA;BG;216-04-10;;;Action sociale : missions transversales;Action sociale : missions
ACT;BG;216-05;;;Affaires immobilières;Affaires immobilières
SSA;BG;216-05-01;;;Immobilier de l'administration centrale : fonctionnement courant;Immobilier de l'administr
SSA;BG;216-05-06;;;Opérations d'investissement;Opérations d'investisseme
SSA;BG;216-05-10;;;Action sociale : immobilier;Action sociale : immobili
SSA;BG;216-05-11;;;Immobilier administration centrale et déconcentrée;Immobilier administration
ACT;BG;216-06;;;Affaires juridiques et contentieuses;Affaires juridiques et co
SSA;BG;216-06-01;;;Refus de concours de la force publique : règlements amiables;Refus de concours de la f
SSA;BG;216-06-02;;;Refus de concours de la force publique : contentieux;Refus de concours de la f
SSA;BG;216-06-03;;;Attroupements : règlements amiables;Attroupements : règlement
SSA;BG;216-06-04;;;Attroupements : contentieux;Attroupements : contentie
SSA;BG;216-06-05;;;Autres mises en cause de l'Etat : règlements amiables;Autres mises en cause de 
SSA;BG;216-06-06;;;Autres mises en cause de l'Etat : contentieux;Autres mises en cause de 
SSA;BG;216-06-09;;;Protection juridique;Protection juridique
SSA;BG;216-06-10;;;Litiges intervenant dans le cadre du droit des étrangers : règlements amiables;Litiges intervenant dans 
SSA;BG;216-06-11;;;Litiges intervenant dans le cadre du droit des étrangers : règlements contentieux;Litiges intervenant dans 
SSA;BG;216-06-12;;;Accidents de la circulation : dommages corporels;acc circ : corporels
SSA;BG;216-06-13;;;Accidents de la circulation : dommages matériels;Acc circ : matériels
ACT;BG;216-08;;;Immigration, asile et intégration;Immigration, asile et int
SSA;BG;216-08-01;;;Direction générale des étrangers en France;Direction générale des ét
ACT;BG;216-09;;;Sécurité et éducation routières;Sécurité et éducation rou
SSA;BG;216-09-01;;;Délégation à la sécurité routière;DSR
ACT;BG;216-10;;;Fonds interministériel de prévention de la délinquance;Fonds interministériel de
SSA;BG;216-10-01;;;Actions en faveur des jeunes;Actions en faveur des jeu
SSA;BG;216-10-02;;;Prévention des violences faites aux femmes, des violences intrafamiliales et l'aide aux victimes;Prévention des violences 
SSA;BG;216-10-03;;;Actions pour améliorer la tranquillité publique;Actions pour améliorer la
SSA;BG;216-10-04;;;Prévention de la radicalisation;Prévention de la radicali
SSA;BG;216-10-05;;;Actions de sécurisation;Actions de sécurisation
ACT;BG;216-99;;;Dépenses de personnel du programme à reventiler;Dépenses de personnel du 
PGM;BG;232;AB;09;Vie politique, cultuelle et associative;ViePol.Culte&Ass.
ACT;BG;232-01;;;Financement des partis;Financement des partis
ACT;BG;232-02;;;Organisation des élections;Organisation des élection
SSA;BG;232-02-01;;;Elections présidentielles;Elections présidentielles
SSA;BG;232-02-02;;;Elections législatives générales;Elections législatives gé
SSA;BG;232-02-03;;;Elections des représentants au Parlement européen;Elections des représentan
SSA;BG;232-02-04;;;Elections sénatoriales générales;Elections sénatoriales gé
SSA;BG;232-02-05;;;Elections départementales générales;Elections départementales
SSA;BG;232-02-06;;;Elections municipales générales;Elections municipales gén
SSA;BG;232-02-07;;;Référendums;Référendums
SSA;BG;232-02-09;;;Elections régionales générales et assemblée de Corse;Elections régionales géné
SSA;BG;232-02-10;;;Elections partielles (législatives, sénatoriales, départementales, municipales, régionales, territoriales et provinciales);Elections partielles (lég
SSA;BG;232-02-11;;;Elections : dépenses communes;Elections : dépenses comm
SSA;BG;232-02-13;;;Elections territoriales en outre-mer;Elections territoriales e
ACT;BG;232-03;;;Commission nationale des comptes de campagne et des financements politiques;Commission nationale des 
ACT;BG;232-04;;;Cultes;Cultes
SSA;BG;232-04-01;;;Immobilier;Immobilier
SSA;BG;232-04-02;;;Soutien;Soutien
ACT;BG;232-99;;;Dépenses de personnel du programme à reventiler;Dépenses de personnel du 
PGM;BG;354;AB;09;Administration territoriale de l'État;Adm terr État
ACT;BG;354-01;;;Coordination de la sécurité des personnes et des biens;Coordination de la sécuri
ACT;BG;354-02;;;Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres;Réglementation générale, 
ACT;BG;354-03;;;Contrôle de légalité et conseil aux collectivités territoriales;Contrôle de légalité et c
ACT;BG;354-04;;;Pilotage territorial des politiques gouvernementales;Pilotage territorial des 
ACT;BG;354-05;;;Fonctionnement courant de l'administration territoriale;Fonctionnement courant de
ACT;BG;354-06;;;Dépenses immobilières de l'administration territoriale;Dép immo ATE
ACT;BG;354-99;;;Dépenses de personnel du programme à reventiler;Dépenses de personnel du 
MSN;BG;AC; ;;;Agriculture
PGM;BG;149;AC;03;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;AgricAgroalForetPecheAqua
ACT;BG;149-21;;;Adaptation des filières à l'évolution des marchés;Adaptation des filières à
SSA;BG;149-21-02;;;Emploi et innovation dans les industries agroalimentaires;Emploi et innovation dans
SSA;BG;149-21-03;;;Soutien à la production de sucre dans les départements d'outre-mer;Soutien à la production d
SSA;BG;149-21-04;;;Actions internationales;Actions internationales
SSA;BG;149-21-06;;;Fonds avenir bio;Fonds avenir bio
SSA;BG;149-21-08;;;Intervention en faveur des filières agroalimentaires;Intervention en faveur de
SSA;BG;149-21-09;;;Autres actions d'adaptation des filières à l'évolution des marchés;Autres actions d'adaptati
ACT;BG;149-22;;;Gestion des crises et des aléas de la production agricole;Gestion des crises et des
SSA;BG;149-22-01;;;Aides conjoncturelle;Aides conjoncturelle
SSA;BG;149-22-02;;;Prêts de crise;Prêts de crise
SSA;BG;149-22-04;;;Aides en faveur du redressement des exploitations en difficulté (AGRIDIFF);Aides en faveur du redres
SSA;BG;149-22-05;;;Fonds national de gestion des risques en agriculture;Fonds national de gestion
ACT;BG;149-23;;;Appui au renouvellement et à la modernisation des exploitations agricoles;Appui au renouvellement e
SSA;BG;149-23-01;;;Prêts à l'installation;Prêts à l'installation
SSA;BG;149-23-02;;;Aides à la cessation d'activités;Aides à la cessation d'ac
SSA;BG;149-23-03;;;Stages à l'installation;Stages à l'installation
SSA;BG;149-23-04;;;Aides au départs (anciens dispositifs);Aides au départs (anciens
SSA;BG;149-23-05;;;Aides aux Coopératives d'Utilisation de Matériel Agricole (CUMA);Aides aux Coopératives d'
SSA;BG;149-23-06;;;Dotation aux jeunes agriculteurs;Dotation aux jeunes agric
SSA;BG;149-23-07;;;Fonds d'incitation et de communication pour l'installation en agriculture (FICIA);Fonds d'incitation et de 
SSA;BG;149-23-08;;;Compétitivité et adaptation des exploitations agricoles;Compétitivité et adaptati
SSA;BG;149-23-09;;;Plan de relance - Autres aides à la modernisation des exploitations agricole;Plan de relance - Autres 
ACT;BG;149-24;;;Gestion équilibrée et durable des territoires;Gestion équilibrée et dur
SSA;BG;149-24-01;;;Hydraulique agricole et ouvrages domaniaux;Hydraulique agricole et o
SSA;BG;149-24-02;;;Formation et information des cadres syndicaux et professionnels de l'agriculture;Formation et information 
SSA;BG;149-24-03;;;Animation et développement rural;Animation et développemen
SSA;BG;149-24-04;;;Actions en faveur du cheval menées au niveau national;Actions en faveur du chev
SSA;BG;149-24-05;;;foncier;foncier
SSA;BG;149-24-06;;;Plan de maîtrise des pollutions d'origine agricole;Plan de maîtrise des poll
SSA;BG;149-24-07;;;Indemnités compensatoires de handicaps naturels;Indemnités compensatoires
SSA;BG;149-24-08;;;Mesures agro-environnementales et climatiques et agricultures biologiques;Mesures agro-environnemen
SSA;BG;149-24-09;;;Prime herbagère agro-environnementale;Prime herbagère agro-envi
SSA;BG;149-24-10;;;Aides à la diversification des cultures dans l'assolemen;Aides à la diversificatio
SSA;BG;149-24-11;;;Autres actions environnementales et pastoralisme;Autres actions environnem
SSA;BG;149-24-12;;;Boisement des terres agricoles;Boisement des terres agri
SSA;BG;149-24-13;;;Actions d'expertise technique (eau et connaissance des sols);Actions d'expertise techn
SSA;BG;149-24-14;;;Autres actions de soutien aux syndicats;Autres actions de soutien
ACT;BG;149-25;;;Protection sociale;Protection sociale
SSA;BG;149-25-16;;;Réglementation et sécurité au travail;Réglementation et sécurit
SSA;BG;149-25-17;;;Incitation à l'emploi en agriculture et en milieu rural;Incitation à l'emploi en 
ACT;BG;149-26;;;Gestion durable de la forêt et développement de la filière bois;Gestion durable de la for
SSA;BG;149-26-01;;;ONF - Versement compensateur;ONF - Versement compensat
SSA;BG;149-26-02;;;ONF - Missions d'intérêt général;ONF - Missions d'intérêt 
SSA;BG;149-26-03;;;ONF - Autres subventions;ONF - Autres subventions
SSA;BG;149-26-04;;;Défense des forêts contre les incendies (DFCI);Défense des forêts contre
SSA;BG;149-26-05;;;Restauration des terrains en montagne (RTM);Restauration des terrains
SSA;BG;149-26-06;;;Acquisition de forêt par l'Etat ou les collectivités territoriales;Acquisition de forêt par 
SSA;BG;149-26-07;;;Classement et lutte phytosanitaire;Classement et lutte phyto
SSA;BG;149-26-08;;;Chablis;Chablis
SSA;BG;149-26-09;;;Centre national de la propriété forestière (CNPF);Centre national de la pro
SSA;BG;149-26-10;;;Etudes et recherche;Etudes et recherche
SSA;BG;149-26-11;;;Prêts bonifiés;Prêts bonifiés
SSA;BG;149-26-12;;;Fonds stratégique de la forêt et du bois (FSFB);Fonds stratégique de la f
ACT;BG;149-27;;;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;Moyens de mise en oeuvre 
SSA;BG;149-27-01;;;Institut français du cheval et de l'équitation (IFCE);Institut français du chev
SSA;BG;149-27-02;;;Agence de services et de paiement (ASP);Agence de services et de 
SSA;BG;149-27-03;;;Office du développement agricole et rural de Corse (ODARC);Office du développement a
SSA;BG;149-27-04;;;Agence Bio;Agence Bio
SSA;BG;149-27-05;;;Institut national des appellations d'origine (INAO);Institut national des app
SSA;BG;149-27-06;;;France AgriMer;France AgriMer
SSA;BG;149-27-07;;;Office de développement de l'économie agricole d'outre-mer (ODEADOM);Office de développement d
SSA;BG;149-27-08;;;Provision pour aléas - Refus d'apurement communautaire;Provision pour aléas - Re
SSA;BG;149-27-09;;;Autres moyens dédiés à la mise en oeuvre des politiques publiques et gestion des interventions;Autres moyens dédiés à la
ACT;BG;149-28;;;Pêche et aquaculture;Pêche et aquaculture
SSA;BG;149-28-01;;;Suivi scientifique et des données;Suivi scientifique et des
SSA;BG;149-28-02;;;Contrôle des pêches;Contrôle des pêches
SSA;BG;149-28-03;;;Appui technique;Appui technique
SSA;BG;149-28-04;;;Interventions socio-économiques;Interventions socio-écono
SSA;BG;149-28-05;;;Interventions économiques non cofinancées par l'UE;Interventions économiques
SSA;BG;149-28-06;;;Interventions économiques cofinancées par l'UE;Interventions économiques
PGM;BG;206;AC;03;Sécurité et qualité sanitaires de l'alimentation;Sécurité&QualSanAlim
ACT;BG;206-01;;;Santé, qualité et protection des végétaux;San, qual et prot des vég
SSA;BG;206-01-10;;;Gestion des risques pour la santé des végétaux;Gestion santé végétale
SSA;BG;206-01-13;;;Contrôle des pratiques agricoles de la production des végétaux;Contrôle prod. des vég.
SSA;BG;206-01-15;;;Promotion des modes de production respectueux de la santé et de l'environnement;Promotion des modes de pr
SSA;BG;206-01-18;;;Surveillance de la santé des forêts;Surv. santé des forêts
ACT;BG;206-02;;;Santé et protection des animaux;Santé et prot des animaux
SSA;BG;206-02-20;;;Gestion des maladies animales (hors ESST);Gestion maladies animales
SSA;BG;206-02-21;;;Gestion des encéphalopathies spongiformes subaigües transmissibles (ESST);Gestion des ESST
SSA;BG;206-02-22;;;Identification et traçabilité des animaux vivants;Identificat. des animaux
SSA;BG;206-02-24;;;Plans d'urgence contre les épizooties et visites sanitaires;Plans d'urgence et VS
SSA;BG;206-02-27;;;Protection des animaux;Protection des animaux
SSA;BG;206-02-29;;;Contrôle de l'alimentation animale et du médicament vétérinaire;Contrôle de l'alimentatio
ACT;BG;206-03;;;Sécurité sanitaire de l'alimentation;Sécurité sani de l'ali
SSA;BG;206-03-31;;;Inspection sanitaire dans les établissements du secteur alimentaire;Inspection SSA
SSA;BG;206-03-33;;;Lutte contre les zoonoses dans la chaîne alimentaire;Lutte contre les zoonoses
SSA;BG;206-03-35;;;Surveillance de la contamination des denrées et gestion des alertes;Surveillance de la contam
SSA;BG;206-03-37;;;Appui à la gestion des risques sanitaires liés aux aliments;Appui gestion risques SSA
ACT;BG;206-04;;;Actions transversales;Actions transversales
SSA;BG;206-04-42;;;Moyens de fonctionnement de l'agence nationale chargée de la sécurité sanitaire de l'alimentation, de l'environnement et du travail (ANSES);Moyens de fonctionnement 
SSA;BG;206-04-43;;;Autres moyens scientifiques et techniques;Autres moyens scientifiqu
SSA;BG;206-04-44;;;Système d'information de l'alimentation (SIAL);Système d'information de 
SSA;BG;206-04-45;;;Qualité nutritionnelle et sanitaire des produits (CPER);Qualité nutritionnelle et
SSA;BG;206-04-46;;;Brigade nationale d'enquêtes vétérinaires et phytosanitaires;BNEVP
SSA;BG;206-04-47;;;Inspection vétérinaire et phytosanitaire aux frontières;Inspection aux frontières
ACT;BG;206-05;;;Elimination des cadavres et des sous-produits animaux;Elimination des cadavres 
SSA;BG;206-05-50;;;Service public de l'équarrissage;Equarrissage
ACT;BG;206-06;;;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation;Mise en oeuvre de la poli
SSA;BG;206-06-01;;;Personnel des services de l'alimentation au niveau déconcentré : moyens permanents;Personnel des services de
SSA;BG;206-06-02;;;Personnel des services de l'alimentation au niveau déconcentré: moyens non permanents;Personnel des services de
SSA;BG;206-06-03;;;Personnel mis à disposition par le ministère de l'agriculture;Personnel mis à dispositi
SSA;BG;206-06-63;;;Actions sanitaires et sociales des services de l'alimentation;Actions sanitaires et soc
