Mission;Code Mission;Type Mission;Programme;Libellé Programme;Action;Libellé Action;SousAction;Libellé SousAction;Catégorie;Code Titre;Code Ministère;Libellé Ministère;AE T2 PLF;AE HT2 PLF;CP T2 PLF;CP HT2 PLF;AE T2 AMD;AE HT2 amd;CP T2 AMD;CP HT2 AMD;AE T2 LFI;AE HT2 LFI;AE ( T2 + HT2) LFI;CP T2 LFI;CP HT2 LFI;CP ( T2 + HT2) LFI
Justice;JA;BG;101;Accès au droit et à la justice;01;Aide juridictionnelle;;;31;3;10;Justice;0;250 000;0;250 000;0;0;0;0;0;250 000;250 000;0;250 000;250 000
Justice;JA;BG;101;Accès au droit et à la justice;01;Aide juridictionnelle;;;61;6;10;Justice;0;614 894 431;0;614 894 431;0;0;0;0;0;614 894 431;614 894 431;0;614 894 431;614 894 431
Justice;JA;BG;101;Accès au droit et à la justice;01;Aide juridictionnelle;;;64;6;10;Justice;0;65 000;0;65 000;0;0;0;0;0;65 000;65 000;0;65 000;65 000
Justice;JA;BG;101;Accès au droit et à la justice;02;Développement de l'accès au droit et du réseau judiciaire de proximité;;;31;3;10;Justice;0;81 982;0;81 982;0;0;0;0;0;81 982;81 982;0;81 982;81 982
Justice;JA;BG;101;Accès au droit et à la justice;02;Développement de l'accès au droit et du réseau judiciaire de proximité;;;64;6;10;Justice;0;12 176 868;0;12 176 868;0;0;0;0;0;12 176 868;12 176 868;0;12 176 868;12 176 868
Justice;JA;BG;101;Accès au droit et à la justice;03;Aide aux victimes;;;31;3;10;Justice;0;6 753 265;0;6 753 265;0;0;0;0;0;6 753 265;6 753 265;0;6 753 265;6 753 265
Justice;JA;BG;101;Accès au droit et à la justice;03;Aide aux victimes;;;63;6;10;Justice;0;45 000;0;45 000;0;0;0;0;0;45 000;45 000;0;45 000;45 000
Justice;JA;BG;101;Accès au droit et à la justice;03;Aide aux victimes;;;64;6;10;Justice;0;33 476 970;0;33 476 970;0;0;0;0;0;33 476 970;33 476 970;0;33 476 970;33 476 970
Justice;JA;BG;101;Accès au droit et à la justice;04;Médiation familiale et espaces de rencontre;;;63;6;10;Justice;0;13 000;0;13 000;0;0;0;0;0;13 000;13 000;0;13 000;13 000
Justice;JA;BG;101;Accès au droit et à la justice;04;Médiation familiale et espaces de rencontre;;;64;6;10;Justice;0;12 276 181;0;12 276 181;0;0;0;0;0;12 276 181;12 276 181;0;12 276 181;12 276 181
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;01;Amélioration de l'efficacité du service public de l'emploi;01;Indemnisation des demandeurs d'emploi;61;6;36;Travail, emploi et insertion;0;2 339 812 312;0;2 339 812 312;0;0;0;0;0;2 339 812 312;2 339 812 312;0;2 339 812 312;2 339 812 312
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;01;Amélioration de l'efficacité du service public de l'emploi;02;Coordination du service public de l'emploi;32;3;36;Travail, emploi et insertion;0;1 064 446 848;0;1 064 446 848;0;0;0;0;0;1 064 446 848;1 064 446 848;0;1 064 446 848;1 064 446 848
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;01;Amélioration de l'efficacité du service public de l'emploi;02;Coordination du service public de l'emploi;64;6;36;Travail, emploi et insertion;0;0;0;0;0;5 000 000;0;5 000 000;0;5 000 000;5 000 000;0;5 000 000;5 000 000
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;01;Insertion dans l'emploi au moyen de contrats aidés;32;3;36;Travail, emploi et insertion;0;59 300 000;0;59 300 000;0;0;0;0;0;59 300 000;59 300 000;0;59 300 000;59 300 000
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;01;Insertion dans l'emploi au moyen de contrats aidés;62;6;36;Travail, emploi et insertion;0;300 000 000;0;152 376 375;0;-6 000 000;0;-6 000 000;0;294 000 000;294 000 000;0;146 376 375;146 376 375
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;01;Insertion dans l'emploi au moyen de contrats aidés;63;6;36;Travail, emploi et insertion;0;145 959 913;0;111 926 937;0;0;0;0;0;145 959 913;145 959 913;0;111 926 937;111 926 937
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;01;Insertion dans l'emploi au moyen de contrats aidés;64;6;36;Travail, emploi et insertion;0;313 033 523;0;240 044 563;0;0;0;0;0;313 033 523;313 033 523;0;240 044 563;240 044 563
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;01;Insertion dans l'emploi au moyen de contrats aidés;72;7;36;Travail, emploi et insertion;0;14 000 000;0;14 000 000;0;0;0;0;0;14 000 000;14 000 000;0;14 000 000;14 000 000
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;02;Accompagnement des publics les plus en difficultés;32;3;36;Travail, emploi et insertion;0;62 440 923;0;62 440 923;0;73 100 000;0;73 100 000;0;135 540 923;135 540 923;0;135 540 923;135 540 923
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;02;Accompagnement des publics les plus en difficultés;61;6;36;Travail, emploi et insertion;0;302 537 183;0;302 537 183;0;140 000 000;0;140 000 000;0;442 537 183;442 537 183;0;442 537 183;442 537 183
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;02;Accompagnement des publics les plus en difficultés;62;6;36;Travail, emploi et insertion;0;302 356 627;0;308 356 627;0;0;0;0;0;302 356 627;302 356 627;0;308 356 627;308 356 627
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;02;Accompagnement des publics les plus en difficultés;64;6;36;Travail, emploi et insertion;0;2 096 988 280;0;1 943 701 616;0;319 537 766;0;319 537 766;0;2 416 526 046;2 416 526 046;0;2 263 239 382;2 263 239 382
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;03;Plan d'investissement des compétences;;;61;6;36;Travail, emploi et insertion;0;490 356 852;0;490 356 852;0;0;0;0;0;490 356 852;490 356 852;0;490 356 852;490 356 852
Travail et emploi;TB;BG;102;Accès et retour à l'emploi;03;Plan d'investissement des compétences;;;64;6;36;Travail, emploi et insertion;0;86 500 000;0;188 712 409;0;0;0;0;0;86 500 000;86 500 000;0;188 712 409;188 712 409
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;01;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;01;Développement de l'emploi en TPE-PME;62;6;36;Travail, emploi et insertion;0;425 955 637;0;202 279 902;0;0;0;0;0;425 955 637;425 955 637;0;202 279 902;202 279 902
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;01;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;01;Développement de l'emploi en TPE-PME;64;6;36;Travail, emploi et insertion;0;14 182 497;0;14 243 086;0;150 000 000;0;174 000 000;0;164 182 497;164 182 497;0;188 243 086;188 243 086
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;01;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;02;Implication des branches et des entreprises dans la prévention du licenciement et le reclassement des salariés;61;6;36;Travail, emploi et insertion;0;1 701 032;0;1 701 032;0;0;0;0;0;1 701 032;1 701 032;0;1 701 032;1 701 032
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;01;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;02;Implication des branches et des entreprises dans la prévention du licenciement et le reclassement des salariés;62;6;36;Travail, emploi et insertion;0;21 912 491;0;21 912 491;0;0;0;0;0;21 912 491;21 912 491;0;21 912 491;21 912 491
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;01;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;02;Implication des branches et des entreprises dans la prévention du licenciement et le reclassement des salariés;64;6;36;Travail, emploi et insertion;0;0;0;0;0;0;0;210 000 000;0;0;0;0;210 000 000;210 000 000
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;02;Amélioration de l'insertion dans l'emploi par l'adaptation des qualifications et la reconnaissance des compétences;03;Reconnaissance des compétences acquises par les personnes;64;6;36;Travail, emploi et insertion;0;1 000 000;0;1 000 000;0;0;0;0;0;1 000 000;1 000 000;0;1 000 000;1 000 000
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;02;Amélioration de l'insertion dans l'emploi par l'adaptation des qualifications et la reconnaissance des compétences;04;Amélioration de l'accès à la qualification par le développement de l'alternance et de la certification;32;3;36;Travail, emploi et insertion;0;113 826 125;0;113 826 125;0;0;0;0;0;113 826 125;113 826 125;0;113 826 125;113 826 125
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;02;Amélioration de l'insertion dans l'emploi par l'adaptation des qualifications et la reconnaissance des compétences;04;Amélioration de l'accès à la qualification par le développement de l'alternance et de la certification;62;6;36;Travail, emploi et insertion;0;2 081 957 501;0;1 445 681 624;0;0;0;0;0;2 081 957 501;2 081 957 501;0;1 445 681 624;1 445 681 624
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;02;Amélioration de l'insertion dans l'emploi par l'adaptation des qualifications et la reconnaissance des compétences;04;Amélioration de l'accès à la qualification par le développement de l'alternance et de la certification;64;6;36;Travail, emploi et insertion;0;25 113 139;0;25 141 903;0;4 700 000;0;4 700 000;0;29 813 139;29 813 139;0;29 841 903;29 841 903
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;03;Développement de l'emploi;01;Baisse du coût du travail pour faciliter le développement de territoires et de secteurs à forts potentiels d'emploi;61;6;36;Travail, emploi et insertion;0;2 232 454 847;0;2 232 454 847;0;0;0;0;0;2 232 454 847;2 232 454 847;0;2 232 454 847;2 232 454 847
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;03;Développement de l'emploi;01;Baisse du coût du travail pour faciliter le développement de territoires et de secteurs à forts potentiels d'emploi;62;6;36;Travail, emploi et insertion;0;709 678 142;0;709 678 142;0;-5 000 000;0;-5 000 000;0;704 678 142;704 678 142;0;704 678 142;704 678 142
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;03;Développement de l'emploi;02;Promotion de l'activité;62;6;36;Travail, emploi et insertion;0;505 976 020;0;510 761 420;0;-8 921;0;-8 921;0;505 967 099;505 967 099;0;510 752 499;510 752 499
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;03;Développement de l'emploi;02;Promotion de l'activité;64;6;36;Travail, emploi et insertion;0;13 957 475;0;13 743 682;0;1 000 000;0;1 000 000;0;14 957 475;14 957 475;0;14 743 682;14 743 682
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;04;Plan d'investissement des compétences;;;62;6;36;Travail, emploi et insertion;0;0;0;0;0;0;0;60 000 000;0;0;0;0;60 000 000;60 000 000
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;04;Plan d'investissement des compétences;;;63;6;36;Travail, emploi et insertion;0;310 252 214;0;96 809 423;0;356 000 000;0;181 000 000;0;666 252 214;666 252 214;0;277 809 423;277 809 423
Travail et emploi;TB;BG;103;Accompagnement des mutations économiques et développement de l'emploi;04;Plan d'investissement des compétences;;;64;6;36;Travail, emploi et insertion;0;0;0;0;0;0;0;70 000 000;0;0;0;0;70 000 000;70 000 000
Immigration, asile et intégration;IA;BG;104;Intégration et accès à la nationalité française;11;Accueil des étrangers primo arrivants;;;32;3;9;Intérieur;0;245 832 970;0;245 832 970;0;-1 738 293;0;-1 738 293;0;244 094 677;244 094 677;0;244 094 677;244 094 677
Immigration, asile et intégration;IA;BG;104;Intégration et accès à la nationalité française;11;Accueil des étrangers primo arrivants;;;61;6;9;Intérieur;0;11 000 000;0;11 000 000;0;0;0;0;0;11 000 000;11 000 000;0;11 000 000;11 000 000
Immigration, asile et intégration;IA;BG;104;Intégration et accès à la nationalité française;12;Intégration des étrangers primo-arrivants;;;31;3;9;Intérieur;0;3 000 000;0;3 000 000;0;0;0;0;0;3 000 000;3 000 000;0;3 000 000;3 000 000
Immigration, asile et intégration;IA;BG;104;Intégration et accès à la nationalité française;12;Intégration des étrangers primo-arrivants;;;62;6;9;Intérieur;0;1 200 000;0;1 200 000;0;0;0;0;0;1 200 000;1 200 000;0;1 200 000;1 200 000
Immigration, asile et intégration;IA;BG;104;Intégration et accès à la nationalité française;12;Intégration des étrangers primo-arrivants;;;63;6;9;Intérieur;0;6 000 000;0;6 000 000;0;0;0;0;0;6 000 000;6 000 000;0;6 000 000;6 000 000
Immigration, asile et intégration;IA;BG;104;Intégration et accès à la nationalité française;12;Intégration des étrangers primo-arrivants;;;64;6;9;Intérieur;0;69 286 070;0;69 286 070;0;0;0;0;0;69 286 070;69 286 070;0;69 286 070;69 286 070
