Exercice;loi;typeBudget;ministere;mission;programme;ETPT LFI 2022
2022;LFI;BG;01;AA;105;8 069,00
2022;LFI;BG;10;JA;107;43 954,02
2022;LFI;BG;56;SE;124;4 872,00
2022;LFI;BG;12;CA;126;152,00
2022;LFI;BG;12;DC;129;2 819,05
2022;LFI;BG;07;DB;134;4 396,00
2022;LFI;BG;44;OA;138;5 744,00
2022;LFI;BG;06;EC;139;133 628,00
2022;LFI;BG;06;EC;140;344 647,00
2022;LFI;BG;06;EC;141;452 440,50
2022;LFI;BG;03;RA;142;2 816,00
2022;LFI;BG;03;EC;143;15 205,00
2022;LFI;BG;45;VA;147;291,00
2022;LFI;BG;38;RA;150;5 311,00
2022;LFI;BG;01;AA;151;3 248,00
2022;LFI;BG;09;SB;152;101 348,39
2022;LFI;BG;36;TB;155;7 961,00
2022;LFI;BG;07;GA;156;95 039,00
2022;LFI;BG;12;MB;158;16,00
2022;LFI;BG;09;SB;161;2 462,56
2022;LFI;BG;06;SF;163;360,00
2022;LFI;BG;12;CA;164;1 797,67
2022;LFI;BG;12;CA;165;4 285,97
2022;LFI;BG;10;JA;166;34 863,13
2022;LFI;BG;09;SB;176;149 685,56
2022;LFI;BG;23;TA;181;445,00
2022;LFI;BG;10;JA;182;9 260,01
2022;LFI;BG;01;AA;185;791,00
2022;LFI;BG;03;AC;206;4 909,00
2022;LFI;BG;01;AD;209;1 458,00
2022;LFI;BG;70;DA;212;271 372,04
2022;LFI;BG;06;EC;214;28 412,00
2022;LFI;BG;03;AC;215;6 805,00
2022;LFI;BG;09;AB;216;11 128,44
2022;LFI;BG;23;TA;217;35 224,00
2022;LFI;BG;07;GA;218;4 754,00
2022;LFI;BG;06;SF;219;1 442,00
2022;LFI;BG;07;DB;220;5 028,00
2022;LFI;BG;02;CB;224;9 434,13
2022;LFI;BG;06;EC;230;63 932,00
2022;LFI;BG;09;AB;232;65,00
2022;LFI;BG;07;GA;302;16 572,00
2022;LFI;BG;07;DB;305;1 260,00
2022;LFI;BG;12;DC;308;670,96
2022;LFI;BG;10;JA;310;2 565,64
2022;LFI;BG;10;JA;335;24,00
2022;LFI;BG;12;CA;340;6,25
2022;LFI;BG;09;AB;354;29 081,50
2022;LFI;BG;50;TR;368;433,00
2022;LFI;BA;23;XC;613;10 451,00
2022;LFI;BA;12;XJ;624;534,00
