Extraction du;Type de recettes;Année;Code Mission;Mission/Budget Annexe;Code Ligne Recettes;Ligne de Recettes;Montant Recettes PLF 2023;Montant Recettes Amendements 2023;Montant Recettes LFI 2023;Prévisions  Recettes 2024;Prévisions Recettes 2025
20221013_16_01_52;Recettes BA;2023.0;XC;Contrôle et exploitation aériens;7063.0;Redevances pour services terminaux de la circulation aérienne pour la métropole;230300000.0;0.0;230300000.0;251000000.0;254000000.0
20221013_16_01_52;Recettes BA;2023.0;XJ;Publications officielles et information administrative;;Autres activités;500000.0;0.0;500000.0;500000.0;500000.0
20221013_16_01_52;Recettes BA;2023.0;XC;Contrôle et exploitation aériens;7080.0;Recettes diverses;3500000.0;0.0;3500000.0;3500000.0;3500000.0
20221013_16_01_52;Recettes BA;2023.0;XJ;Publications officielles et information administrative;;Produit de cession d'actif;0.0;0.0;0.0;0.0;0.0
20221013_16_01_52;Recettes BA;2023.0;XC;Contrôle et exploitation aériens;7502.0;Frais d'assiette et recouvrement sur taxes perçues pour le compte de tiers;5103267.0;0.0;5103267.0;5739890.0;6376512.0
20221013_16_01_52;Recettes BA;2023.0;XJ;Publications officielles et information administrative;;Bulletin des annonces légales et obligatoires;6000000.0;0.0;6000000.0;6000000.0;6000000.0
20221013_16_01_52;Recettes BA;2023.0;XC;Contrôle et exploitation aériens;7067.0;Redevances de surveillance et de certification;25548411.0;0.0;25548411.0;27122617.0;28846822.0
20221013_16_01_52;Recettes BA;2023.0;XC;Contrôle et exploitation aériens;9200.0;Produit de cession d'actif;2000000.0;0.0;2000000.0;2000000.0;2000000.0
20221013_16_01_52;Recettes BA;2023.0;XJ;Publications officielles et information administrative;;Journal officiel de la République française - Lois et Décrets;600000.0;0.0;600000.0;600000.0;600000.0
20221013_16_01_52;Recettes BA;2023.0;XC;Contrôle et exploitation aériens;7503.0;Tarif de solidarité de la taxe sur le transport aérien de passagers;0.0;0.0;0.0;0.0;0.0
20221013_16_01_52;Recettes BA;2023.0;XC;Contrôle et exploitation aériens;7501.0;Tarif de l'aviation civile (part de la taxe sur le transport aérien de marchandises et de la taxe sur le transport aérien de passagers);444322872.0;0.0;444322872.0;506671486.0;515943788.0
20221013_16_01_52;Recettes BA;2023.0;XC;Contrôle et exploitation aériens;7068.0;Contribution Bâle-Mulhouse;5556940.0;0.0;5556940.0;5704627.0;5856238.0
20221013_16_01_52;Recettes BA;2023.0;XJ;Publications officielles et information administrative;;Prestations et travaux d'édition;1900000.0;0.0;1900000.0;1900000.0;1900000.0
20221013_16_01_52;Recettes BA;2023.0;XJ;Publications officielles et information administrative;;Vente de publications et abonnements;900000.0;0.0;900000.0;1000000.0;1100000.0
20221013_16_01_52;Recettes BA;2023.0;XC;Contrôle et exploitation aériens;7062.0;Redevance océanique et redevances pour services terminaux de la circulation aérienne en outre-mer;34300000.0;0.0;34300000.0;45000000.0;45000000.0
20221013_16_01_52;Recettes BA;2023.0;XJ;Publications officielles et information administrative;;Bulletin officiel des annonces civiles et commerciales;91000000.0;0.0;91000000.0;91000000.0;91000000.0
20221013_16_01_52;Recettes BA;2023.0;XJ;Publications officielles et information administrative;;Bulletin officiel des annonces des marchés publics;66300000.0;0.0;66300000.0;66300000.0;68098000.0
20221013_16_01_52;Recettes BA;2023.0;XC;Contrôle et exploitation aériens;7061.0;Redevances de route;1481760000.0;0.0;1481760000.0;1572000000.0;1608000000.0
