Extraction du;Type de dépenses;Année;Code Compte;Libellé du compte;Code Section;Libellé de la section;Code Ligne Dépense;Libellé Ligne Dépense;Montant Dépenses PLF 2023;Montant Dépenses Amendements 2023;Montant Dépenses LFI 2023;Prévision  Dépenses 2024;Prévision Dépenses 2025
20221013_16_01_29;Depenses Compte de commerce;2023.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-37;Taxes;1300000.0;0.0;1300000.0;1325000.0;1350000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires.;901-4;fonctionnement pétrolier;901-4-04;Fonctionnement pétrolier;32315400.0;0.0;32315400.0;32360000.0;32410000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;915.0;Soutien financier au commerce extérieur;915-1;Assurance-crédit et assurance-investissement;915-1-16;Versements au budget général;552000000.0;0.0;552000000.0;78000000.0;78000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;907.0;Opérations commerciales des domaines;;;907-0-36;Gestion des cités administratives;36000000.0;0.0;36000000.0;36000000.0;36000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires.;901-6;Remboursement défense;901-6-06;Remboursement au budget général des armées;3972000.0;0.0;3972000.0;3972000.0;3972000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-73;Gestion de la trésorerie : Rémunération des fonds non consommables versés par l'État;751000000.0;0.0;751000000.0;751000000.0;751000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;915.0;Soutien financier au commerce extérieur;915-7;Cap Francexport et Cap Francexport +;915-7-76;Versements au budget général;2779196.0;0.0;2779196.0;455469.0;455469.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-37;Intérêts moratoires et change;400000.0;0.0;400000.0;400000.0;400000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-31;Achats de matières premières, fournitures, rechanges et sous-traitances;285000000.0;0.0;285000000.0;286000000.0;271000000.0
20221013_16_01_29;Depenses Compte d'opération monétaire;2023.0;953.0;Pertes et bénéfices de change;;;953-0-30;Dépenses;30000000.0;0.0;30000000.0;30000000.0;30000000.0
20221013_16_01_29;Depenses Compte de commerce;2023.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires.;901-2;Achat de carburant en secteur civil;901-2-02;Achat de carburant en secteur civil;200862082.0;0.0;200862082.0;208366827.0;225333505.0
