Mission;Code Mission;Type Mission;Programme;Libellé Programme;Action;Libellé Action;SousAction;Libellé SousAction;Catégorie;Code Titre;Code Ministère;Libellé Ministère;AE T2 PLF 2023;AE Hors T2 PLF 2023;CP T2 PLF 2023;CP Hors T2 PLF 2023;AE T2 Amendements 2023;AE Hors T2 Amendements 2023;CP T2 Amendements 2023;CP Hors T2 Amendements 2023;AE T2 LFI 2023;AE Hors T2 LFI 2023;AE (T2 + Hors T2) LFI  2023;CP T2 LFI 2023;CP Hors T2 LFI 2023;CP (T2 + Hors T2) LFI  2023;check LFI positive pour le croisement action/sous-action catégorie de cette ligne;"check
 AE = CP en T2"
Plan de relance;PR;BG;362.0;Écologie;07;Infrastructures et mobilité vertes;;;62.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;0.0;0.0;15000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;15;Personnels mettant en oeuvre les politiques d'accompagnement des mutations économiques et développement de l'emploi;;;22.0;4.0;36.0;Travail, plein emploi et insertion;34823343.0;0.0;34823343.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Anciens combattants, mémoire et liens avec la Nation;MB;BG;158.0;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;01;Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation;;;21.0;4.0;12.0;Services du Premier ministre;988959.0;0.0;988959.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;176.0;Police nationale;01;Ordre public et protection de la souveraineté;02;Ordre public et protection de la souveraineté - Hors administration centrale et cabinets;21.0;4.0;9.0;Intérieur et outre-mer;850976465.0;0.0;850976465.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;176.0;Police nationale;05;Missions de police judiciaire et concours à la justice;02;Missions de police judiciaire et concours à la justice - Hors administration centrale et cabinets;21.0;4.0;9.0;Intérieur et outre-mer;1581312727.0;0.0;1581312727.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;214.0;Soutien de la politique de l'éducation nationale;02;Évaluation et contrôle;;;21.0;4.0;6.0;Éducation nationale et  jeunesse;50140629.0;0.0;50140629.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Engagements financiers de l'État;EB;BG;114.0;Appels en garantie de l'État (crédits évaluatifs);04;Développement international de l'économie française;02;Assurance-prospection;65.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;97500000.0;0.0;97500000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Conseil et contrôle de l'État;CA;BG;164.0;Cour des comptes et autres juridictions financières;22;Contrôle des finances publiques;;;23.0;4.0;12.0;Services du Premier ministre;97646.0;0.0;97646.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;174.0;Énergie, climat et après-mines;02;Accompagnement transition énergétique;;;61.0;4.0;43.0;Transition énergétique;0.0;3326047498.0;0.0;3072494265.0;0.0;700000000.0;0.0;700000000.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Cohésion des territoires;VA;BG;109.0;Aide à l'accès au logement;01;Aides personnelles;;;61.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;13362000000.0;0.0;13362000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;161.0;Sécurité civile;11;Prévention et gestion de crises;;;64.0;4.0;9.0;Intérieur et outre-mer;0.0;7590000.0;0.0;7590000.0;0.0;7000000.0;0.0;7000000.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;66;Rayonnement et contribution extérieure;05;Pilotage, soutien et communication -  Elèves des classes préparatoires des lycées de la défense;21.0;4.0;70.0;Armées;1309810.0;0.0;1309810.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sport, jeunesse et vie associative;SF;BG;350.0;Jeux olympiques et paralympiques 2024;02;Comité d'organisation des jeux olympiques et paralympiques;;;64.0;4.0;42.0;Sports et jeux olympiques et paralympiques;0.0;0.0;0.0;25000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Direction de l'action du Gouvernement;DC;BG;129.0;Coordination du travail gouvernemental;16;Coordination de la politique numérique;;;31.0;4.0;12.0;Services du Premier ministre;0.0;32009241.0;0.0;30221241.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;50;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";02;Renseignement de sécurité et de défense;23.0;4.0;70.0;Armées;439641.0;0.0;439641.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";06;Renseignement d'intérêt militaire;21.0;4.0;70.0;Armées;103772307.0;0.0;103772307.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Justice;JA;BG;335.0;Conseil supérieur de la magistrature;01;Conseil supérieur de la magistrature;;;23.0;4.0;10.0;Justice;9821.0;0.0;9821.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Relations avec les collectivités territoriales;RC;BG;119.0;Concours financiers aux collectivités territoriales et à leurs groupements;05;Dotation générale de décentralisation des régions;;;63.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;1298030418.0;0.0;1298030418.0;0.0;107000000.0;0.0;107000000.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Outre-mer;OA;BG;123.0;Conditions de vie outre-mer;06;Collectivités territoriales;;;64.0;4.0;9.0;Intérieur et outre-mer;0.0;10000000.0;0.0;10000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Aide publique au développement;AD;BG;110.0;Aide économique et financière au développement;03;Traitement de la dette des pays pauvres;;;64.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;1300132.0;0.0;1300132.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Solidarité, insertion et égalité des chances;SE;BG;137.0;Égalité entre les femmes et les hommes;25;Prévention et lutte contre les violences et la prostitution;;;64.0;4.0;12.0;Services du Premier ministre;0.0;27583580.0;0.0;30804402.0;0.0;5962757.0;0.0;5962757.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;218.0;Conduite et pilotage des politiques économiques et financières;02;Expertise, audit, évaluation et contrôle;;;51.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;5710729.0;0.0;5310729.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Recherche et enseignement supérieur;RA;BG;142.0;Enseignement supérieur et recherche agricoles;01;Enseignement supérieur;;;32.0;4.0;3.0;Agriculture et souveraineté alimentaire;0.0;45640498.0;0.0;45640498.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;161.0;Sécurité civile;11;Prévention et gestion de crises;;;23.0;4.0;9.0;Intérieur et outre-mer;9483.0;0.0;9483.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;141.0;Enseignement scolaire public du second degré;12;Pilotage, administration et encadrement pédagogique;;;22.0;4.0;6.0;Éducation nationale et  jeunesse;1587085077.0;0.0;1587085077.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;156.0;Gestion fiscale et financière de l'État et du secteur public local;09;Soutien;;;23.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;7925068.0;0.0;7925068.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;176.0;Police nationale;03;Sécurité routière;01;Sécurité routière  - Administration centrale et cabinet;23.0;4.0;9.0;Intérieur et outre-mer;66899.0;0.0;66899.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;203.0;Infrastructures et services de transports;41;Ferroviaire;;;62.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;2708374508.0;0.0;2704924508.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Direction de l'action du Gouvernement;DC;BG;129.0;Coordination du travail gouvernemental;13;Ordre de la Légion d'honneur;;;53.0;4.0;12.0;Services du Premier ministre;0.0;2949000.0;0.0;2949000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Économie;DB;BG;134.0;Développement des entreprises et régulations;15;Mise en oeuvre du droit de la concurrence (Autorité de la concurrence);;;21.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;12999204.0;0.0;12999204.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;12;Etudes, statistiques évaluation et recherche;;;31.0;4.0;36.0;Travail, plein emploi et insertion;0.0;7232784.0;0.0;6837862.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Remboursements et dégrèvements;RD;BG;200.0;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);11;Remboursements et restitutions liés à la mécanique de l'impôt;05;Impôt sur le revenu;61.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;10315022825.0;0.0;10315022825.0;0.0;1057895953.0;0.0;1057895953.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Pensions;YD;CAS;741.0;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;02;Militaires relevant du code des pensions civiles et militaires de retraite;;;31.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;100000.0;0.0;100000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Financement des aides aux collectivités pour l'électrification rurale;YK;CAS;793.0;Électrification rurale;11;Sécurisation de fils nus (Fusion des actions 6 et 7 à partir de 2021);;;64.0;4.0;43.0;Transition énergétique;0.0;100000000.0;0.0;100000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Action extérieure de l'État;AA;BG;105.0;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;;21.0;4.0;1.0;Europe et affaires étrangères;377235212.0;0.0;377235212.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;08;Projection - mobilité - soutien;46;Assurer la mobilité - Rénovation Cougar;31.0;4.0;70.0;Armées;0.0;0.0;0.0;114416.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;52;Relations internationales;01;DGA / Soutien aux exportations;22.0;4.0;70.0;Armées;2881769.0;0.0;2881769.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Recherche et enseignement supérieur;RA;BG;231.0;Vie étudiante;02;Aides indirectes;;;32.0;4.0;38.0;Enseignement supérieur et recherche;0.0;290898690.0;0.0;290898690.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
