Extraction du;Année;Budget;Code Ministère; Ministère;Code Programme; Programme;Code Catégorie d'emploi;Code Catégorie d'emploi;ETPT PLF 2023;ETPT Amendements  2023;ETPT LFI  2023;Code Mission;Mission
20221230_16_43_50;2023.0;BG;10.0;Justice;166.0;Justice judiciaire;1036.0;Magistrats de l'ordre judiciaire;9981.92;0.0;9981.92;JA;Justice
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;354.0;Administration territoriale de l'État;1174.0;Personnels administratifs cat A;5295.3;14.3;5309.6;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;70.0;Armées;212.0;Soutien de la politique de la défense;1088.0;Catégorie B (personnels civils titulaires et non titulaires);14920.73;0.0;14920.73;DA;Défense
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;152.0;Gendarmerie nationale;1179.0;Sous-officiers de gendarmerie;75078.63;0.0;75078.63;SB;Sécurités
20221230_16_43_50;2023.0;BG;56.0;Solidarités, autonomie et personnes handicapées;124.0;Conduite et soutien des politiques sanitaires et sociales;1377.0;Catégorie C;877.0;32.0;909.0;SE;Solidarité, insertion et égalité des chances
20221230_16_43_50;2023.0;BG;36.0;Travail, plein emploi et insertion;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;1076.0;B techniques;982.0;0.0;982.0;TB;Travail et emploi
20221230_16_43_50;2023.0;BG;70.0;Armées;212.0;Soutien de la politique de la défense;1094.0;Volontaires;1641.02;0.0;1641.02;DA;Défense
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;126.0;Conseil économique, social et environnemental;1138.0;Contractuels;25.0;0.0;25.0;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BG;10.0;Justice;310.0;Conduite et pilotage de la politique de la justice;1037.0;Personnels d'encadrement;1371.4;-1.0;1370.4;JA;Justice
20221230_16_43_50;2023.0;BG;70.0;Armées;212.0;Soutien de la politique de la défense;1095.0;Volontaires stagiaires du SMV;1147.2;0.0;1147.2;DA;Défense
20221230_16_43_50;2023.0;BG;10.0;Justice;182.0;Protection judiciaire de la jeunesse;1039.0;B administratifs et techniques;367.25;0.0;367.25;JA;Justice
20221230_16_43_50;2023.0;BG;36.0;Travail, plein emploi et insertion;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;1077.0;Catégorie C;1362.0;-2.9;1359.1;TB;Travail et emploi
20221230_16_43_50;2023.0;BG;38.0;Enseignement supérieur et recherche;150.0;Formations supérieures et recherche universitaire;1322.0;A - Personnels d’encadrement;947.0;0.0;947.0;RA;Recherche et enseignement supérieur
20221230_16_43_50;2023.0;BG;70.0;Armées;212.0;Soutien de la politique de la défense;1091.0;Officiers;35199.26;0.0;35199.26;DA;Défense
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;140.0;Enseignement scolaire public du premier degré;1111.0;Personnels d'encadrement;1551.0;0.0;1551.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1178.0;Officiers du corps technique et administratif de la gendarmerie nationale;42.0;0.0;42.0;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;3.0;Agriculture et souveraineté alimentaire;215.0;Conduite et pilotage des politiques de l'agriculture;1015.0;B et C - Administratifs et Techniques;3883.0;-3.8;3879.2;AC;Agriculture, alimentation, forêt et affaires rurales
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;214.0;Soutien de la politique de l'éducation nationale;1112.0;Personnels administratif, technique et de service;24233.0;1.0;24234.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;151.0;Français à l'étranger et affaires consulaires;1102.0;Titulaires et CDI dans le réseau;1047.05;0.0;1047.05;AA;Action extérieure de l'État
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;185.0;Diplomatie culturelle et d'influence;1103.0;CDD et volontaires internationaux;545.74;0.0;545.74;AA;Action extérieure de l'État
20221230_16_43_50;2023.0;BG;70.0;Armées;212.0;Soutien de la politique de la défense;1089.0;Catégorie C (personnels civils titulaires et non titulaires);21066.79;0.0;21066.79;DA;Défense
20221230_16_43_50;2023.0;BG;10.0;Justice;166.0;Justice judiciaire;1037.0;Personnels d'encadrement;4174.41;105.0;4279.41;JA;Justice
20221230_16_43_50;2023.0;BG;70.0;Armées;212.0;Soutien de la politique de la défense;1087.0;Catégorie A (personnels civils titulaires et non titulaires);15232.53;1.0;15233.53;DA;Défense
20221230_16_43_50;2023.0;BG;42.0;Sports et jeux olympiques et paralympiques;219.0;Sport;1390.0;Personnels de la jeunesse et des sports;1442.0;0.0;1442.0;SF;Sport, jeunesse et vie associative
20221230_16_43_50;2023.0;BG;10.0;Justice;310.0;Conduite et pilotage de la politique de la justice;1042.0;A métiers du social, de l'insertion et de l'éducatif;87.0;0.0;87.0;JA;Justice
20221230_16_43_50;2023.0;BG;10.0;Justice;107.0;Administration pénitentiaire;1039.0;B administratifs et techniques;1349.66;0.0;1349.66;JA;Justice
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;141.0;Enseignement scolaire public du second degré;1111.0;Personnels d'encadrement;16297.71;0.0;16297.71;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;139.0;Enseignement privé du premier et du second degrés;1107.0;Enseignants du 2nd degré;87197.0;0.0;87197.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;10.0;Justice;310.0;Conduite et pilotage de la politique de la justice;1041.0;C administratifs et techniques;515.7;0.0;515.7;JA;Justice
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;161.0;Sécurité civile;1165.0;Ouvriers d'Etat;42.5;0.0;42.5;SB;Sécurités
20221230_16_43_50;2023.0;BG;3.0;Agriculture et souveraineté alimentaire;143.0;Enseignement technique agricole;1015.0;B et C - Administratifs et Techniques;1446.0;0.0;1446.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;3.0;Agriculture et souveraineté alimentaire;143.0;Enseignement technique agricole;1013.0;Enseignants;12688.0;0.0;12688.0;EC;Enseignement scolaire
