Nomenclature;Année;Type de ligne;Type de budget;Périmètre financier Chorus;Ministère;Programme;Code (programme, action ou sous-action);Libellé Chorus abrégé;Libellé complet;Mission;Type de dépenses;Code article d'éxécution;Section CAS/CCF;Compte CAS/CCF;Id Histo Tango;Code section Chorus
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P162;0162-10-05;La cohésion sociale et l';La cohésion sociale et l'employabilité;MVA Cohésion des territoires;Hors Personnel;;;;TZKC06G56E;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN56 Solidarités, autonomie et personnes handicapées;P304;0304-15;Qualification en travail;Qualification en travail social;MSE Solidarité, insertion et égalité des chances;Hors Personnel;;;;1ACT4127;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P131;0131-02-06;Aides créa et diff AV;Aides à la création et à la diffusion en matière d'arts visuels;MCB Culture;Hors Personnel;45.0;;;1NEX661;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P142;0142-02-01;Appui à la recherche - Pe;Appui à la recherche - Personnel de la recherche du ministère chargé de l'agriculture;MRA Recherche et enseignement supérieur;Personnel;20.0;;;1NEX2134;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P149;0149-25-17;Incitation à l'emploi en;Incitation à l'emploi en agriculture et en milieu rural;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;57.0;;;1NEX10727;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P165;0165-06-02;Soutien hs frais de just.;Soutien (hors frais de justice);MCA Conseil et contrôle de l'État;Mixte;61.0;;;1NEX80;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P345;0345-15;Frais divers;Frais divers;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;16G5COJTLL4;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P345;0345-17-02;MDCG;Mesures à destination des consommateurs de gaz;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;1W1V12VWYHV;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P192;0192-01-05;Personnels oeuvrant pour;Personnels oeuvrant pour les organismes de formation supérieure et de recherche;MRA Recherche et enseignement supérieur;Hors Personnel;;;;1NEX7029;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P129;0129-10;Soutien;Soutien;MDC Direction de l'action du Gouvernement;Mixte;;;;1ACT665;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P131;0131-01-02;Aide créa° & nvelles écri;Aide à la création et aux nouvelles écritures;MCB Culture;Hors Personnel;11.0;;;1NEX2991;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P104;0104-15;Accompagnement réfugiés;Accompagnement des réfugiés;MIA Immigration, asile et intégration;Hors Personnel;;;;1ACT3295;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN36 Travail, plein emploi et insertion;P103;0103-02-04;Amélioration de l'accès à;Amélioration de l'accès à la qualification par le développement de l'alternance et de la certification;MTB Travail et emploi;Hors Personnel;41.0;;;1SSA577;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P135;0135-09-05;PSH_relance;Création de places d'hébergement, via FNAP;MVA Cohésion des territoires;Hors Personnel;;;;1F4SAQWJMEN;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P382;382.0;Protection animale;Soutien aux associations de protection animale et aux refuges;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;;;;26HA6A0DJIX;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P200;0200-13-08;Autres remboursements et;Autres remboursements et dégrèvements liés à la gestion des produits de l'Etat - Dations en paiement, intérêts moratoires, remises de débets;MRD Remboursements et dégrèvements;Hors Personnel;39.0;;;2QDOV5MCV2J;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P216;0216-01-14;Comité des finances local;Comité des finances locales;MAB Administration générale et territoriale de l'État;Personnel;45.0;;;1NEX9878;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P175;0175-01-10;Prom valo MH pat mo HCPER;Promotion et valorisation des monuments historiques et du patrimoine monumental (hors CPER);MCB Culture;Hors Personnel;19.0;;;1NEX565;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P354;0354-06;Dép immo ATE;Dépenses immobilières de l'administration territoriale;MAB Administration générale et territoriale de l'État;Hors Personnel;;;;U88FS9K6A1;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P162;0162-02-21;Suppr. Attein. Environ.;Inciter les agriculteurs et les autres acteurs à supprimer les atteintes à l'environnement;MVA Cohésion des territoires;Hors Personnel;21.0;;;1NEX10062;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P165;0165-04;Fonction consultative;Fonction consultative;MCA Conseil et contrôle de l'État;Personnel;40.0;;;1ACT858;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN06 Éducation nationale et  jeunesse;P140;140.0;ens. sco. pub. 1er dg;Enseignement scolaire public du premier degré;MEC Enseignement scolaire;Mixte;;;;1PGM260;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P177;0177-12-09;Hébergement de stabilisat;Hébergement de stabilisation - hors centres d'hébergement et de réinsertion sociale (CHRS);MVA Cohésion des territoires;Hors Personnel;90.0;;;1NEX9012;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P203;0203-41;Ferroviaire;Ferroviaire;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;1ACT5318;
