Année PLF;Type de Budget;Code Mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;Code Catégorie;Catégorie;AE PLF 2019;CP PLF 2019;Code Titre;Titre;Code Ministère PLF 2019;Ministère PLF 2019
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;1;Coordination de l'action diplomatique;;;21;Rémunérations d’activité;44 090 361;44 090 361;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;1;Coordination de l'action diplomatique;;;22;Cotisations et contributions sociales;20 896 669;20 896 669;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;1;Coordination de l'action diplomatique;;;23;Prestations sociales et allocations diverses;1 249 791;1 249 791;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;1;Coordination de l'action diplomatique;;;31;Dépenses de fonctionnement autres que celles de personnel;30 862 362;30 862 362;3;Dépenses de fonctionnement;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;1;Coordination de l'action diplomatique;;;61;Transferts aux ménages;2 783 145;2 783 145;6;Dépenses d’intervention;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;2;Action européenne;;;21;Rémunérations d’activité;7 950 148;7 950 148;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;2;Action européenne;;;22;Cotisations et contributions sociales;2 705 707;2 705 707;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;2;Action européenne;;;23;Prestations sociales et allocations diverses;110 806;110 806;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;2;Action européenne;;;31;Dépenses de fonctionnement autres que celles de personnel;15 000;15 000;3;Dépenses de fonctionnement;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;2;Action européenne;;;61;Transferts aux ménages;43 595 467;43 595 467;6;Dépenses d’intervention;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;4;Contributions internationales;;;61;Transferts aux ménages;682 841 551;683 841 551;6;Dépenses d’intervention;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;5;Coopération de sécurité et de défense;;;21;Rémunérations d’activité;49 604 662;49 604 662;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;5;Coopération de sécurité et de défense;;;22;Cotisations et contributions sociales;18 025 499;18 025 499;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;5;Coopération de sécurité et de défense;;;23;Prestations sociales et allocations diverses;84 956;84 956;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;5;Coopération de sécurité et de défense;;;31;Dépenses de fonctionnement autres que celles de personnel;3 951 832;3 951 832;3;Dépenses de fonctionnement;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;5;Coopération de sécurité et de défense;;;61;Transferts aux ménages;32 375 813;32 375 813;6;Dépenses d’intervention;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;6;Soutien;;;21;Rémunérations d’activité;77 669 975;77 669 975;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;6;Soutien;;;22;Cotisations et contributions sociales;38 340 238;38 340 238;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;6;Soutien;;;23;Prestations sociales et allocations diverses;2 250 846;2 250 846;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;6;Soutien;;;31;Dépenses de fonctionnement autres que celles de personnel;93 440 752;91 262 416;3;Dépenses de fonctionnement;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;6;Soutien;;;51;Dépenses pour immobilisations corporelles de l’État;10 070 000;10 070 000;5;Dépenses d’investissement;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;6;Soutien;;;52;Dépenses pour immobilisations incorporelles de l’État;2 500 000;2 500 000;5;Dépenses d’investissement;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;7;Réseau diplomatique;;;21;Rémunérations d’activité;329 971 659;329 971 659;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;7;Réseau diplomatique;;;22;Cotisations et contributions sociales;67 518 008;67 518 008;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;7;Réseau diplomatique;;;23;Prestations sociales et allocations diverses;519 747;519 747;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;7;Réseau diplomatique;;;31;Dépenses de fonctionnement autres que celles de personnel;179 066 561;178 607 830;3;Dépenses de fonctionnement;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;7;Réseau diplomatique;;;51;Dépenses pour immobilisations corporelles de l’État;33 516 040;33 516 040;5;Dépenses d’investissement;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;1;Offre d'un service public de qualité aux Français à l'étranger;;;21;Rémunérations d’activité;149 532 307;149 532 307;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;1;Offre d'un service public de qualité aux Français à l'étranger;;;22;Cotisations et contributions sociales;33 421 526;33 421 526;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;1;Offre d'un service public de qualité aux Français à l'étranger;;;23;Prestations sociales et allocations diverses;570 083;570 083;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;1;Offre d'un service public de qualité aux Français à l'étranger;;;31;Dépenses de fonctionnement autres que celles de personnel;12 585 128;12 585 128;3;Dépenses de fonctionnement;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;1;Offre d'un service public de qualité aux Français à l'étranger;;;61;Transferts aux ménages;14 333 000;14 333 000;6;Dépenses d’intervention;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;1;Offre d'un service public de qualité aux Français à l'étranger;;;64;Transferts aux autres collectivités;3 728 000;3 728 000;6;Dépenses d’intervention;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;2;Accès des élèves français au réseau AEFE;;;61;Transferts aux ménages;105 300 000;105 300 000;6;Dépenses d’intervention;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;3;Instruction des demandes de visa;;;21;Rémunérations d’activité;46 414 967;46 414 967;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;3;Instruction des demandes de visa;;;22;Cotisations et contributions sociales;8 260 007;8 260 007;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;3;Instruction des demandes de visa;;;23;Prestations sociales et allocations diverses;95 350;95 350;2;Dépenses de personnel;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;1;Appui au réseau;;;31;Dépenses de fonctionnement autres que celles de personnel;41 101 383;41 101 383;3;Dépenses de fonctionnement;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;2;Coopération culturelle et promotion du français;;;32;Subventions pour charges de service public;30 791 961;30 791 961;3;Dépenses de fonctionnement;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;2;Coopération culturelle et promotion du français;;;61;Transferts aux ménages;6 776 417;6 776 417;6;Dépenses d’intervention;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;2;Coopération culturelle et promotion du français;;;64;Transferts aux autres collectivités;29 446 937;29 446 937;6;Dépenses d’intervention;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;3;Objectifs de développement durable;;;61;Transferts aux ménages;3 093 201;3 093 201;6;Dépenses d’intervention;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;3;Objectifs de développement durable;;;64;Transferts aux autres collectivités;279 553;279 553;6;Dépenses d’intervention;1;Europe et affaires étrangères
2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;4;Enseignement supérieur et recherche;;;31;Dépenses de fonctionnement autres que celles de personnel;4 857 110;4 857 110;3;Dépenses de fonctionnement;1;Europe et affaires étrangères
