Année PLF;Type de Budget;Code Mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;Code Catégorie;Catégorie;AE PLF 2019;CP PLF 2019;Code Titre;Titre;Code Ministère PLF 2019;Ministère PLF 2019
2019;Comptes d'affectation spéciale;YB;Gestion du patrimoine immobilier de l'État;721;Contribution des cessions immobilières au désendettement de l'État;1;Contribution au désendettement de l'État;;;31;Dépenses de fonctionnement autres que celles de personnel;0;0;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YB;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;11;Opérations structurantes et cessions;;;31;Dépenses de fonctionnement autres que celles de personnel;22 000 000;62 000 000;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YB;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;11;Opérations structurantes et cessions;;;51;Dépenses pour immobilisations corporelles de l’État;167 286 587;220 000 000;5;Dépenses d’investissement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YB;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;11;Opérations structurantes et cessions;;;72;Dotations en fonds propres;40 000 000;40 000 000;7;Dépenses d’opérations financières;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YB;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;12;Contrôles règlementaires, audits, expertises et diagnostics;;;31;Dépenses de fonctionnement autres que celles de personnel;21 500 000;20 500 000;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YB;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;12;Contrôles règlementaires, audits, expertises et diagnostics;;;51;Dépenses pour immobilisations corporelles de l’État;1 500 000;1 500 000;5;Dépenses d’investissement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YB;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;13;Maintenance à la charge du propriétaire;;;31;Dépenses de fonctionnement autres que celles de personnel;40 500 000;40 500 000;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YB;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;13;Maintenance à la charge du propriétaire;;;51;Dépenses pour immobilisations corporelles de l’État;3 500 000;3 500 000;5;Dépenses d’investissement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YB;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;14;Gros entretien, réhabilitation, mise en conformité et remise en état;;;31;Dépenses de fonctionnement autres que celles de personnel;23 000 000;38 000 000;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YB;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;14;Gros entretien, réhabilitation, mise en conformité et remise en état;;;51;Dépenses pour immobilisations corporelles de l’État;72 000 000;57 000 000;5;Dépenses d’investissement;7;Action et comptes publics
