PHASE;Type de Budget;Code Ministère;Ministère;Code Mission;Mission;Code Programme;Programme;T2 AE=CP  PLF 2019;ETPT PLF 2019
PLF 2019;Budget général;MIN01;Europe et affaires étrangères;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;660 989 072;8 094
PLF 2019;Budget général;MIN01;Europe et affaires étrangères;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;74 235 198;779
PLF 2019;Budget général;MIN01;Europe et affaires étrangères;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;238 294 240;3 283
PLF 2019;Budget général;MIN01;Europe et affaires étrangères;AA;Action extérieure de l'État;347;Présidence française du G7;;
PLF 2019;Budget général;MIN01;Europe et affaires étrangères;AD;Aide publique au développement;209;Solidarité à l'égard des pays en développement;153 150 588;1 513
PLF 2019;Budget général;MIN02;Culture;CB;Culture;175;Patrimoines;;
PLF 2019;Budget général;MIN02;Culture;CB;Culture;131;Création;;
PLF 2019;Budget général;MIN02;Culture;CB;Culture;224;Transmission des savoirs et démocratisation de la culture;721 300 389;11 089
PLF 2019;Budget général;MIN02;Culture;MA;Médias, livre et industries culturelles;180;Presse et médias;;
PLF 2019;Budget général;MIN02;Culture;MA;Médias, livre et industries culturelles;334;Livre et industries culturelles;;
PLF 2019;Budget général;MIN02;Culture;RA;Recherche et enseignement supérieur;186;Recherche culturelle et culture scientifique;;
PLF 2019;Budget général;MIN03;Agriculture et alimentation;AC;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;;
PLF 2019;Budget général;MIN03;Agriculture et alimentation;AC;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;308 959 606;4 695
PLF 2019;Budget général;MIN03;Agriculture et alimentation;AC;Agriculture, alimentation, forêt et affaires rurales;215;Conduite et pilotage des politiques de l'agriculture;555 574 243;7 254
PLF 2019;Budget général;MIN03;Agriculture et alimentation;EC;Enseignement scolaire;143;Enseignement technique agricole;972 133 579;15 361
PLF 2019;Budget général;MIN03;Agriculture et alimentation;RA;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles;222 244 448;2 787
PLF 2019;Comptes d'affectation spéciale;MIN03;Agriculture et alimentation;YF;Développement agricole et rural;775;Développement et transfert en agriculture;;
PLF 2019;Comptes d'affectation spéciale;MIN03;Agriculture et alimentation;YF;Développement agricole et rural;776;Recherche appliquée et innovation en agriculture;;
PLF 2019;Budget général;MIN06;Éducation nationale;EC;Enseignement scolaire;140;Enseignement scolaire public du premier degré;22 501 332 725;342 362
PLF 2019;Budget général;MIN06;Éducation nationale;EC;Enseignement scolaire;141;Enseignement scolaire public du second degré;33 060 031 272;460 917
PLF 2019;Budget général;MIN06;Éducation nationale;EC;Enseignement scolaire;230;Vie de l'élève;2 694 239 983;62 006
PLF 2019;Budget général;MIN06;Éducation nationale;EC;Enseignement scolaire;139;Enseignement privé du premier et du second degrés;6 806 107 381;134 608
PLF 2019;Budget général;MIN06;Éducation nationale;EC;Enseignement scolaire;214;Soutien de la politique de l'éducation nationale;1 615 491 741;27 635
PLF 2019;Budget général;MIN06;Éducation nationale;SF;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;;
PLF 2019;Budget général;MIN07;Action et comptes publics;TR;Action et transformation publiques;348;Rénovation des cités administratives et autres sites domaniaux multi-occupants;;
PLF 2019;Budget général;MIN07;Action et comptes publics;TR;Action et transformation publiques;349;Fonds pour la transformation de l'action publique;5 000 000;
PLF 2019;Budget général;MIN07;Action et comptes publics;TR;Action et transformation publiques;351;Fonds d'accompagnement interministériel Ressources humaines;40 000 000;
PLF 2019;Budget général;MIN07;Action et comptes publics;PC;Crédits non répartis;551;Provision relative aux rémunérations publiques;79 000 000;
PLF 2019;Budget général;MIN07;Action et comptes publics;PC;Crédits non répartis;552;Dépenses accidentelles et imprévisibles;;
PLF 2019;Budget général;MIN07;Action et comptes publics;GA;Gestion des finances publiques et des ressources humaines;156;Gestion fiscale et financière de l'État et du secteur public local;6 880 827 172;102 126
PLF 2019;Budget général;MIN07;Action et comptes publics;GA;Gestion des finances publiques et des ressources humaines;218;Conduite et pilotage des politiques économiques et financières;507 375 096;5 496
PLF 2019;Budget général;MIN07;Action et comptes publics;GA;Gestion des finances publiques et des ressources humaines;302;Facilitation et sécurisation des échanges;1 245 123 293;17 351
PLF 2019;Budget général;MIN07;Action et comptes publics;GA;Gestion des finances publiques et des ressources humaines;148;Fonction publique;200 000;
PLF 2019;Budget général;MIN07;Action et comptes publics;PB;Pouvoirs publics;501;Présidence de la République;;
PLF 2019;Budget général;MIN07;Action et comptes publics;PB;Pouvoirs publics;511;Assemblée nationale;;
PLF 2019;Budget général;MIN07;Action et comptes publics;PB;Pouvoirs publics;521;Sénat;;
PLF 2019;Budget général;MIN07;Action et comptes publics;PB;Pouvoirs publics;541;La Chaîne parlementaire;;
PLF 2019;Budget général;MIN07;Action et comptes publics;PB;Pouvoirs publics;542;Indemnités des représentants français au Parlement européen;;
PLF 2019;Budget général;MIN07;Action et comptes publics;PB;Pouvoirs publics;531;Conseil constitutionnel;;
PLF 2019;Budget général;MIN07;Action et comptes publics;PB;Pouvoirs publics;532;Haute Cour;;
PLF 2019;Budget général;MIN07;Action et comptes publics;PB;Pouvoirs publics;533;Cour de justice de la République;;
PLF 2019;Budget général;MIN07;Action et comptes publics;RB;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;;
PLF 2019;Budget général;MIN07;Action et comptes publics;RD;Remboursements et dégrèvements;200;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);;
PLF 2019;Budget général;MIN07;Action et comptes publics;RD;Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);;
PLF 2019;Comptes d'affectation spéciale;MIN07;Action et comptes publics;YE;Contrôle de la circulation et du stationnement routiers;755;Désendettement de l'État;;
PLF 2019;Comptes d'affectation spéciale;MIN07;Action et comptes publics;YB;Gestion du patrimoine immobilier de l'État;721;Contribution des cessions immobilières au désendettement de l'État;;
PLF 2019;Comptes d'affectation spéciale;MIN07;Action et comptes publics;YB;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;;
PLF 2019;Comptes d'affectation spéciale;MIN07;Action et comptes publics;YD;Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;55 357 750 000;
PLF 2019;Comptes d'affectation spéciale;MIN07;Action et comptes publics;YD;Pensions;742;Ouvriers des établissements industriels de l'État;1 927 030 000;
PLF 2019;Comptes d'affectation spéciale;MIN07;Action et comptes publics;YD;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;16 000 000;
PLF 2019;Comptes de concours financiers;MIN07;Action et comptes publics;ZD;Avances à l'audiovisuel public;841;France Télévisions;;
PLF 2019;Comptes de concours financiers;MIN07;Action et comptes publics;ZD;Avances à l'audiovisuel public;842;ARTE France;;
PLF 2019;Comptes de concours financiers;MIN07;Action et comptes publics;ZD;Avances à l'audiovisuel public;843;Radio France;;
PLF 2019;Comptes de concours financiers;MIN07;Action et comptes publics;ZD;Avances à l'audiovisuel public;844;France Médias Monde;;
PLF 2019;Comptes de concours financiers;MIN07;Action et comptes publics;ZD;Avances à l'audiovisuel public;845;Institut national de l'audiovisuel;;
PLF 2019;Comptes de concours financiers;MIN07;Action et comptes publics;ZD;Avances à l'audiovisuel public;847;TV5 Monde;;
PLF 2019;Comptes de concours financiers;MIN07;Action et comptes publics;ZC;Avances aux collectivités territoriales;833;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;;
PLF 2019;Budget général;MIN09;Intérieur;AB;Administration générale et territoriale de l'État;307;Administration territoriale;1 481 418 343;25 317
PLF 2019;Budget général;MIN09;Intérieur;AB;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;18 191 202;51
PLF 2019;Budget général;MIN09;Intérieur;AB;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;519 106 568;7 613
PLF 2019;Budget général;MIN09;Intérieur;IA;Immigration, asile et intégration;303;Immigration et asile;;
PLF 2019;Budget général;MIN09;Intérieur;IA;Immigration, asile et intégration;104;Intégration et accès à la nationalité française;;
PLF 2019;Budget général;MIN09;Intérieur;RC;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;;
PLF 2019;Budget général;MIN09;Intérieur;RC;Relations avec les collectivités territoriales;122;Concours spécifiques et administration;;
PLF 2019;Budget général;MIN09;Intérieur;SB;Sécurités;176;Police nationale;9 589 631 109;151 532
PLF 2019;Budget général;MIN09;Intérieur;SB;Sécurités;152;Gendarmerie nationale;7 474 870 819;100 760
PLF 2019;Budget général;MIN09;Intérieur;SB;Sécurités;207;Sécurité et éducation routières;;
PLF 2019;Budget général;MIN09;Intérieur;SB;Sécurités;161;Sécurité civile;183 317 063;2 498
PLF 2019;Comptes d'affectation spéciale;MIN09;Intérieur;YE;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;;
PLF 2019;Comptes d'affectation spéciale;MIN09;Intérieur;YE;Contrôle de la circulation et du stationnement routiers;753;Contrôle et modernisation de la politique de la circulation et du stationnement routiers;;
PLF 2019;Comptes d'affectation spéciale;MIN09;Intérieur;YE;Contrôle de la circulation et du stationnement routiers;754;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;;
PLF 2019;Budget général;MIN10;Justice;JA;Justice;166;Justice judiciaire;2 355 451 042;33 574
PLF 2019;Budget général;MIN10;Justice;JA;Justice;107;Administration pénitentiaire;2 534 491 408;41 514
PLF 2019;Budget général;MIN10;Justice;JA;Justice;182;Protection judiciaire de la jeunesse;528 541 821;9 156
PLF 2019;Budget général;MIN10;Justice;JA;Justice;101;Accès au droit et à la justice;;
PLF 2019;Budget général;MIN10;Justice;JA;Justice;310;Conduite et pilotage de la politique de la justice;177 193 892;2 363
PLF 2019;Budget général;MIN10;Justice;JA;Justice;335;Conseil supérieur de la magistrature;2 727 086;22
PLF 2019;Budget général;MIN12;Services du Premier ministre;MB;Anciens combattants, mémoire et liens avec la nation;158;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;1 534 987;19
PLF 2019;Budget général;MIN12;Services du Premier ministre;VA;Cohésion des territoires;162;Interventions territoriales de l'État;;
PLF 2019;Budget général;MIN12;Services du Premier ministre;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;350 383 454;4 147
PLF 2019;Budget général;MIN12;Services du Premier ministre;CA;Conseil et contrôle de l'État;126;Conseil économique, social et environnemental;34 933 319;150
