Type de Mission;Mission;COD_PGM;Programme;Identifiant Objectif;Numéro Objectif;Objectif;Identifiant Indicateur;Numéro indicateur;Indicateur;type indicateur;Stratégique au niveau mission?;Identifiant sous indicateur;Sous-indicateur;Unité;Réalisation 2016;Réalisation 2017;Prévision 2018 PAP 2018;Prévision 2018 PAP 2019;Prévision 2019 PAP 2019;Année cible;Valeur cible;Code Ministère;Ministère
Budget général;Direction de l'action du Gouvernement;P129;Coordination du travail gouvernemental;10082;P129.1;Favoriser l'adoption, dans les meilleurs délais, des décrets d'application des lois et des mesures de transposition des directives européennes;11703;P129.1.2;Taux de déficit de transposition des directives européennes;Citoyen;;15682;Taux de déficit de transposition des directives européennes;%;1,1;0,4;1;A renseigner le 10 décembre 2018;1;2020;1;MIN12;Services du Premier ministre
Budget général;Cohésion des territoires;;;996;MVA.4 (P147.3);Lutter contre les concentrations de pauvreté et favoriser l'accès et le retour à l'emploi des habitants des QPV;14334;P147.3.1;Écart de revenu et d'emploi entre les QPV et celui des agglomérations environnantes;Usager;Stratégique mission;25011;Écart entre le taux de chômage des QPV et celui de leurs agglomérations;Points;15,4;15,5;13,2;15.4;15.2;2020;10.8;;
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;12593;P185.3;Accroître la performance du dispositif d'aide à l'export;15007;P185.3.1;Accompagnement des acteurs économiques;Citoyen;;25910;Nombre de résultats obtenus (nombre de contrats signés toutes catégories confondues + nombre de changements favorables) / nombre d'entreprises reçues par les postes;%;N/A;16;10;10;12;2020;15;MIN01;Europe et affaires étrangères
Budget général;Cohésion des territoires;;;998;MVA.1 (P109.1);Aider les ménages modestes à faire face à leurs dépenses de logement;2889;P109.1.1;Taux d'effort net médian des ménages en locatif ordinaire ou en accession selon la configuration familiale et le type de parc;Citoyen;Stratégique mission;25064;Familles monoparentales avec 3 enfants;%;8,5;8,5;8,5;8.5;8.5;2020;8.5;;
Budget général;Sécurités;;;12432;MSB.1;(P176.1/P152.1) Évaluer objectivement la prévention de la délinquance;14575;MSB.1.1;Evolution du nombre de crimes et délits et de victimes en matière d'atteintes volontaires à l'intégrité physique (AVIP) constatés;Citoyen;Stratégique mission;24061;Nombre de victimes de violences physiques non crapuleuses et violences sexuelles;Nombre;352 262;356 735;Suivi;Suivi;Suivi;2020;Suivi;;
Budget général;Administration générale et territoriale de l'État;P216;Conduite et pilotage des politiques de l'intérieur;59;P216.2;Améliorer la performance des fonctions supports;11988;P216.2.3;Efficience immobilière;Contribuable;;17284;Ratio SUN / Poste de travail;m² / poste;8,61;8,55;8,29;8.74;8.38;2020;8.2;MIN09;Intérieur
Budget général;Agriculture, alimentation, forêt et affaires rurales;P215;Conduite et pilotage des politiques de l'agriculture;92;P215.3;Mettre en oeuvre les actions ministérielles dans des conditions optimales de coût et de qualité de service;4347;P215.3.1;Efficience de la fonction immobilière;Contribuable;;23999;Taux d'écart budgétaire agrégé des projets d'infrastructure;%;11;2,61;3;1.78;1;2020;2018-05-10T00:00:00;MIN03;Agriculture et alimentation
Budget général;Direction de l'action du Gouvernement;;;3581;MDC.2 (P129.5);Améliorer la sécurité et la performance des systèmes d'information de l'État;4372;P129.5.1;Niveau de sécurité des systèmes d'information de l'État;Usager;Stratégique mission;7842;Maturité globale en sécurité des systèmes d'information de l'État;note de 0 à 5;2,5;2,7;3;2.7;2.8;2020;3.5;;
Budget général;Travail et emploi;P111;Amélioration de la qualité de l'emploi et des relations du travail;968;P111.4;Lutter efficacement contre le travail illégal et la fraude au détachement;11055;P111.4.1;Part des interventions des services de l'inspection du travail en matière de lutte contre le travail illégal;Contribuable;;25707;Part des interventions des services de l'inspection du travail portant sur la lutte contre le travail illégal ayant donné lieu à procès-verbal, sur l'ensemble des interventions portant sur la lutte contre le travail illégal;%;SO;SO;SO;1.5;2;2020;2.5;MIN36;Travail
Budget général;Action extérieure de l'État;P185;Diplomatie culturelle et d'influence;12593;P185.3;Accroître la performance du dispositif d'aide à l'export;15007;P185.3.1;Accompagnement des acteurs économiques;Citoyen;;25911;Nombre de changements favorables aux intérêts français obtenus suite à une démarche de l'Ambassade;Nombre;641;1 099;700;700;750;2020;800;MIN01;Europe et affaires étrangères
