Catégorie;Sous catégorie;Sous sous catégorie;Numéro;Libellé législatif;Information complémentaire
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40101;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40105;Exonération en faveur des entreprises dont les établissements existants ou créés dans les ZFU créées en 1996 peuvent être exonérés de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40106;Exonération en faveur des entreprises dont les établissements existants ou créés dans les ZFU créées en 2003 peuvent être exonérés de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40107;Exonération en faveur des entreprises dont les établissements existants au 1er janvier 2006 dans les ZFU de troisième génération ou créés ou étendus entre le 1er janvier 2006 et le 31 décembre 2014 dans les trois générations de zones franches urbaines peuvent être exonérés de cotisation foncière des entreprises en l'absence de délibération contraire d'une commune ou d'un établissement public de coopération intercommunale;
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40108;Abattement en faveur des entreprises dont les établissements situés dans les départements d’outre-mer peuvent bénéficier d’un abattement sur leurs bases nettes imposables à la CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40109;Exonération en faveur des entreprises dont les établissements existants au 1er janvier 2015 dans un quartier prioritaire de la politique de la ville (QPV) ou créés ou étendus entre le 1er janvier 2015 et le 31 décembre 2022 dans un QPV peuvent être exonérés de CFE en l'absence de délibération contraire d'une commune ou d'un établissement public de coopération intercommunale;
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40110;Exonération de cotisation sur la valeur ajoutée en faveur des entreprises dont les établissements vendent au public des écrits périodiques en qualité de mandataires inscrits au Conseil supérieur des messageries de presse et revêtent la qualité de diffuseurs de presse spécialistes;
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40111;Exonération en faveur des établissements créés entre le 1er janvier 2018 et le 31 décembre 2020 dans un bassin urbain à dynamiser pouvant bénéficier de l'exonération de CFE;
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40112;Exonération en faveur des établissements créés entre le 1er janvier 2019 et le 31 décembre 2020 dans une zone de développement prioritaire pouvant bénéficier de l’exonération de cotisation foncière des entreprises;
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50101;Exonération en faveur des personnes âgées ou de condition modeste;
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50102;Exonération en faveur des immeubles à caractère social;
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50106;Abattement en faveur des immeubles en ZUS (jusqu'en 2015) puis situés dans les quartiers prioritaires de la ville (à compter de 2016);
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50107;Abattement en faveur des immeubles anti-sismiques des départements d'outre-mer;
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50108;Exonération des immeubles situés en zones franches urbaines (ZFU), rattachés entre le 1er janvier 2006 et le 31 décembre 2014, à un établissement implanté en ZFU pouvant bénéficier de l'exonération de cotisation foncière des entreprises;
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50109;Abattement sur la base d'imposition des établissements situés dans les départements d'outre-mer;
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50110;Exonération des immeubles situés dans un quartier prioritaire de la politique de la ville (QPV) et rattachés à un établissement implanté dans un QPV pouvant bénéficier de l'exonération de cotisation foncière des entreprises;
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50111;Exonération des immeubles situés dans un bassin urbain à dynamiser (BUD) et rattachés à un établissement implanté dans un BUD pouvant bénéficier de l'exonération de cotisation foncière des entreprises;
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50112;Exonération des immeubles situés dans une zone de développement prioritaire (ZDP) et rattachés à un établissement implanté dans une ZDP pouvant bénéficier de l’exonération de cotisation foncière des entreprises;
Impôts locaux;Taxe foncière sur les propriétés bâties;Dégrèvements à la charge de l'Etat;50201;Dégrèvement d'office en faveur des personnes de condition modeste 65-75 ans;
Impôts locaux;Taxe foncière sur les propriétés bâties;Dégrèvements à la charge de l'Etat;50202;Dépenses pour faciliter l'accessibilité pour personnes handicapées;
Impôts locaux;Taxe foncière sur les propriétés bâties;Dégrèvements à la charge de l'Etat;50203;Dépenses engagées à raison de travaux dans le cadre de la prévention des risques technologiques;
Impôts locaux;Taxe foncière sur les propriétés bâties;Dégrèvements à la charge de l'Etat;50204;Dégrèvement égal au quart des dépenses à raison des travaux d'économie d'énergie, sur la cotisation de taxe foncière sur les propriétés bâties pour les organismes HLM et les SEM;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60102;Exonération de la part communale et intercommunale en faveur des terres agricoles à concurrence de 20 %;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60103;Exonération en faveur des terrains plantés en bois;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60104;Exonération totale en faveur des terres agricoles situées en Corse;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60105;Exonération en faveur des zones humides;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60106;Exonération en faveur des parcelles NATURA 2000;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60107;Exonération en faveur de certains terrains situés dans le coeur d'un parc national sis dans un département d'outre-mer;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60108;Exonération partielle des terres agricoles situées dans les départements d'outre-mer;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Dégrèvements à la charge de l'Etat;60201;Pertes de récoltes ou de bétail;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Dégrèvements à la charge de l'Etat;60202;Association foncière pastorale;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Dégrèvements à la charge de l'Etat;60203;Dégrèvement d'office jeunes agriculteurs;
Impôts locaux;Taxe d'habitation;Exonérations compensées par l'Etat;70101;Exonération en faveur des personnes âgées, handicapées ou de condition modeste;
Impôts locaux;Taxe d'habitation;Dégrèvements à la charge de l'Etat;70201;Dégrèvement d'office en faveur des gestionnaires de foyers et des organismes sans but lucratif agréés pour les logements loués à des personnes défavorisées;
Impôts locaux;Taxe d'habitation;Dégrèvements à la charge de l'Etat;70203;Dégrèvement en faveur des personnes de condition modeste relogés dans le cadre d'un projet conventionné au titre du programme ANRU;
