Nature juridique du bénéficiaire;;;;Rattachement d'un operateur;;Bénéficiaire de la taxe;;Taxe affectée;;;;;;;;;;;Référence juridique;
Secteur;Catégorie d'opérateur ou répartition nature juridique;Catégorie d'opérateur ou nature juridique;Numéro SIREN;Mission;Programme;Code;Libellé;Code;Libellé;Exécution 2018;Plafond 2018;Reversement BG 2018;Exécution 2019;Plafond 2019;Reversement BG 2019;Exécution 2020;Plafond 2020;Reversement BG 2020;Début du plafonnement;Référence juridique
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180020174;;;96;Caisse d'amortissement de la dette sociale (CADES);96;Contributions pour le remboursement de la dette sociale (CRDS);7 454 000 000;;;7 670 000 000;;;7 854 000 000;;;;Art. 1600-0 G à 1600-0 J du CGI et art. L136-1 et suiv. du Code de la sécurité sociale
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445;;;101;CCMSA - non salariés branche vieillesse;116;Droit sur les bières et les boissons non alcoolisées;1 025 978 915;;;1 088 050 639;;;1 116 514 044;;;;Art. 520 A du CGI et art. L. 731-3 du Code rural et de la pêche maritime
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;525046017;;;14;SGP - Société du Grand Paris;84;Taxe spéciale d'équipement au profit de l'établissement public Société du Grand Paris;118 708 246;117 000 000;1 708 246;117 000 000;117 000 000;0;117 000 000;117 000 000;0;LFI 2012;Art. 1609 G du CGI (créée à compter de 2011)
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère industriel ou commercial doté d'un comptable public;385290309;Écologie, développement et mobilité durables;181 Prévention des risques;20;ADEME - Agence de l'environnement et de la maîtrise de l'énergie;28;Taxe générale sur les activités polluantes (TGAP);Inexistant en 2018;;;Inexistant en 2019;;;Inexistant en 2020;;;;Art. 266 sexies du Code des douanes, art. L.131-5-1 du code de l'environnement
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;;Écologie, développement et mobilité durables;113 Paysages, eau et biodiversité;22;ONCFS - Office national de la chasse et de la faune sauvage;204;Droit d'examen du permis de chasse;592 080;;;700 000;;;700 000;;;;Art. L423-6 du Code l'environnement
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;;;;124;Régimes obligatoires d'assurance maladie [pour le restant des prélèvements];14;Fraction des Prélèvements sociaux sur les jeux prévus aux art. L137-20 à L137-22 du Code de la sécurité sociale;272 800 000;;;280 000 000;;;290 000 000;;;;Art. L137-24 du Code de la sécurité sociale
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;;;;125;CNAMTS - Fonds tabacs;137;Contribution sociale à la charge des fournisseurs agréés de produits de tabac;102 440 231;;;87 137 635;;;79 350 181;;;;Art. L. 137-27 à L. 137-29 du Code de la sécurité sociale
Autres bénéficiaires;Associations;Association déclarée;;;;108;FAF - Fonds d'assurance formation des professions concernées;256;PEFPC : Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles et des contributions spéciales) correspondant à 0,15% du montant annuel du plafond de la sécurité sociale;167 068 304;;;172 915 695;;;176 892 756;;;;Art. L. 6331-48 du Code du travail
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;775686942;;;35;CTIF - Centre technique des industries de la fonderie;45;Taxe affectée au financement du Centre Technique des industries de la fonderie;5 021 630;5 000 000;21 630;5 440 000;5 441 000;0;5 440 000;5 441 000;0;LFR 2015 et de la LFI 2016;H de l'art. 71 de la LFR 2003
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130012024;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;249;Taxe sur les produits de vapotage;Inexistant en 2018;;;8 000 000;8 000 000;0;8 000 000;;;LFI 2019;Article L. 3513-12 du code de la santé publique
Organismes d'administration centrale ;Opérateurs État;Groupement d'intérêt économique (GIE);340709211;Action extérieure de l'État;185 Diplomatie culturelle et d'influence;94;Atout France / Agence de développement touristique de la France;93;Droits d’immatriculation des OVS;172 168;;;Inexistant en 2019;;;Inexistant en 2020;;;;Art. L 141-3 du Code du tourisme
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180046039;Médias, livre et industries culturelles;334 Livre et industries culturelles;107;CNC - Centre national du cinéma et de l'image animée;149;Cotisations (normale et supplémentaire) des entreprises cinématographiques;8 600 000;;;9 150 000;;;9 150 000;;;;Art. L115-14 et L115-15 du Code du cinéma et de l'image animée
Secteur local;Départements;Département;;;;147;Départements (part départementale);194;Droit départemental de passage sur les ouvrages d'art reliant le continent aux îles maritimes;37 529 778;;;37 529 778;;;37 529 778;;;;Art. L.173-3 du Code de la voirie routière et art. L.321-11 du Code de l'environnement
