;;;Dépense fiscale;;
Catégorie;Sous catégorie;Sous sous catégorie;Numéro;Libellé législatif;Information complémentaire
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;040101;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;Finalité : Aider certains espaces géographiques (espaces ruraux)
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;040105;Exonération en faveur des entreprises dont les établissements existants ou créés dans les ZFU créées en 1996 peuvent être exonérés de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;Finalité : Aider certains espaces géographiques (urbains)
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;040106;Exonération en faveur des entreprises dont les établissements existants ou créés dans les ZFU créées en 2003 peuvent être exonérés de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;Finalité : Aider certains espaces géographiques (urbains)
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;040107;Exonération en faveur des entreprises dont les établissements existants au 1er janvier 2006 dans les ZFU de troisième génération ou créés ou étendus entre le 1er janvier 2006 et le 31 décembre 2014 dans les trois générations de zones franches urbaines peuvent être exonérés de cotisation foncière des entreprises en l'absence de délibération contraire d'une commune ou d'un établissement public de coopération intercommunale;Finalité : Aider certains espaces géographiques (urbains)
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;040108;Abattement en faveur des entreprises dont les établissements situés dans les départements d’outre-mer peuvent bénéficier d’un abattement sur leurs bases nettes imposables à la CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;Finalité : Aider certains espaces géographiques (Outre-mer)
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;040109;Exonération en faveur des entreprises dont les établissements existants au 1er janvier 2015 dans un quartier prioritaire de la politique de la ville (QPV) ou créés ou étendus entre le 1er janvier 2015 et le 31 décembre 2022 dans un QPV peuvent être exonérés de CFE en l'absence de délibération contraire d'une commune ou d'un établissement public de coopération intercommunale;Finalité : Aider certains espaces géographiques (urbains)
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;040110;Exonération de cotisation sur la valeur ajoutée en faveur des entreprises dont les établissements vendent au public des écrits périodiques en qualité de mandataires inscrits à la commission du réseau de la diffusion de la presse et revêtent la qualité de diffuseurs de presse spécialistes;Finalité : Aider le secteur de la presse
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;040111;Exonération en faveur des établissements créés entre le 1er janvier 2018 et le 31 décembre 2020 dans un bassin urbain à dynamiser pouvant bénéficier de l'exonération de CFE;Finalité : Aider certains espaces géographiques (urbains)
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;040112;Exonération en faveur des établissements créés entre le 1er janvier 2019 et le 31 décembre 2020 dans une zone de développement prioritaire pouvant bénéficier de l’exonération de cotisation foncière des entreprises;
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;040113;Exonération en faveur des établissements exerçant une activité commerciale dans une zone de revitalisation des commerces en milieu rural (ZoRCoMiR) pouvant bénéficier de l'exonération de cotisation foncière des entreprises;Finalité : Aider certains espaces géographiques (espaces ruraux)
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;050101;Exonération en faveur des personnes âgées ou de condition modeste;Finalité : Aider les personnes âgées ou modestes
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;050102;Exonération en faveur des immeubles à caractère social;Finalité : Aider le secteur immobilier social
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;050106;Abattement en faveur des immeubles en ZUS (jusqu'en 2015) puis situés dans les quartiers prioritaires de la ville (à compter de 2016);Finalité : Aider certains espaces géographiques (urbains)
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;050107;Abattement en faveur des immeubles anti-sismiques des départements d'outre-mer;Finalité : Aider certains espaces géographiques (Outre-mer)
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;050108;Exonération des immeubles situés en zones franches urbaines (ZFU), rattachés entre le 1er janvier 2006 et le 31 décembre 2014, à un établissement implanté en ZFU pouvant bénéficier de l'exonération de cotisation foncière des entreprises;Finalité : Aider certains espaces géographiques (urbains)
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;050109;Abattement sur la base d'imposition des établissements situés dans les départements d'outre-mer;Finalité : Aider certains espaces géographiques (Outre-mer)
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;050110;Exonération des immeubles situés dans un quartier prioritaire de la politique de la ville (QPV) et rattachés à un établissement implanté dans un QPV pouvant bénéficier de l'exonération de cotisation foncière des entreprises;Finalité : Aider certains espaces géographiques (urbains)
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;050111;Exonération des immeubles situés dans un bassin urbain à dynamiser (BUD) et rattachés à un établissement implanté dans un BUD pouvant bénéficier de l'exonération de cotisation foncière des entreprises;Finalité : Aider certains espaces géographiques (urbains)
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;050112;Exonération des immeubles situés dans une zone de développement prioritaire (ZDP) et rattachés à un établissement implanté dans une ZDP pouvant bénéficier de l’exonération de cotisation foncière des entreprises;Finalité : Aider certains espaces géographiques
