Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege;commentFP
MIN;;01;;;Europe et affaires étrangères;Europe&aff.Etr.;Europe et affaires étrangères
MIN;;02;;;Culture;Culture;Culture
MIN;;03;;;Agriculture et alimentation;AgricultureAliment.;Agriculture et alimentation
MIN;;06;;;Éducation nationale, jeunesse et sports;Éduc.Nat.Jeu Sport;Éducation nationale, jeunesse et sports
MIN;;07;;;Économie, finances et relance;Eco Fin Relance;Économie, finances et relance
MIN;;09;;;Intérieur;Intérieur;Intérieur
MIN;;10;;;Justice;Justice;Justice
MIN;;12;;;Services du Premier ministre;Premier ministre;Services du Premier ministre
MIN;;23;;;Transition écologique;Trans écologique;Transition écologique
MIN;;28;;;Mer;Mer;Mer
MIN;;36;;;Travail, emploi et insertion;Travail Emploi inser;Travail, emploi et insertion
MIN;;38;;;Enseignement supérieur, recherche et innovation;EnsSup.Rech.Innov.;Enseignement supérieur, recherche et innovation
MIN;;44;;;Outre-mer;Outre-mer;Outre-mer
MIN;;45;;;Cohésion des territoires et relations avec les collectivités territoriales;Cohésion.Terr.RCT;Cohésion des territoires et relations avec les collectivités territoriales
MIN;;50;;;Transformation et fonction publiques;Transf fct publiques;Transformation et fonction publiques
MIN;;56;;;Solidarités et santé;Solidarités et santé;Solidarités et santé
MIN;;70;;;Armées;Armées;Armées
MSN;BG;AA; ;;Action extérieure de l'État;ActionExtÉtat;
PGM;BG;105;AA;01;Action de la France en Europe et dans le monde;ActionFranceEurope_Monde;Le programme 105 réunit une part majeure des moyens du MEAE pour conduire la politique étrangère de la France. Trois objectifs complémentaires lui sont assignés: «renforcer la sécurité internationale et la sécurité des français», «promouvoir le multilatéralisme et construire l’Europe», «assurer un service diplomatique efficient et de qualité». En 2022, des enjeux prioritaires mobiliseront particulièrement le ministère et son réseau diplomatique : la lutte contre l’action déstabilisatrice des groupes terroristes, l’appui à la stabilisation au Sahel dans le cadre de la transformation de notre présence militaire, la préservation de l’accord sur le nucléaire iranien, l’accompagnement à la résolution des crises en Méditerranée et dans le Caucase, la lutte contre les menaces transversales, la Présidence française de l’Union européenne. La crise sanitaire nous amène à renforcer nos efforts sur les sujets globaux (climat, environnement et biodiversité, santé, éducation, égalité et numérique).
ACT;BG;105-01;;;Coordination de l'action diplomatique;Coordination action diplo;
SSA;BG;105-01-01;;;Etat major : cabinets;Etat major : cabinets;
SSA;BG;105-01-08;;;Etat major : logistique de niveau chef d'Etat ou de gouvernement;Et.maj. log chef Etat/gvt;
SSA;BG;105-01-09;;;Etat-major : affaires politiques;Et.maj. aff. politiques;
SSA;BG;105-01-15;;;"Personnel concourant à l'action ""coordination de l'action diplomatique""";Pers. coordin. act. diplo;
SSA;BG;105-01-16;;;Sécurité des communautés françaises;Sécur. communautés franç.;
ACT;BG;105-02;;;Action européenne;Action européenne;
SSA;BG;105-02-01;;;Moyens de fonctionnement : services d'administration centrale;Moyens  fonction. sces AC;
SSA;BG;105-02-07;;;Dépenses d'intervention et de communication du ministre chargé des affaires européennes;Subv. et comm. Min AE;
SSA;BG;105-02-08;;;Contributions aux organisations européennes;Contrib. org. eur.;
SSA;BG;105-02-11;;;"Personnel concourant à l'action ""action européenne""";Pers. action européenne;
ACT;BG;105-04;;;Contributions internationales;Contrib. internationales;
SSA;BG;105-04-01;;;Opérations de maintien de la paix : participations obligatoires aux opérations de maintien de la paix des Nations Unies (en devises);OMP particip.obl.NU (dev);
SSA;BG;105-04-02;;;Contributions en euros aux organisations internationales;CI en euros;
SSA;BG;105-04-05;;;Contributions en devises aux organisations internationales;CI en devises;
ACT;BG;105-05;;;Coopération de sécurité et de défense;Coop. sécurité et défense;
SSA;BG;105-05-01;;;Formation des élites et cadres de sécurité et de défense;Form.élites sécu déf;
SSA;BG;105-05-02;;;Ingénierie de sécurité et de défense;Ingénierie sécu.& défense;
SSA;BG;105-05-03;;;Fonctions de direction et soutien en France et étranger;Fonct.dir.&soutien Fr&étr;
SSA;BG;105-05-04;;;"Personnel concourant à l'action ""coopération de sécurité et de défense""";Pers.action coop.sécu.déf;
ACT;BG;105-06;;;Soutien;Soutien;
SSA;BG;105-06-06;;;Ressources humaines;Ressources humaines;
SSA;BG;105-06-08;;;Systèmes d'information et de télécommunication;Systèmes d’information;
SSA;BG;105-06-10;;;Logistique diplomatique;Logistique diplomatique;
SSA;BG;105-06-11;;;Politique immobilière;Politique immobilière;
SSA;BG;105-06-12;;;Sécurité diplomatique;Sécurité diplomatique;
SSA;BG;105-06-14;;;"Personnel concourant à l'action ""soutien""";Pers. action soutien;
ACT;BG;105-07;;;Réseau diplomatique;Réseau diplomatique;
SSA;BG;105-07-01;;;Réseau diplomatique : postes à l'étranger - dépenses de structures du ministère des Affaires étrangères;Rés.diplo.étr.struc.MAE;
SSA;BG;105-07-02;;;"Personnel du Ministère des Affaires étrangères et européennes concourant à l'action ""réseau diplomatique""";Pers.MAE action rés diplo;
SSA;BG;105-07-03;;;Réseau diplomatique : postes à l'étranger - dépenses de structures hors ministère des Affaires étrangères;Rés.diplo.étr.str.horsMAE;
SSA;BG;105-07-04;;;"Personnel hors Ministère des Affaires étrangères et européennes, concourant à l'action ""réseau diplomatique""";Pers.horsMAEact.rés.diplo;
ACT;BG;105-99;;;Dépenses de personnel à reventiler entre les actions du programme;Dépenses de personnel à r;
PGM;BG;151;AA;01;Français à l'étranger et affaires consulaires;FrançaisEtrangAffConsul;"En 2022, le programme 151 poursuivra ses missions à travers 3 actions qui couvrent l'ensemble de son activité : ""Offre d'un service public de qualité aux Français à l'étranger"", ""Accès des élèves français au réseau de l'Agence pour l'enseignement français à l'étranger (AEFE)"" et ""Instruction des demandes de visas"". L'amélioration du service rendu reste au coeur des préoccupations. Une attention toute particulière est portée à l'exercice de la protection consulaire au bénéfice des Français résidents ou de passage à l'étranger, et au soutien de nos compatriotes démunis qui continuent de subir les effets de la pandémie de Covid-19. Le réseau consulaire simplifie et dématérialise ses procédures. Ainsi, 2022 verra la finalisation du déploiement du registre d'état civil électronique (RECE) et le lancement du Service France Consulaire. Enfin, l'année 2022 sera marquée par l'organisation des élections présidentielle et législatives. Pour ces dernières, les électeurs pourront recourir au vote par internet."
ACT;BG;151-01;;;Offre d'un service public de qualité aux Français à l'étranger;Offre sce publ.qualitéFAE;
SSA;BG;151-01-02;;;Services publics administratifs offerts aux français;Sces publ. adm. aux Franç;
SSA;BG;151-01-12;;;Animation et gestion du réseau : animation des postes consulaires;Animation postes consul.;
SSA;BG;151-01-13;;;"Personnel concourant à l'action ""offre d'un service public de qualité aux français à l'étranger""";Pers.sce publ.qualité FAE;
ACT;BG;151-02;;;Accès des élèves français au réseau AEFE;Accès élèves franç. AEFE;
SSA;BG;151-02-01;;;Aide à la scolarité;Aide à la scolarité;
SSA;BG;151-02-02;;;Prise en charge des frais de scolarité;PEC frais de scolarité;
ACT;BG;151-03;;;Instruction des demandes de visa;Instruction demandes visa;
SSA;BG;151-03-01;;;Fourniture des services administratifs;Fourniture services admin;
SSA;BG;151-03-02;;;"Personnel concourant à l'action ""instruction des demandes de visa""";Pers. instruct. ddes visa;
SSA;BG;151-03-03;;;Introduction de la biométrie, aménagement des services et lutte contre la fraude;Intro biomet lutte fraude;
ACT;BG;151-99;;;Dépenses de personnel à reventiler entre les actions du programme;Dépenses de personnel à r;
PGM;BG;185;AA;01;Diplomatie culturelle et d'influence;Diplomatie culturelle et;Le programme 185 porte les crédits destinés à mettre en œuvre la politique d'influence de la France, couvrant l'enseignement français à l'étranger et l'ensemble des moyens destinés à la diffusion culturelle, linguistique, universitaire et scientifique, ainsi que les activités liées à la diplomatie économique et à la promotion de la destination France. Sa mise en œuvre se décline selon plusieurs axes stratégiques, que sont le développement de l’enseignement francophone, la promotion de la langue française, l’influence culturelle (notamment via les industries culturelles et créatives et le développement des outils numériques), l’intensification de notre politique d’attractivité universitaire et scientifique, en particulier à destination des élites et des talents étrangers, l’expertise française en matière de protection et valorisation du patrimoine culturel, et le développement de la diplomatie économique tant du point de vue de l’export que de celui de l’attractivité économique et touristique de la France.
ACT;BG;185-01;;;Appui au réseau;Appui au réseau;
ACT;BG;185-02;;;Coopération culturelle et promotion du français;Coop. cult. et Français;
SSA;BG;185-02-01;;;Langue française et diversité linguistique;Français;
SSA;BG;185-02-05;;;Coopération et diffusion culturelles;Coop. culturelle;
ACT;BG;185-03;;;Objectifs de développement durable;ODD;
ACT;BG;185-04;;;Enseignement supérieur et recherche;Ens. sup recherche;
ACT;BG;185-05;;;Agence pour l'enseignement français à l'étranger;AEFE;
ACT;BG;185-06;;;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";Dép.pers.dipl.cultur.infl;
ACT;BG;185-07;;;Diplomatie économique et développement du tourisme;Diplomatie éco tourisme;
MSN;BG;AB; ;;Administration générale et territoriale de l'État;Adm.gale&territori.;"À travers la mission « Administration générale et territoriale de l’État », le ministère de l’Intérieur met en œuvre trois de ses responsabilités fondamentales : garantir l’exercice des droits des citoyens dans le domaine des grandes libertés publiques, assurer la présence et la continuité de l’État sur l’ensemble du territoire de la République et mettre en œuvre au plan local les politiques publiques nationales. Chacun des programmes composant la mission y concourt : le programme 354 assure la cohérence de l’action de l’État au profit des territoires, avec une nouvelle organisation aujourd’hui stabilisée ; le programme 232, qui assure l’organisation de toutes les étapes des élections, sera mobilisé en 2022 par les élections présidentielle et législatives ; le programme 216 anime les fonctions de pilotage du ministère et maintient la cohérence des fonctions support transversales. Il poursuivra en 2022 ses efforts de modernisation et d’amélioration de l’efficience de la gestion des fonctions support."
PGM;BG;216;AB;09;Conduite et pilotage des politiques de l'intérieur;Cond.Pil.Interieur;"Le programme « Conduite et pilotage des politiques de l’intérieur » anime les fonctions de pilotage du ministère et maintient la cohérence des fonctions support transversales, y compris au niveau déconcentré (SGAMI) ainsi qu'au niveau interministériel. Celles-ci ont été marquées par trois réformes qui se traduisent en 2022 par la réalisation des grands projets du ministère : dans le domaine du numérique, la mise en œuvre de grands projets structurants parmi lesquels les réseaux radio haut débit et la poursuite du projet « administration numérique des étrangers en France » ; au travers de la modernisation de la fonction achat, source d’économies d’échelle ; avec la mise en œuvre du plan SGAMI 2022. Enfin, le ministère poursuit ses efforts de rationalisation de ses emprises immobilières. Deux projets phares doivent à moyen terme concrétiser cette stratégie : la création d’un site unique du renseignement intérieur et la constitution d’un grand pôle transversal des directions supports du ministère."
ACT;BG;216-01;;;État-major et services centraux;État-major et services ce;
SSA;BG;216-01-01;;;Cabinets des ministres et bureaux des cabinets des ministres;Cabinets des ministres et;
SSA;BG;216-01-02;;;Cabinet du secrétariat général et des services rattachés;Cabinet du secrétariat gé;
SSA;BG;216-01-03;;;Délégation à l'information et à la communication;Délégation à l'informatio;
SSA;BG;216-01-05;;;Inspection générale de l'administration;Inspection générale de l';
SSA;BG;216-01-07;;;Conseil national des activités privées de sécurité (CNAPS);Conseil national des acti;
SSA;BG;216-01-08;;;Autres études et recherches;Autres études et recherch;
SSA;BG;216-01-09;;;Direction des systèmes d'information et de communication : personnel;Direction des systèmes d';
SSA;BG;216-01-10;;;Services zonaux des systèmes d'information et de communication : soutien;Services zonaux des systè;
SSA;BG;216-01-11;;;Gestion des ressources humaines;Gestion des ressources hu;
SSA;BG;216-01-12;;;Direction générale des collectivités locales;Direction générale des co;
SSA;BG;216-01-14;;;Comité des finances locales;Comité des finances local;
SSA;BG;216-01-15;;;Fonctionnement général des services;Fonctionnement général de;
SSA;BG;216-01-16;;;Cultes;Cultes;
SSA;BG;216-01-17;;;Direction générale des outre-mer;Direction générale des ou;
ACT;BG;216-03;;;Numérique;Numérique;
SSA;BG;216-03-05;;;Numérique : maintien en condition opérationnelle;Maintien en condition opé;
SSA;BG;216-03-08;;;Numérique: opérations d'investissement;opération investissement;
ACT;BG;216-04;;;Action sociale et formation;Action sociale et formati;
SSA;BG;216-04-01;;;Action sociale : offre de services collectifs;Action sociale : offre de;
SSA;BG;216-04-02;;;Formation et recrutement;Formation et recrutement;
SSA;BG;216-04-07;;;Action sociale : partenariat social;Action sociale : partenar;
SSA;BG;216-04-08;;;Action sociale : insertion des personnes handicapées;Action sociale : insertio;
SSA;BG;216-04-09;;;Action sociale : professionnels de soutien;Action sociale : professi;
SSA;BG;216-04-10;;;Action sociale : missions transversales;Action sociale : missions;
ACT;BG;216-05;;;Affaires immobilières;Affaires immobilières;
SSA;BG;216-05-01;;;Immobilier de l'administration centrale : fonctionnement courant;Immobilier de l'administr;
SSA;BG;216-05-06;;;Opérations d'investissement;Opérations d'investisseme;
SSA;BG;216-05-10;;;Action sociale : immobilier;Action sociale : immobili;
SSA;BG;216-05-11;;;Immobilier administration centrale et déconcentrée;Immobilier administration;
SSA;BG;216-05-12;;;Immobilier des cultes;immo cultes;
ACT;BG;216-06;;;Affaires juridiques et contentieuses;Affaires juridiques et co;
SSA;BG;216-06-01;;;Refus de concours de la force publique : règlements amiables;Refus de concours de la f;
SSA;BG;216-06-02;;;Refus de concours de la force publique : contentieux;Refus de concours de la f;
SSA;BG;216-06-03;;;Attroupements : règlements amiables;Attroupements : règlement;
SSA;BG;216-06-04;;;Attroupements : contentieux;Attroupements : contentie;
SSA;BG;216-06-05;;;Autres mises en cause de l'Etat : règlements amiables;Autres mises en cause de ;
SSA;BG;216-06-06;;;Autres mises en cause de l'Etat : contentieux;Autres mises en cause de ;
SSA;BG;216-06-09;;;Protection juridique;Protection juridique;
SSA;BG;216-06-10;;;Litiges intervenant dans le cadre du droit des étrangers : règlements amiables;Litiges intervenant dans ;
SSA;BG;216-06-11;;;Litiges intervenant dans le cadre du droit des étrangers : règlements contentieux;Litiges intervenant dans ;
SSA;BG;216-06-12;;;Accidents de la circulation : dommages corporels;acc circ : corporels;
SSA;BG;216-06-13;;;Accidents de la circulation : dommages matériels;Acc circ : matériels;
ACT;BG;216-07;;;Cultes et laïcité;Cultes et laïcité;
SSA;BG;216-07-01;;;Cultes: subventions;Cultes subv;
SSA;BG;216-07-02;;;Laïcité;Laïcité;
