exercice;loi;typeBudget;ministere;mission;programme;action;sous-action;categorie;titre;ae;cp
2023.0;PLF;BG;6.0;EC;214.0;214-05;;21.0;2.0;3316105.0;3316105.0
2023.0;PLF;BG;70.0;DA;146.0;;146-07-36;31.0;3.0;0.0;30230623.0
2023.0;PLF;BG;12.0;DC;129.0;129-02;;21.0;2.0;70767181.0;70767181.0
2023.0;PLF;BG;43.0;TA;345.0;;345-11-02;62.0;6.0;1729906881.0;1729906881.0
2023.0;PLF;BG;10.0;JA;166.0;166-07;;32.0;3.0;35198000.0;35198000.0
2023.0;PLF;BG;36.0;TB;155.0;155-15;;23.0;2.0;734287.0;734287.0
2023.0;PLF;BG;38.0;RA;150.0;150-05;;22.0;2.0;12169315.0;12169315.0
2023.0;PLF;BG;70.0;DA;144.0;;144-07-01;31.0;3.0;7460801.0;8360801.0
2023.0;PLF;BG;23.0;TA;217.0;217-07;;22.0;2.0;323833753.0;323833753.0
2023.0;PLF;BG;7.0;PR;362.0;362-07;;64.0;6.0;0.0;367290000.0
2023.0;PLF;BG;7.0;GA;302.0;302-05;;22.0;2.0;42248056.0;42248056.0
2023.0;PLF;BG;9.0;AB;232.0;232-03;;22.0;2.0;1353170.0;1353170.0
2023.0;PLF;BG;70.0;DA;146.0;;146-07-43;51.0;5.0;286684889.0;327037404.0
2023.0;PLF;BG;3.0;AC;206.0;206-06;;22.0;2.0;132592551.0;132592551.0
2023.0;PLF;BG;6.0;EC;140.0;140-06;;21.0;2.0;845437532.0;845437532.0
2023.0;PLF;BG;70.0;DA;212.0;;212-50-01;23.0;2.0;2825089.0;2825089.0
2023.0;PLF;BG;1.0;AA;105.0;105-06;;22.0;2.0;45508879.0;45508879.0
2023.0;PLF;BG;12.0;VA;162.0;162-02;;63.0;6.0;90000.0;90000.0
2023.0;PLF;BG;23.0;RC;122.0;122-02;;52.0;5.0;4092200.0;3492200.0
2023.0;PLF;BG;70.0;RA;191.0;191-01;;32.0;3.0;13500000.0;13500000.0
2023.0;PLF;BG;70.0;DA;212.0;;212-67-05;21.0;2.0;2729518.0;2729518.0
2023.0;PLF;BG;70.0;DA;212.0;;212-58-01;21.0;2.0;77722301.0;77722301.0
2023.0;PLF;BA;23.0;XC;614.0;614-01;;31.0;3.0;10506658.0;10506658.0
2023.0;PLF;BG;70.0;DA;212.0;212-60;;22.0;2.0;206743490.0;206743490.0
2023.0;PLF;BG;7.0;DB;134.0;134-07;;32.0;3.0;100743904.0;100743904.0
2023.0;PLF;BG;7.0;GA;218.0;218-05;;31.0;3.0;194321241.0;183226319.0
2023.0;PLF;BG;23.0;TA;181.0;181-09;;21.0;2.0;38772373.0;38772373.0
2023.0;PLF;BG;12.0;DC;308.0;308-13;;21.0;2.0;520435.0;520435.0
2023.0;PLF;BG;7.0;PR;363.0;363-05;;32.0;3.0;0.0;17000000.0
2023.0;PLF;BG;23.0;TA;181.0;181-14;;64.0;6.0;4500000.0;5000000.0
2023.0;PLF;BG;10.0;JA;310.0;310-05;;51.0;5.0;0.0;13532880.0
2023.0;PLF;BG;9.0;AB;216.0;216-01;;21.0;2.0;392169910.0;392169910.0
2023.0;PLF;BG;12.0;CA;126.0;126-04;;31.0;3.0;6552740.0;6552740.0
2023.0;PLF;BG;7.0;GA;218.0;218-08;;31.0;3.0;810000.0;810000.0
2023.0;PLF;BG;1.0;AA;151.0;151-03;;21.0;2.0;47895526.0;47895526.0
2023.0;PLF;BG;38.0;RA;150.0;150-02;;21.0;2.0;17257630.0;17257630.0
2023.0;PLF;BG;23.0;TA;181.0;181-14;;62.0;6.0;600000.0;500000.0
2023.0;PLF;BG;6.0;EC;214.0;214-05;;64.0;6.0;2492690.0;2492690.0
2023.0;PLF;BG;70.0;DA;212.0;;212-54-05;21.0;2.0;111276758.0;111276758.0
2023.0;PLF;BG;9.0;SB;161.0;161-12;;23.0;2.0;147356.0;147356.0
2023.0;PLF;BG;23.0;VA;135.0;135-07;;63.0;6.0;15924000.0;11924000.0
2023.0;PLF;BG;9.0;SB;152.0;;152-01-02;21.0;2.0;9695640.0;9695640.0
2023.0;PLF;BG;70.0;DA;146.0;;146-09-59;31.0;3.0;1673041151.0;380435554.0
2023.0;PLF;BG;9.0;OA;123.0;123-03;;61.0;6.0;33904434.0;33499461.0
2023.0;PLF;BG;9.0;OA;138.0;138-02;;31.0;3.0;42000001.0;40932785.0
2023.0;PLF;BG;70.0;DA;212.0;;212-58-05;21.0;2.0;851702241.0;851702241.0
2023.0;PLF;BG;56.0;SE;304.0;304-18;;61.0;6.0;948834.0;948834.0
2023.0;PLF;BG;38.0;RA;231.0;231-02;;64.0;6.0;5963756.0;5963756.0
2023.0;PLF;BG;6.0;EC;139.0;139-12;;22.0;2.0;60627809.0;60627809.0
2023.0;PLF;BA;23.0;XC;614.0;614-04;;52.0;5.0;1460888.0;1460888.0
2023.0;PLF;BG;7.0;RB;198.0;198-04;;64.0;6.0;810663500.0;810663500.0
2023.0;PLF;BG;43.0;TA;345.0;;345-15-02;62.0;6.0;909607.0;909607.0
2023.0;PLF;CAS;43.0;YK;793.0;793-04;;64.0;6.0;30000000.0;30000000.0
2023.0;PLF;BG;10.0;JA;335.0;335-01;;22.0;2.0;707519.0;707519.0
2023.0;PLF;BG;70.0;DA;212.0;;212-52-02;21.0;2.0;47675085.0;47675085.0
2023.0;PLF;BG;10.0;JA;310.0;310-01;;23.0;2.0;44352.0;44352.0
2023.0;PLF;BG;7.0;PR;364.0;364-07;;63.0;6.0;0.0;70000000.0
2023.0;PLF;BG;2.0;CB;175.0;175-01;;62.0;6.0;20989462.0;24190119.0
2023.0;PLF;BG;9.0;SB;176.0;;176-01-01;21.0;2.0;46299437.0;46299437.0
2023.0;PLF;BG;12.0;VA;162.0;162-10;;64.0;6.0;0.0;956032.0
2023.0;PLF;BG;7.0;TR;348.0;348-11;;51.0;5.0;751303.0;11018240.0
