Extraction du;Type de recettes;Année;Code Compte;Libellé du compte;Code Section;Libellé de la section;Code Ligne Recettes ;Libellé Ligne Recette;Montant Recettes PLF 2024;Montant Recettes Amendements 2024;Montant Recettes LFI 2024;Prévisions  Recettes 2025;Prévisions Recettes 2026
2023102_14_29_20;Recettes Compte de commerce;2024.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-1;Cantine des détenus;912-1-14;Versements du budget général;12000000.0;0.0;12000000.0;12000000.0;12000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;907.0;Opérations commerciales des domaines;;;907-0-11;Ventes mobilières;40000000.0;0.0;40000000.0;40000000.0;40000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-6;Financement de la construction navale;915-6-61;Primes;10000000.0;0.0;10000000.0;10000000.0;10000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-1;Assurance-crédit et assurance-investissement;915-1-12;Récupérations;314000000.0;0.0;314000000.0;0.0;0.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-1;Cantine des détenus;912-1-11;Ventes de biens de cantine;117500000.0;0.0;117500000.0;119350000.0;121450000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires;;;901-0-11;Cessions de produits aux clients relevant du ministère de la défense;818935881.0;0.0;818935881.0;838966804.0;868901515.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-12;Vente à des clients;20000000.0;0.0;20000000.0;20000000.0;20000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-2;Assurance-prospection;915-2-21;Primes;25000000.0;0.0;25000000.0;32500000.0;36000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-1;Assurance-crédit et assurance-investissement;915-1-11;Primes et commissions d'engagement;369000000.0;0.0;369000000.0;746700000.0;746700000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-5;Risque exportateur;915-5-56;Versements du budget général;22000000.0;0.0;22000000.0;0.0;0.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;907.0;Opérations commerciales des domaines;;;907-0-16;Gestion des cités administratives;36000000.0;0.0;36000000.0;36000000.0;36000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;907.0;Opérations commerciales des domaines;;;907-0-18;Zone des cinquante pas géométriques dans les départements de la Guadeloupe et de la Martinique;500000.0;0.0;500000.0;500000.0;500000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;910.0;Couverture des risques financiers de l'État;;;910-0-12;Flux financiers reçus des contreparties financières;501500000.0;0.0;501500000.0;0.0;0.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-19;Versement du budget général;52182000000.0;0.0;52182000000.0;55742000000.0;60980000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-11;Versements des services du ministère de la justice;13000000.0;0.0;13000000.0;13000000.0;13250000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-7;Cap Francexport et Cap Francexport +;915-7-71;Primes;1500000.0;0.0;1500000.0;2500000.0;2500000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-11;Dette négociable : coupons courus des OAT;4370000000.0;0.0;4370000000.0;4568000000.0;5509000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-2;Travail des détenus en milieu pénitentiaire;912-2-23;Versements du budget général;3000000.0;0.0;3000000.0;3300000.0;3700000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-11;Cessions à des départements ministériels;734850000.0;0.0;734850000.0;741350000.0;749650000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-14;Gestion de la trésorerie : rémunération du compte courant du Trésor à la Banque de France;3000000.0;0.0;3000000.0;2000000.0;2000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;904.0;Lancement de certains matériels de guerre et matériels assimilés;;;904-0-10;Recettes;3924905.0;0.0;3924905.0;4286470.0;7495599.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-2;Travail des détenus en milieu pénitentiaire;912-2-21;Produits du travail des détenus;74200000.0;0.0;74200000.0;84300000.0;95400000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-3;Change;915-3-31;Primes;1000000.0;0.0;1000000.0;1000000.0;1000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-1;Cantine des détenus;912-1-12;Ventes de prestations de services de cantine;15300000.0;0.0;15300000.0;16000000.0;17700000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-13;Clients divers;12200000.0;0.0;12200000.0;13000000.0;13100000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-12;Versements d'autres administrations, collectivités, organismes et établissements publics;3600000.0;0.0;3600000.0;3850000.0;3950000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-3;Change;915-3-36;Versements du budget général;0.0;0.0;0.0;1000000.0;1000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-2;Assurance-prospection;915-2-26;Versements du budget général;89500000.0;0.0;89500000.0;76900000.0;61600000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-20;Recettes diverses ou exceptionnelles;3800000.0;0.0;3800000.0;3800000.0;3800000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-15;Gestion de la trésorerie : rémunération des prêts à court terme et des pensions sur titre d'État;708000000.0;0.0;708000000.0;670000000.0;1004000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires;;;901-0-12;Cessions de produits aux autres clients;82811808.0;0.0;82811808.0;82936678.0;82981103.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;910.0;Couverture des risques financiers de l'État;;;910-0-11;Versements en provenance des programmes ou comptes bénéficiaires, au titre de l'acquisition des instruments de couverture des risques;501500000.0;0.0;501500000.0;0.0;0.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;907.0;Opérations commerciales des domaines;;;907-0-19;Opérations réalisées en application de décisions de justice;6000000.0;0.0;6000000.0;6000000.0;6000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-3;Change;915-3-32;Récupérations;1000000.0;0.0;1000000.0;1000000.0;1000000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;915.0;Soutien financier au commerce extérieur;915-5;Risque exportateur;915-5-51;Primes;6700000.0;0.0;6700000.0;6700000.0;6700000.0
2023102_14_29_20;Recettes Compte d'opération monétaire;2024.0;953.0;Pertes et bénéfices de change;;;953-0-10;Recettes;25000000.0;0.0;25000000.0;25000000.0;25000000.0
2023102_14_29_20;Recettes Compte d'opération monétaire;2024.0;951.0;Émission des monnaies métalliques;;;951-0-10;Recettes;207000000.0;0.0;207000000.0;202700000.0;202700000.0
2023102_14_29_20;Recettes Compte de commerce;2024.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires;;;901-0-14;Recettes diverses;300000.0;0.0;300000.0;300000.0;300000.0
