Une dépense fiscale dont la fin du fait générateur est antérieure à l'année du projet de loi de finances est sur une ligne grisée,;empty;empty;empty;empty;empty;empty;empty;empty;empty;empty;$@Entete
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110223.0;Réduction d'impôt au titre de la prestation compensatoire versée en tout ou partie sous forme d'argent ou d'attributions de biens ou de droits ou sous forme de capital se substituant à des rentes;Finalité : Favoriser le versement de la prestation compensatoire sous forme de capital;;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320134.0;Crédit d'impôt pour le rachat des entreprises par les salariés;Finalité : Favoriser les reprises d'entreprises par leurs salariés;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120108.0;Exonération des sommes versées au titre de la participation, de l'intéressement, de l'abondement ou d'un partage de plus-value, aux plans d'épargne salariale et aux plans d'épargne retraite d'entreprise collectifs ou obligatoires;Finalité : Orienter l'épargne des salariés vers le capital de leur entreprise;;;;;;
Autres droits;Taxes sur le chiffre d'affaires des opérateurs du secteur audiovisuel et de communications électroniques;Taxe sur services fournis par les opérateurs de communications électroniques (TOCÉ);920301.0;Exclusion de l’assiette de la TOCE des dotations aux amortissements afférents aux matériels et équipements acquis pour les besoins des infrastructures et des réseaux de communications électroniques;Finalité : Aider le secteur numérique;;;;;;
Accise sur les énergies;Produits énergétiques autres que les gaz naturels et les charbons;Exonérations;800119.0;Tarif réduit (nul) pour les produits énergétiques (hors gaz naturels et charbons) destinés aux moteurs d'aéronefs et de navires lorsqu'ils sont utilisés dans le cadre de la construction, du développement, de la mise au point, des essais ou de l'entretien des aéronefs et navires et de leurs moteurs;Finalité : Aider les secteurs du transport maritime et aérien;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux réduit;730227.0;Taux de 5,5 % dans le secteur social et médico-social;Finalité : Aider les personnes âgées, modestes ou handicapées;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Plus-values;230510.0;Exonération des plus-values de cession de bateaux affectés au transport fluvial de marchandises;Finalité : Favoriser le secteur du transport fluvial;;;;;;
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50110.0;Exonération des immeubles situés dans un quartier prioritaire de la politique de la ville (QPV) et rattachés à un établissement implanté dans un QPV pouvant bénéficier de l'exonération de cotisation foncière des entreprises;Finalité : Aider certains espaces géographiques (urbains);;;;;;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140103.0;Exonération des intérêts des livrets bleus;Finalité : Orienter l'épargne vers l'immobilier social;;;;;;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Modalités de calcul;150210.0;Abattement exceptionnel de 70% ou de 85% applicable, sous conditions, aux plus-values de cessions d'immeubles bâtis destinés à la démolition, en vue de la construction de logements, situés dans le périmètre d’une opération de revitalisation du territoire (ORT) ou d’une grande opération d’urbanisme (GOU), réalisées du 1er janvier 2021 au 31 décembre 2025;;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110265.0;Réduction d'impôt en faveur de l'investissement locatif intermédiaire rénové (Dispositif Denormandie);Finalité : Augmenter l'offre de logements locatifs;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120146.0;Exonération de l’impôt sur le revenu, sous certaines conditions et limites, des rémunérations versées à raison des heures supplémentaires et complémentaires réalisées à compter du 1er janvier 2019;Finalité : Favoriser le recours aux heures supplémentaires;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210313.0;"Crédits d'impôt ""Prêt à taux zéro"" et ""Prêt à taux zéro renforcé PTZ+""";Finalité : Aider à l'acquisition de son logement;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120139.0;Exonération des sommes correspondant à des jours de congés non-pris ou prélevées sur un compte épargne-temps (CET) pour alimenter un PERCO ou un plan d'épargne retraite d'entreprise collectif ou obligatoire, dans la limite de dix jours par an;Finalité : Orienter l'épargne vers la préparation de la retraite;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre gratuit;Exonérations;520104.0;Exonération des mutations en faveur de certaines collectivités locales, de certains organismes, établissements publics ou d'utilité publique, ou de personnes morales ou d'organismes étrangers situés dans un Etat membre de l'Union européenne ou partie à l'Espace économique européen dont les objectifs et caractéristiques sont similaires;Finalité : Aider certains organismes publics et collectivités locales;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110239.0;Réduction d'impôt sur le revenu à raison des intérêts perçus au titre du différé de paiement accordé à des exploitants agricoles;Finalité : Aider le secteur agricole;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210326.0;Taxation au taux de 10% des revenus issus de certains actifs de propriété industrielle;Finalité : Améliorer la compétitivité des entreprises;;;;;;
