Budget;Mission;Code Programme; Programme;Code Titre;Titre;PLF 2024 AE;PLF 2024 CP;Prévision FDC/ADP 2024 AE;Prévision FDC/ADP 2024 CP;2025 AE;2025 CP;Prévision FDC/ADP 2025 AE;Prévision FDC/ADP 2025 CP;2026 AE;2026 CP;Prévision FDC/ADP 2026 AE;Prévision FDC/ADP 2026 CP; Ministère
BG;Médias, livre et industries culturelles;180.0;Presse et médias;6.0;Dépenses d’intervention;354840256.0;353800136.0;0.0;0.0;335426213.0;334386093.0;0.0;0.0;347971788.0;346931668.0;0.0;0.0;Culture
BG;Aide publique au développement;370.0;"Restitution des ""biens mal acquis""";6.0;Dépenses d’intervention;6100806.0;6100806.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Europe et affaires étrangères
BG;Recherche et enseignement supérieur;150.0;Formations supérieures et recherche universitaire;7.0;Dépenses d’opérations financières;14019826.0;62806146.0;0.0;0.0;14155836.0;14249076.0;0.0;0.0;9219926.0;12156426.0;0.0;0.0;Enseignement supérieur et recherche
BG;Culture;224.0;Soutien aux politiques du ministère de la culture;3.0;Dépenses de fonctionnement;88676216.0;86749767.0;0.0;1000000.0;96894940.0;94968491.0;0.0;0.0;103794940.0;101868491.0;0.0;0.0;Culture
BA;Contrôle et exploitation aériens;613.0;Soutien aux prestations de l'aviation civile;2.0;Dépenses de personnel;1341130265.0;1341130265.0;0.0;0.0;1374157907.0;1374157907.0;0.0;0.0;1404488894.0;1404488894.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Plan de relance;363.0;Compétitivité;5.0;Dépenses d’investissement;0.0;28691485.0;0.0;0.0;0.0;45899612.0;0.0;0.0;0.0;24780000.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
CAS;Pensions;742.0;Ouvriers des établissements industriels de l'État;3.0;Dépenses de fonctionnement;6858040.0;6858040.0;0.0;0.0;6873811.0;6873811.0;0.0;0.0;7770086.0;7770086.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Gestion des finances publiques;218.0;Conduite et pilotage des politiques économiques et financières;6.0;Dépenses d’intervention;291306.0;291306.0;0.0;0.0;291306.0;291306.0;0.0;0.0;291306.0;291306.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Action extérieure de l'État;185.0;Diplomatie culturelle et d'influence;3.0;Dépenses de fonctionnement;536447532.0;536447532.0;2000000.0;2000000.0;547382116.0;547382116.0;2000000.0;2000000.0;545894417.0;545894417.0;2000000.0;2000000.0;Europe et affaires étrangères
BG;Anciens combattants, mémoire et liens avec la Nation;158.0;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;6.0;Dépenses d’intervention;86199726.0;86199726.0;0.0;0.0;84471791.0;84471791.0;0.0;0.0;81702909.0;81702909.0;0.0;0.0;Services du Premier ministre
BG;Justice;107.0;Administration pénitentiaire;6.0;Dépenses d’intervention;15022630.0;15022630.0;0.0;0.0;15022630.0;15022630.0;0.0;0.0;15022630.0;15022630.0;0.0;0.0;Justice
BG;Écologie, développement et mobilité durables;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;3.0;Dépenses de fonctionnement;189615006.0;204551149.0;8600000.0;8600000.0;211068691.0;203722975.0;5600000.0;5600000.0;199208981.0;208179006.0;5600000.0;5600000.0;Transition écologique et cohésion des territoires
BG;Transformation et fonction publiques;348.0;Performance et résilience des bâtiments de l'Etat et de ses opérateurs;3.0;Dépenses de fonctionnement;13000000.0;12000000.0;0.0;0.0;21000000.0;19000000.0;0.0;0.0;10000000.0;13000000.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Justice;107.0;Administration pénitentiaire;2.0;Dépenses de personnel;3225380273.0;3225380273.0;0.0;0.0;3246003633.0;3246003633.0;0.0;0.0;3309657123.0;3309657123.0;0.0;0.0;Justice
BG;Défense;144.0;Environnement et prospective de la politique de défense;6.0;Dépenses d’intervention;105089391.0;105089391.0;0.0;0.0;63873987.0;63873987.0;0.0;0.0;64305099.0;64305099.0;0.0;0.0;Armées
BG;Défense;212.0;Soutien de la politique de la défense;6.0;Dépenses d’intervention;6487163.0;6247007.0;0.0;0.0;7526540.0;7134609.0;0.0;0.0;8305565.0;7478760.0;0.0;0.0;Armées
BG;Enseignement scolaire;143.0;Enseignement technique agricole;3.0;Dépenses de fonctionnement;15339797.0;15339797.0;0.0;0.0;16581426.0;16517016.0;0.0;0.0;16581426.0;16517016.0;0.0;0.0;Agriculture et souveraineté alimentaire
BA;Contrôle et exploitation aériens;613.0;Soutien aux prestations de l'aviation civile;3.0;Dépenses de fonctionnement;158180071.0;152437242.0;571800.0;571800.0;155417258.0;158405856.0;0.0;0.0;154946466.0;157129978.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Culture;361.0;Transmission des savoirs et démocratisation de la culture;6.0;Dépenses d’intervention;516716154.0;509051993.0;0.0;0.0;519716154.0;512051993.0;0.0;0.0;519716154.0;514051993.0;0.0;0.0;Culture
BG;Régimes sociaux et de retraite;195.0;Régimes de retraite des mines, de la SEITA et divers;6.0;Dépenses d’intervention;1070743693.0;1070743693.0;0.0;0.0;1044755712.0;1044755712.0;0.0;0.0;1008919650.0;1008919650.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Plan de relance;362.0;Écologie;6.0;Dépenses d’intervention;0.0;795218356.0;0.0;0.0;0.0;484361860.0;0.0;0.0;0.0;562722062.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Travail et emploi;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;6.0;Dépenses d’intervention;193306.0;193280.0;0.0;0.0;193306.0;193280.0;0.0;0.0;193306.0;193280.0;0.0;0.0;Travail, plein emploi et insertion
