Type de recettes;Année;Mission/Budget Annexe;Ligne de Recettes;Montant Recettes PLF 2024;Montant Recettes LFI 2024;Prévisions  Recettes 2025;Prévisions Recettes 2026
Recettes BA;2024.0;Contrôle et exploitation aériens;Recettes diverses;3500000.0;3500000.0;3500000.0;3500000.0
Recettes BA;2024.0;Publications officielles et information administrative;Prestations et travaux d'édition;1900000.0;1900000.0;1900000.0;1900000.0
Recettes BA;2024.0;Contrôle et exploitation aériens;Redevances de route;1553982000.0;1553982000.0;1691824000.0;1724445000.0
Recettes BA;2024.0;Contrôle et exploitation aériens;Produit de cession d'actif;2000000.0;2000000.0;2000000.0;2000000.0
Recettes BA;2024.0;Publications officielles et information administrative;Bulletin officiel des annonces civiles et commerciales;91000000.0;91000000.0;91000000.0;91000000.0
Recettes BA;2024.0;Contrôle et exploitation aériens;Tarif de l'aviation civile (part de la taxe sur le transport aérien de marchandises et de la taxe sur le transport aérien de passagers);511251279.0;511251279.0;532909753.0;551057468.0
Recettes BA;2024.0;Contrôle et exploitation aériens;Redevance océanique et redevances pour services terminaux de la circulation aérienne en outre-mer;45000000.0;45000000.0;45000000.0;45000000.0
Recettes BA;2024.0;Contrôle et exploitation aériens;Frais d'assiette et recouvrement sur taxes perçues pour le compte de tiers;5739890.0;5739890.0;6376512.0;7013134.0
Recettes BA;2024.0;Contrôle et exploitation aériens;Redevances pour services terminaux de la circulation aérienne pour la métropole;252826000.0;252826000.0;276645000.0;282290000.0
Recettes BA;2024.0;Contrôle et exploitation aériens;Tarif de solidarité de la taxe sur le transport aérien de passagers;0.0;0.0;0.0;0.0
Recettes BA;2024.0;Publications officielles et information administrative;Journal officiel de la République française - Lois et Décrets;0.0;0.0;0.0;0.0
Recettes BA;2024.0;Contrôle et exploitation aériens;Contribution Bâle-Mulhouse;5704627.0;5704627.0;5856238.0;6011879.0
Recettes BA;2024.0;Publications officielles et information administrative;Autres activités;500000.0;500000.0;500000.0;500000.0
Recettes BA;2024.0;Publications officielles et information administrative;Vente de publications et abonnements;1000000.0;1000000.0;1100000.0;1100000.0
Recettes BA;2024.0;Publications officielles et information administrative;Produit de cession d'actif;0.0;0.0;0.0;0.0
Recettes BA;2024.0;Publications officielles et information administrative;Bulletin officiel des annonces des marchés publics;66300000.0;66300000.0;68100000.0;66300000.0
Recettes BA;2024.0;Publications officielles et information administrative;Bulletin des annonces légales et obligatoires;6600000.0;6600000.0;6600000.0;6600000.0
Recettes BA;2024.0;Contrôle et exploitation aériens;Redevances de surveillance et de certification;27122617.0;27122617.0;28846822.0;29980178.0
