Année;Type de recettes;Code Ligne Recettes;Libellé;Montant Recettes PLF;Montant Recettes LFI
2024.0;Recettes fiscales;1406.0;Impôt sur la fortune immobilière;2439000000.0;2439000000.0
2024.0;Recettes non fiscales;2305.0;Produits de la vente de divers biens;67669.0;67669.0
2024.0;Recettes non fiscales;2618.0;Remboursement des frais de scolarité et accessoires;4845746.0;4845746.0
2024.0;Recettes fiscales;1404.0;Précompte dû par les sociétés au titre de certains bénéfices distribués (loi n°65-566 du 12 juillet 1965 art 3);0.0;0.0
2024.0;Recettes non fiscales;2201.0;Revenus du domaine public non militaire;1025000000.0;1025000000.0
2024.0;Recettes fiscales;1497.0;Cotisation sur la valeur ajoutée des entreprises;4160000000.0;4160000000.0
2024.0;Recettes fiscales;1705.0;Mutations à titre gratuit entre vifs (donations);3936000000.0;3936000000.0
2024.0;Recettes fiscales;1430.0;Taxe sur les services numériques;800000000.0;800000000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3146.0;Prélèvement sur les recettes de l'État au titre de la compensation des communes et EPCI contributeurs au fonds national de garantie individuelle des ressources (FNGIR) subissant une perte de base de cotisation foncière des entreprises;3000000.0;3000000.0
2024.0;Recettes fiscales;1781.0;Taxe sur les installations nucléaires de base;560000000.0;560000000.0
2024.0;Recettes non fiscales;2622.0;Divers versements de l'Union européenne;7483000000.0;7483000000.0
2024.0;Recettes non fiscales;2604.0;Divers produits de la rémunération de la garantie de l'État;361000000.0;361000000.0
2024.0;Recettes fiscales;1416.0;Taxe sur les surfaces commerciales;226000000.0;226000000.0
2024.0;Recettes non fiscales;2303.0;Autres frais d'assiette et de recouvrement;1101058634.0;1101058634.0
2024.0;Recettes non fiscales;2623.0;Reversements de fonds sur les dépenses des ministères ne donnant pas lieu à rétablissement de crédits;32698352.0;32698352.0
2024.0;Recettes non fiscales;2513.0;Pénalités;2160258.0;2160258.0
2024.0;Recettes non fiscales;2510.0;Frais de poursuite;12491893.0;12491893.0
2024.0;Recettes fiscales;1714.0;Prélèvement sur les sommes versées par les organismes d'assurances et assimilés à raison des contrats d'assurances en cas de décès;412000000.0;412000000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3121.0;Dotation de compensation de la réforme de la taxe professionnelle (EPCI);890110332.0;890110332.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3118.0;Dotation globale de construction et d'équipement scolaire;2686000.0;2686000.0
2024.0;Recettes fiscales;1701.0;Mutations à titre onéreux de créances, rentes, prix d'offices;675000000.0;675000000.0
2024.0;Recettes fiscales;1702.0;Mutations à titre onéreux de fonds de commerce;231000000.0;231000000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3159.0;Prélèvement sur les recettes de l’Etat au titre de la compensation de la réforme 2023 de la taxe sur les logements vacants pour les communes et les EPCI percevant la taxe d’habitation sur les logements vacants;24700000.0;24700000.0
2024.0;Recettes non fiscales;2409.0;Intérêts des autres prêts et avances;130250000.0;130250000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3134.0;Dotation de garantie des reversements des fonds départementaux de taxe professionnelle;272278000.0;272278000.0
2024.0;Recettes non fiscales;2304.0;Rémunération des prestations assurées par les services du Trésor Public au titre de la collecte de l'épargne;52013515.0;52013515.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3109.0;Prélèvement sur les recettes de l'État au profit de la collectivité territoriale de Corse;42946742.0;42946742.0
2024.0;Recettes non fiscales;2603.0;Prélèvements sur les fonds d'épargne gérés par la Caisse des Dépôts et Consignations;500000000.0;500000000.0
2024.0;Recettes fiscales;1499.0;Recettes diverses;1050000000.0;1050000000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3123.0;Dotation pour transferts de compensations d'exonérations de fiscalité directe locale;378003970.0;378003970.0
2024.0;Recettes fiscales;1101.0;Impôt sur le revenu;117616000769.0;117616000769.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3120.0;Dotation de compensation de la réforme de la taxe professionnelle (départements);1243315500.0;1243315500.0
2024.0;Recettes non fiscales;2301.0;Remboursement par l'Union européenne des frais d'assiette et de perception des impôts et taxes perçus au profit de son budget;778000000.0;778000000.0
2024.0;Recettes fiscales;1789.0;Prélèvement sur les jeux de cercle en ligne;125596468.0;125596468.0
2024.0;Recettes non fiscales;2299.0;Autres revenus du Domaine;2000000.0;2000000.0
2024.0;Recettes non fiscales;2204.0;Redevances d'usage des fréquences radioélectriques;417000000.0;417000000.0
2024.0;Recettes fiscales;1401.0;Retenues à la source sur certains bénéfices non commerciaux et de l'impôt sur le revenu;1080000000.0;1080000000.0
2024.0;Recettes non fiscales;2412.0;Autres avances remboursables sous conditions;0.0;0.0
2024.0;Recettes fiscales;1407.0;Taxe sur les locaux à usage de bureaux, les locaux commerciaux et de stockage;15000000.0;15000000.0
2024.0;Recettes non fiscales;2402.0;Intérêts des prêts du fonds de développement économique et social;18000000.0;18000000.0
