Type de recettes;Année;Libellé Mission;Code Section;Libellé Section;Code Ligne de recette;Libellé ligne de recette;Montant Recettes PLF 2024;Montant Recettes LFI 2024;Prévisions  Recettes 2025;Prévisions Recettes 2026
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-67;Recettes diverses : récupération des indus sur pensions : personnels civils;15000000.0;15000000.0;15000000.0;15000000.0
Recettes CAS;2024.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-83;Financement du traitement de membres de la Légion d'honneur : participation du budget général;229063.0;229063.0;229063.0;229063.0
Recettes CCF;2024.0;Prêts à des États étrangers;ZE-1;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;ZE-1-01;Remboursement des prêts accordés à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;276842146.0;276842146.0;252215327.0;244399221.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-55;Personnels militaires : contributions des employeurs : agents détachés hors l'État sur un emploi ne conduisant pas à pension (hors France Télécom et hors La Poste);3319751.0;3319751.0;3319751.0;3319751.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-26;Personnels civils : contributions des employeurs : agents propres de France Télécom et agents détachés à France Télécom;290274304.0;290274304.0;254697739.0;223760527.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-03;Personnels civils : retenues pour pensions : agents propres des établissements publics et agents détachés en établissement public sur un emploi conduisant à pension;885918771.0;885918771.0;893024666.0;899997803.0
Recettes CCF;2024.0;Prêts à des États étrangers;ZE-4;Prêts aux États membres de la zone euro;ZE-4-04;Remboursement des prêts consentis aux États membres de l'Union européenne dont la monnaie est l'euro;570242247.0;570242247.0;570242247.0;570242247.0
Recettes CCF;2024.0;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1-05;Remboursement des avances octroyées au titre de l'indemnisation des victimes du Benfluorex;15000000.0;15000000.0;15000000.0;15000000.0
Recettes CCF;2024.0;Prêts à des États étrangers;ZE-3;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;ZE-3-03;Remboursement de prêts octroyés par l'Agence française de développement;171500000.0;171500000.0;106500000.0;86500000.0
Recettes CCF;2024.0;Prêts et avances à des particuliers ou à des organismes privés;ZF-1;Prêts et avances pour le logement des agents de l'État;ZF-1-04;Avances aux agents de l'État à l'étranger pour la prise en location d'un logement;30765.0;30765.0;0.0;0.0
