Nature juridique du bénéficiaire;empty;empty;empty;Rattachement d'un operateur;empty;Bénéficiaire de la taxe;empty;Taxe affectée;empty;empty;empty;empty;empty;empty;empty;empty;empty;empty;Référence juridique
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;750412330.0;;;87.0;Etablissement public foncier local de Martinique;20.0;Taxes spéciales d'équipement;3000000.0;;;4037404.0;;;4037404.0;;;
Secteur;Catégorie d'opérateur ou répartition nature juridique;Catégorie d'opérateur ou nature juridique;;Mission;Programme;;Libellé;;Libellé;;Plafond 2022;Reversement BG 2022;;Plafond 2023;Reversement BG 2023;;Plafond 2024;Reversement BG 2024;Début du plafonnement
Autres bénéficiaires;Autres personnes morales de droit privé;Exploitant public;;;;44.0;FNAL - Fonds national d'aide au logement;21.0;Taxe annuelle sur les locaux à usage de bureaux, les locaux commerciaux, les locaux de stockage et les surfaces de stationnement annexées à ces catégories de locaux perçue dans la région Ile-de-France;66200000.0;66200000.0;0.0;66200000.0;66200000.0;0.0;66200000.0;66200000.0;0.0;LFR 2016 et LFI 2017
Organismes d'administration centrale;Autres personnes morales de droit public dépendant de l'Etat;Groupement d'intérêt public (GIP);;;;168.0;"Groupements d'intérêt public ""Objectif Meuse"" et ""Haute-Marne"" et Communes concernées";229.0;"TA-TINB - Taxe additionnelle à la taxe sur les installations nucléaires de base dite ""Accompagnement""";57809600.0;;;57809600.0;;;0.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130012024.0;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1.0;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;89.0;Taxe sur les déclarations et notifications de produit du tabac;;;;;;;;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130006372.0;Agriculture, alimentation, forêt et affaires rurales;149 Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;7.0;ASP - Agence de services et de paiement;11.0;Indemnité de défrichement;3000000.0;2000000.0;1000000.0;3000000.0;2000000.0;1000000.0;3000000.0;2000000.0;1000000.0;LFR-I 2014 et de la LFI 2015
Autres bénéficiaires;Associations;Association déclarée;784671497.0;;;91.0;ANFA - Association nationale pour la formation automobile;87.0;Taxe pour le développement de la formation professionnelle dans les métiers de la réparation de l'automobile, du cycle et du motocycle;32656722.0;;;32656722.0;;;32656722.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130024565.0;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189.0;France Compétences;1.0;PEFPC : Participation au financement de la formation des professions non salariées (Entreprises du Vivant, agriculture) correspondant à 0,30 % des revenus professionnels ou de l'assiette forfaitaire déterminés à l'article L. 731-16 du code rural et de la pêche maritime;62442299.0;;;66308000.0;;;63412007.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;530428903.0;;;84.0;Etablissement public foncier local Béarn - Pyrénées;20.0;Taxes spéciales d'équipement;2925000.0;;;2598658.0;;;2598658.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;180092561.0;;;117.0;CNSA;156.0;Contribution additionnelle de solidarité autonomie (CASA);822000000.0;;;864000000.0;;;828000000.0;;;
