Type de dépenses;Année;Code Compte;Libellé du compte;Code Section;Libellé de la section;Code Ligne Dépense;Libellé Ligne Dépense;Montant Dépenses PLF 2025;Prévision  Dépenses 2026;Prévision Dépenses 2027
Depenses Compte d'opération monétaire;2025.0;951.0;Émission des monnaies métalliques;;;951-0-30;Dépenses;96700000.0;96700000.0;96700000.0
Depenses Compte de commerce;2025.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-51;Dette négociable : intérêts des BTF;6887000000.0;6412000000.0;6579000000.0
Depenses Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-8;Stabilisation de taux;915-8-83;Intérêts défavorables sur stabilisation en USD;55000000.0;55000000.0;55000000.0
Depenses Compte de commerce;2025.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-55;Dette négociable : charge d'indexation du capital des OAT;5764000000.0;5701000000.0;6351000000.0
Depenses Compte de commerce;2025.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-35;Remboursement au budget général de l'État des émoluments d'agents affectés à la Régie industrielle des établissements pénitentiaires;1700000.0;1735000.0;1785000.0
Depenses Compte de commerce;2025.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-32;Entretien et fonctionnement des ateliers;7000000.0;7500000.0;7500000.0
Depenses Compte de commerce;2025.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-35;Remboursement, au budget de la défense, de charges de personnel;326600000.0;330200000.0;333500000.0
Depenses Compte de commerce;2025.0;907.0;Opérations commerciales des domaines;;;907-0-38;Zone des cinquante pas géométriques dans les départements de la Guadeloupe et de la Martinique;500000.0;500000.0;500000.0
Depenses Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-7;Cap Francexport et Cap Francexport +;915-7-72;Indemnisations, frais juridiques et autres frais directement liés;1000000.0;1000000.0;1000000.0
Depenses Compte de commerce;2025.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-31;Achats;14400000.0;15000000.0;15000000.0
Depenses Compte de commerce;2025.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-34;Rémunération du travail des détenus;9500000.0;10500000.0;10500000.0
Depenses Compte de commerce;2025.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-31;Achats de matières premières, fournitures, rechanges et sous-traitances;263250000.0;266250000.0;264750000.0
Depenses Compte de commerce;2025.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-60;Dette : intérêts payés sur dette de SNCF Réseau reprise par l'État;692000000.0;663000000.0;556000000.0
Depenses Compte de commerce;2025.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-56;Dette négociable : frais et commissions directement liés à la gestion de la dette négociable;50000000.0;50000000.0;50000000.0
Depenses Compte de commerce;2025.0;910.0;Couverture des risques financiers de l'État;;;910-0-31;Versements aux contreparties financières, pour l'acquisition des instruments de couverture des risques;426000000.0;0.0;0.0
Depenses Compte de commerce;2025.0;907.0;Opérations commerciales des domaines;;;907-0-36;Gestion des cités administratives;36000000.0;36000000.0;36000000.0
Depenses Compte de commerce;2025.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-39;Immobilisations;55100000.0;55700000.0;55700000.0
