﻿exercice;loi;typeBudget;ministere;libelle ministere;mission;libelle mission;programme;libelle programme;action;libelle action;sous-action;libelle sous action;categorie;titre;autorisation engagement;credit de paiement
2025;PLF;BG;2;Culture;AQ;Audiovisuel public;372;France Télévisions;372-01;France Télévisions;;;62;6;2548827000.0;2548827000.0
2025;PLF;BG;7;Budget et comptes publics;RD;Remboursements et dégrèvements;200;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);200-12;Remboursements et dégrèvements liées à des politiques publiques;200-12-02;Impôt sur le revenu;61;6;2252000000.0;2252000000.0
2025;PLF;BG;21;Économie, finances et industrie;AD;Aide publique au développement;110;Aide économique et financière au développement;110-01;Aide économique et financière multilatérale;;;73;7;1250000000.0;720548062.0
2025;PLF;BA;45;Partenariat avec les collectivités territoriales et décentralisation;XC;Contrôle et exploitation aériens;613;Soutien aux prestations de l'aviation civile;613-01;Ressources humaines et management;;;21;2;963520432.0;963520432.0
2025;PLF;BG;1;Europe et affaires étrangères;AD;Aide publique au développement;384;Fonds de solidarité pour le développement;384-01;Fonds de solidarité pour le développement;;;62;6;738000000.0;738000000.0
2025;PLF;BG;9;Intérieur;AB;Administration générale et territoriale de l'État;354;Administration territoriale de l'État;354-04;Pilotage territorial des politiques gouvernementales;;;21;2;508989854.0;508989854.0
2025;PLF;BG;45;Partenariat avec les collectivités territoriales et décentralisation;TA;Écologie, développement et mobilité durables;380;Fonds d'accélération de la transition écologique dans les territoires;380-01;Performance environnementale;;;63;6;500000000.0;569338855.0
2025;PLF;BG;7;Budget et comptes publics;RD;Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);201-04;Admission en non valeur d'impôts locaux;201-04-01;Admission en non valeur d'impôts locaux;63;6;466825000.0;466825000.0
2025;PLF;BG;3;Agriculture, souveraineté alimentaire et forêt;EC;Enseignement scolaire;143;Enseignement technique agricole;143-02;Mise en oeuvre des enseignements dans les établissements privés;;;64;6;374010000.0;374010000.0
2025;PLF;BG;2;Culture;CB;Culture;175;Patrimoines;175-03;Patrimoine des musées de France;;;32;3;329079204.0;329079204.0
2025;PLF;BG;45;Partenariat avec les collectivités territoriales et décentralisation;TA;Écologie, développement et mobilité durables;217;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217-16;Personnels œuvrant pour la politique de la prévention des risques;;;21;2;179165756.0;179165756.0
2025;PLF;BG;70;Armées et anciens combattants;DA;Défense;146;Équipement des forces;146-09;Engagement et combat;146-09-71;Opérer en milieu hostile - Evolution Exocet;31;3;150700000.0;28426607.0
2025;PLF;BG;45;Partenariat avec les collectivités territoriales et décentralisation;TA;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;203-45;Transports combinés;;;62;6;150405743.0;150405743.0
2025;PLF;BG;9;Intérieur;SB;Sécurités;176;Police nationale;176-06;Commandement, ressources humaines et logistique;176-06-09;Moyens mobiles;31;3;140597327.0;136332498.0
2025;PLF;BG;56;Solidarités, autonomie et égalité entre les femmes et les hommes;SE;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;304-16;Protection juridique des majeurs;;;62;6;119679178.0;119679178.0
2025;PLF;BG;10;Justice;JA;Justice;107;Administration pénitentiaire;107-04;Soutien et formation;;;31;3;110173653.0;110173653.0
2025;PLF;BG;45;Partenariat avec les collectivités territoriales et décentralisation;TA;Écologie, développement et mobilité durables;217;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217-16;Personnels œuvrant pour la politique de la prévention des risques;;;22;2;106222296.0;106222296.0
2025;PLF;BG;9;Intérieur;IA;Immigration, asile et intégration;303;Immigration et asile;303-02;Garantie de l'exercice du droit d'asile;;;32;3;102318985.0;102318985.0
2025;PLF;CAS;21;Économie, finances et industrie;YC;Participations financières de l'État;731;Opérations en capital intéressant les participations financières de l'État;731-04;Autres investissements financiers de nature patrimoniale;;;73;7;102000000.0;102000000.0
2025;PLF;BG;45;Partenariat avec les collectivités territoriales et décentralisation;TA;Écologie, développement et mobilité durables;217;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217-13;Personnels œuvrant pour la politique de l'eau et de la biodiversité;;;22;2;100938630.0;100938630.0
2025;PLF;BG;38;Enseignement supérieur et recherche;RA;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;150-15;Pilotage et support du programme;;;21;2;92221703.0;92221703.0
2025;PLF;BG;70;Armées et anciens combattants;DA;Défense;178;Préparation et emploi des forces;178-05;Logistique et soutien interarmées;178-05-80;Fonction santé;51;5;92062473.0;90211481.0
2025;PLF;BG;9;Intérieur;SB;Sécurités;152;Gendarmerie nationale;152-05;Exercice des missions militaires;152-05-01;Exercice des missions militaires - hors administration centrale et cabinet;21;2;89192216.0;89192216.0
2025;PLF;BG;2;Culture;CB;Culture;175;Patrimoines;175-01;Monuments Historiques et patrimoine monumental;;;32;3;84728463.0;84728463.0
2025;PLF;BG;70;Armées et anciens combattants;DA;Défense;212;Soutien de la politique de la défense;212-05;Systèmes d'information, d'administration et de gestion;;;52;5;76381804.0;55937180.0
2025;PLF;BG;1;Europe et affaires étrangères;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;105-03;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";;;21;2;73825269.0;73825269.0
2025;PLF;BG;6;Éducation nationale;EC;Enseignement scolaire;141;Enseignement scolaire public du second degré;141-13;Personnels en situations diverses;;;21;2;63981798.0;63981798.0
