Type de recettes;Année;Mission/Budget Annexe;Ligne de Recettes;Montant Recettes PLF 2025;Prévisions  Recettes 2026;Prévisions Recettes 2027
Recettes BA;2025.0;Publications officielles et information administrative;Bulletin officiel des annonces civiles et commerciales;100000000.0;100000000.0;100000000.0
Recettes BA;2025.0;Contrôle et exploitation aériens;Contribution Bâle-Mulhouse;9057935.0;9712775.0;10092799.0
Recettes BA;2025.0;Contrôle et exploitation aériens;Redevances de route;1741033840.0;1777743547.0;1774579073.0
Recettes BA;2025.0;Publications officielles et information administrative;Prestations et travaux d'édition;1800000.0;1800000.0;1800000.0
Recettes BA;2025.0;Publications officielles et information administrative;Autres activités;500000.0;500000.0;500000.0
Recettes BA;2025.0;Contrôle et exploitation aériens;Tarif de l'aviation civile (part de la taxe sur le transport aérien de marchandises et de la taxe sur le transport aérien de passagers);545790968.0;571297297.0;594872372.0
Recettes BA;2025.0;Publications officielles et information administrative;Bulletin officiel des annonces des marchés publics;71100000.0;66300000.0;66300000.0
Recettes BA;2025.0;Publications officielles et information administrative;Vente de publications et abonnements;1000000.0;1000000.0;1000000.0
Recettes BA;2025.0;Contrôle et exploitation aériens;Redevances pour services terminaux de la circulation aérienne pour la métropole;273116182.0;276532529.0;279942301.0
Recettes BA;2025.0;Contrôle et exploitation aériens;Redevances de surveillance et de certification;28850000.0;30000000.0;30500000.0
Recettes BA;2025.0;Contrôle et exploitation aériens;Recettes diverses;3500000.0;3500000.0;3500000.0
Recettes BA;2025.0;Contrôle et exploitation aériens;Tarif de solidarité de la taxe sur le transport aérien de passagers;0.0;0.0;0.0
Recettes BA;2025.0;Publications officielles et information administrative;Journal officiel de la République française - Lois et Décrets;0.0;0.0;0.0
Recettes BA;2025.0;Contrôle et exploitation aériens;Redevance océanique et redevances pour services terminaux de la circulation aérienne en outre-mer;46700000.0;47700000.0;48600000.0
Recettes BA;2025.0;Contrôle et exploitation aériens;Frais d'assiette et recouvrement sur taxes perçues pour le compte de tiers;6376512.0;7013134.0;7649756.0
Recettes BA;2025.0;Publications officielles et information administrative;Produit de cession d'actif;0.0;0.0;0.0
Recettes BA;2025.0;Publications officielles et information administrative;Bulletin des annonces légales et obligatoires;6600000.0;6600000.0;6600000.0
Recettes BA;2025.0;Contrôle et exploitation aériens;Produit de cession d'actif;2000000.0;2000000.0;2000000.0
