Type de recettes;Année;Libellé Mission;Code Section;Libellé Section;Code Ligne de recette;Libellé ligne de recette;Montant Recettes PLF 2025;Prévisions  Recettes 2026;Prévisions Recettes 2027
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-22;Personnels civils : contributions des employeurs : agents détachés dans une administration de l'État sur un emploi ne conduisant pas à pension (hors allocation temporaire d'invalidité);41963089.0;42513768.0;43037023.0
Recettes CAS;2025.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-81;Financement de la retraite du combattant : participation du budget général;505049999.0;466907777.0;431002522.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-01;Personnels civils : retenues pour pensions : agents propres de l'État et agents détachés dans une administration de l'État sur un emploi conduisant à pension;4870568312.0;4929742616.0;4986372585.0
Recettes CCF;2025.0;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1-10;Remboursement des prêts octroyés à FranceAgriMer au titre des préfinancements de fonds européens;0.0;6000000.0;15000000.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-47;Personnels militaires : retenues pour pensions : primes et indemnités ouvrant droit à pension;62998030.0;64081642.0;64633522.0
Recettes CCF;2025.0;Prêts et avances à des particuliers ou à des organismes privés;ZF-2;Prêts pour le développement économique et social;ZF-2-05;Prêts accordés au titre du soutien à la filière nickel;0.0;30000000.0;73000000.0
Recettes CCF;2025.0;Avances aux collectivités territoriales et aux collectivités régies par les articles 73, 74 et 76 de la Constitution;ZC-3;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;ZC-3-05;Recettes diverses;62542989684.0;62542989684.0;62542989684.0
Recettes CAS;2025.0;Participations financières de l'État;YC-1;Participations financières de l'État;YC-1-05;Remboursements de créances liées à d'autres investissements, de l'État, de nature patrimoniale;185500000.0;185500000.0;185500000.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-06;Personnels civils : retenues pour pensions : agents propres de France Télécom et agents détachés à France Télécom;51380728.0;44987335.0;39044501.0
Recettes CAS;2025.0;Pensions;YD-2;Ouvriers des établissements industriels de l'État;YD-2-71;Cotisations salariales et patronales;290794505.0;277484787.0;264941817.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-55;Personnels militaires : contributions des employeurs : agents détachés hors l'État sur un emploi ne conduisant pas à pension (hors France Télécom et hors La Poste);3154629.0;3154629.0;3154629.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-28;Personnels civils : contributions des employeurs : validation des services auxiliaires : part employeur : complément patronal, versements du régime général, des autres régimes de base et de l'IRCANTEC;6075508.0;3885452.0;2484852.0
