Année RAP;Type de Budget (Hors Budgets annexes);Code Mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;Code Catégorie;Catégorie;"EXEC AE 2018
RAP 2018";"EXEC CP 2018
RAP 2018";Code Titre;Titre;Code Ministère au 1er janvier 2018;Ministère au 1er janvier 2018
2018;BG;TB;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;03;Développement de l'emploi;01;Baisse du coût du travail pour faciliter le développement de territoires et de secteurs à forts potentiels d'emploi;62;Transferts aux entreprises;1629300699;1629300699;6;Dépenses d’intervention;MIN36;Travail
2018;BG;MB;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;03;Solidarité;36;Institution nationale des invalides : subventions;72;Dotations en fonds propres;0;800000;7;Dépenses d’opérations financières;MIN70;Armées
2018;BG;TB;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;12;Etudes, statistiques évaluation et recherche;;;31;Dépenses de fonctionnement autres que celles de personnel;3839788;4312291;3;Dépenses de fonctionnement;MIN36;Travail
2018;BG;VA;Cohésion des territoires;162;Interventions territoriales de l'État;08;Plan chlordécone en Martinique et en Guadeloupe;;;32;Subventions pour charges de service public;579840;489142;3;Dépenses de fonctionnement;MIN12;Services du Premier ministre
2018;BG;DA;Défense;146;Équipement des forces;08;Projection - mobilité - soutien;47;Assurer la mobilité - Hélicoptère NH 90;31;Dépenses de fonctionnement autres que celles de personnel;46178526;48322036;3;Dépenses de fonctionnement;MIN70;Armées
2018;BG;TA;Écologie, développement et mobilité durables;113;Paysages, eau et biodiversité;01;Sites, paysages, publicité;;;31;Dépenses de fonctionnement autres que celles de personnel;1571794;2075520;3;Dépenses de fonctionnement;MIN23;Transition écologique et solidaire
2018;BG;AC;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;21;Adaptation des filières à l'évolution des marchés;;;32;Subventions pour charges de service public;3754179;3798600;3;Dépenses de fonctionnement;MIN03;Agriculture et alimentation
2018;BG;CA;Conseil et contrôle de l'État;126;Conseil économique, social et environnemental;02;Fonctionnement de l'institution;;;31;Dépenses de fonctionnement autres que celles de personnel;6183946;6183946;3;Dépenses de fonctionnement;MIN12;Services du Premier ministre
2018;BG;JA;Justice;166;Justice judiciaire;01;Traitement et jugement des contentieux civils;;;23;Prestations sociales et allocations diverses;1945442;1945442;2;Dépenses de personnel;MIN10;Justice
2018;BG;EC;Enseignement scolaire;141;Enseignement scolaire public du second degré;11;Remplacement;;;23;Prestations sociales et allocations diverses;76756150;76756150;2;Dépenses de personnel;MIN06;Éducation nationale
