Année RAP;Type de Budget (Hors Budgets annexes);Code Ministère au 1er janvier 2018;Ministère au 1er janvier 2018;Code Programme;Programme;Code Action;Action;T1 EXEC AE 2018;T1 EXEC CP 2018;T2 EXEC AE 2018;T2 EXEC CP 2018;T3 EXEC AE 2018;T3 EXEC CP 2018;T4 EXEC AE 2018;T4 EXEC CP 2018;T5 EXEC AE 2018;T5 EXEC CP 2018;T6 EXEC AE 2018;T6 EXEC CP 2018;T7 EXEC AE 2018;T7 EXEC CP 2018
2018;CAS;MIN07;Action et comptes publics;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;03;Allocations temporaires d'invalidité;;;137835136;137835136;;;;;;;;;;
2018;BG;MIN07;Action et comptes publics;218;Conduite et pilotage des politiques économiques et financières;05;Prestations d'appui et support;;;199642104;199642104;159971379;244047843;;;2767040;4902019;402825;414825;;
2018;BG;MIN70;Armées;191;Recherche duale (civile et militaire);04;Autres recherches et développements technologiques duaux;;;;;12531804;12531804;;;;;;;;
2018;BG;MIN12;Services du Premier ministre;165;Conseil d'État et autres juridictions administratives;05;Fonction études, expertise et services rendus aux administrations de l'État et des collectivités;;;7745887;7745887;;;;;;;;;;
2018;BG;MIN23;Transition écologique et solidaire;203;Infrastructures et services de transports;51;Sécurité ferroviaire;;;;;501720;572021;;;4988347;6784987;18847520;26904783;;
2018;BG;MIN07;Action et comptes publics;195;Régimes de retraite des mines, de la SEITA et divers;07;Versements liés à la liquidation de l'ORTF;;;;;;;;;;;140000;140000;;
2018;BG;MIN09;Intérieur;176;Police nationale;04;Police des étrangers et sûreté des transports internationaux;;;871681649;871681649;368;368;;;;;;;;
2018;BG;MIN70;Armées;169;Reconnaissance et réparation en faveur du monde combattant;02;Gestion  des droits liés aux pensions militaires d'invalidité;;;;;5785765;5785765;;;;;126440173;126447414;;
2018;BG;MIN09;Intérieur;303;Immigration et asile;03;Lutte contre l'immigration irrégulière;;;;;73388454;70574983;;;4368642;3239897;27147352;27122344;;
2018;BG;MIN23;Transition écologique et solidaire;345;Service public de l'énergie;05;Frais de support;;;;;;;;;;;87220196;87220196;;
2018;BG;MIN01;Europe et affaires étrangères;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;;389961643;389961643;217123119;216475775;;;53638787;53076996;159788;159788;18453;18453
2018;BG;MIN02;Culture;175;Patrimoines;09;Patrimoine archéologique;;;;;83734324;83662432;;;755894;750937;52774370;52651395;1472000;1472000
2018;BG;MIN70;Armées;167;Liens entre la Nation et son armée;02;Politique de mémoire;;;;;3057512;3252948;;;118903;62793;22546869;22907397;625000;625000
2018;BG;MIN03;Agriculture et alimentation;206;Sécurité et qualité sanitaires de l'alimentation;01;Prévention et gestion des risques inhérents à la production végétale;;;;;8213376;8161010;;;98440;86545;17578856;17400298;0;20000
2018;BG;MIN12;Services du Premier ministre;308;Protection des droits et libertés;09;Défenseur des droits;;;15920133;15920133;5475211;5766502;;;21500;10750;20750;19250;;
2018;BG;MIN12;Services du Premier ministre;137;Égalité entre les femmes et les hommes;13;Soutien du programme égalité entre les femmes et les hommes;;;;;857792;931021;;;;;36512;33734;;
2018;BG;MIN09;Intérieur;307;Administration territoriale;02;Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres;;;561549103;561549103;22155292;21571556;;;7335;7204;30372387;30372387;;
2018;BG;MIN12;Services du Premier ministre;162;Interventions territoriales de l'État;09;Plan littoral 21;;;;;57520;1080;;;;;909869;223892;;
2018;BG;MIN21;Économie et finances;110;Aide économique et financière au développement;03;Traitement de la dette des pays pauvres;;;;;;;;;;;0;29537781;0;74513909
2018;BG;MIN38;Enseignement supérieur, recherche et innovation;231;Vie étudiante;04;Pilotage et animation du programme;;;;;94730950;94730950;;;;;;;2276602;2276602
