Année RAP;Type de Budget;Code Mission;Mission;Code Programme;Programme;"EXEC T2 (AE=CP)  2018
RAP 2018";"EXEC AE Hors T2  2018
RAP 2018";"EXEC CP Hors T2 2018
RAP 2018";"EXEC AE
 (T2 + Hors T2) 2018
RAP 2018";"EXEC CP
 (T2 + Hors T2) 2018
RAP 2018";"EXEC ETPT
 2018
RAP 2018";Code Ministère au 1er janvier 2018;Ministère au 1er janvier 2018
2018;Comptes de concours financiers;ZE;Prêts à des États étrangers;851;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;;120072550;208220638;120072550;208220638;;MIN21;Économie et finances
2018;Comptes de concours financiers;ZB;Avances à divers services de l'État ou organismes gérant des services publics;821;Avances à l'Agence de services et de paiement, au titre du préfinancement des aides communautaires de la politique agricole commune;;14012815337;14859091083;14012815337;14859091083;;MIN21;Économie et finances
2018;Budget général;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;333831600;72264804;70400220;406096404;404231820;3933;MIN12;Services du Premier ministre
2018;Budget général;CB;Culture;131;Création;;850313075;795783728;850313075;795783728;;MIN02;Culture
2018;Budgets annexes;XJ;Publications officielles et information administrative;624;Pilotage et ressources humaines;66319348;45213049;44639270;111532397;110958618;579;MIN12;Services du Premier ministre
2018;Budget général;JA;Justice;107;Administration pénitentiaire;2429919431;975403233;1067714484;3405322664;3497633915;39873;MIN10;Justice
2018;Budget général;RA;Recherche et enseignement supérieur;231;Vie étudiante;;2643752790;2650574099;2643752790;2650574099;;MIN38;Enseignement supérieur, recherche et innovation
2018;Budget général;AV;Investissements d'avenir;422;Valorisation de la recherche;;2370000000;227000000;2370000000;227000000;;MIN12;Services du Premier ministre
2018;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;845;Institut national de l'audiovisuel;;90411142;90411142;90411142;90411142;;MIN07;Action et comptes publics
2018;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;753;Contrôle et modernisation de la politique de la circulation et du stationnement routiers;;26200000;26200000;26200000;26200000;;MIN09;Intérieur
2018;Budget général;RA;Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);;174680656;174680656;174680656;174680656;;MIN70;Armées
2018;Budget général;AV;Investissements d'avenir;423;Accélération de la modernisation des entreprises;;983500000;743500000;983500000;743500000;;MIN12;Services du Premier ministre
2018;Budget général;MA;Médias, livre et industries culturelles;180;Presse et médias;;263919765;279597573;263919765;279597573;;MIN02;Culture
2018;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;309917771;240845374;242505967;550763145;552423738;4653;MIN03;Agriculture et alimentation
2018;Budget général;TA;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;;4950103696;5399084900;4950103696;5399084900;;MIN23;Transition écologique et solidaire
2018;Budget général;DC;Direction de l'action du Gouvernement;333;Moyens mutualisés des administrations déconcentrées;177612817;452529169;480566415;630141986;658179232;1957;MIN12;Services du Premier ministre
2018;Budget général;AC;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;;1565396122;2244009531;1565396122;2244009531;;MIN03;Agriculture et alimentation
2018;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;71695425;648065079;648165858;719760504;719861283;768;MIN01;Europe et affaires étrangères
2018;Budget général;JA;Justice;310;Conduite et pilotage de la politique de la justice;165465784;258571293;251223952;424037077;416689736;2235;MIN10;Justice
2018;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;861;Prêts et avances pour le logement des agents de l'État;;87359;87359;87359;87359;;MIN21;Économie et finances
2018;Comptes de concours financiers;ZE;Prêts à des États étrangers;852;Prêts à des États étrangers pour consolidation de dettes envers la France;;;;;;;MIN21;Économie et finances
2018;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;847;TV5 Monde;;78974350;78974350;78974350;78974350;;MIN07;Action et comptes publics
2018;Comptes de concours financiers;ZE;Prêts à des États étrangers;854;Prêts aux États membres de l'Union européenne dont la monnaie est l'euro;;;;;;;MIN21;Économie et finances
2018;Budget général;IA;Immigration, asile et intégration;303;Immigration et asile;;1221097286;1251875912;1221097286;1251875912;;MIN09;Intérieur
2018;Budget général;TA;Écologie, développement et mobilité durables;113;Paysages, eau et biodiversité;;150114689;150834333;150114689;150834333;;MIN23;Transition écologique et solidaire
2018;Budget général;PB;Pouvoirs publics;542;Indemnités des représentants français au Parlement européen;;;;;;;MIN07;Action et comptes publics
2018;Comptes d'affectation spéciale;YI;Services nationaux de transport conventionnés de voyageurs;786;Matériel roulant des services nationaux de transport conventionnés;;162600000;162600000;162600000;162600000;;MIN23;Transition écologique et solidaire
2018;Budget général;AA;Action extérieure de l'État;347;Présidence française du G7;;180098;75069;180098;75069;;MIN01;Europe et affaires étrangères
2018;Comptes de concours financiers;ZA;Accords monétaires internationaux;811;Relations avec l'Union monétaire ouest-africaine;;;;;;;MIN21;Économie et finances
2018;Budget général;DA;Défense;144;Environnement et prospective de la politique de défense;;1435018485;1394974330;1435018485;1394974330;;MIN70;Armées
2018;Budget général;CB;Culture;175;Patrimoines;;899760963;898248285;899760963;898248285;;MIN02;Culture
2018;Comptes d'affectation spéciale;YF;Développement agricole et rural;776;Recherche appliquée et innovation en agriculture;;68625662;69010711;68625662;69010711;;MIN03;Agriculture et alimentation
2018;Budget général;PB;Pouvoirs publics;533;Cour de justice de la République;;861500;861500;861500;861500;;MIN07;Action et comptes publics
2018;Budget général;DB;Économie;305;Stratégie économique et fiscale;149065303;276233522;274025662;425298825;423090965;1565;MIN21;Économie et finances
2018;Budget général;SB;Sécurités;176;Police nationale;9400808077;1408012146;1194937337;10808820223;10595745414;147563;MIN09;Intérieur
