code_mission_et_indicateur;Type de secteur;Budget;Code Mission;Mission;Code Programme;Programme;Code Objectif;Libellé Objectif;Ref programme pour objectif mission ou mention 'Objectif mission' pour objectif programme;Code Indicateur;Libellé Indicateur;Ref programme pour indicateur mission ou mention 'Indicateur mission' pour indicateur programme;Facteur de performance;Code Sous Indicateur;Libellé Sous Indicateur;Cotation Budget Vert / Egalité HF;Unité;Exec 2022;Exec 2023;2024 Cible;Exec 2024;Atteinte de la cible 2024;2025 Cible
AA-MAA-1-1;Mission;BG;AA;Action extérieure de l'État;;;MAA-1;Promouvoir le multilatéralisme et agir pour une Europe souveraine, unie, démocratique;(Objectif du P105);MAA-1-1;Optimiser l'effort français en faveur du maintien de la paix;(Indicateur du P105);Citoyen;21046.0;Évolution des mandats des opérations de maintien de la paix (OMP);;%;67;50;8;25;cible atteinte;0
AA-MAA-1-1;Mission;BG;AA;Action extérieure de l'État;;;MAA-1;Promouvoir le multilatéralisme et agir pour une Europe souveraine, unie, démocratique;(Objectif du P105);MAA-1-1;Optimiser l'effort français en faveur du maintien de la paix;(Indicateur du P105);Citoyen;31304.0;Pourcentage des évènements internationaux pour lesquels l’obtention du label « Évènement égalité femmes-hommes » a été proposée au Secrétaire général de l’évènement;Budget intégrant l'égalité Femmes-Hommes;%;Sans objet;Sans objet;40;Non connu;donnée non renseignée;40
AA-MAA-1-1;Mission;BG;AA;Action extérieure de l'État;;;MAA-1;Promouvoir le multilatéralisme et agir pour une Europe souveraine, unie, démocratique;(Objectif du P105);MAA-1-1;Optimiser l'effort français en faveur du maintien de la paix;(Indicateur du P105);Citoyen;25927.0;Effectifs totaux des fonctionnaires internationaux français et comparaison avec autres effectifs;;%;5,1;5;5,2;5,2;cible atteinte;5,2
AA-MAA-2-1;Mission;BG;AA;Action extérieure de l'État;;;MAA-2;Renforcer la qualité et l'efficience du service consulaire;(Objectif du P151);MAA-2-1;Délais de traitement des documents administratifs et des demandes de titres, de la prise de rendez-vous jusqu’à la délivrance au demandeur;(Indicateur du P151);Usager;13389.0;3. État Civil - exploitation des actes (SCEC) Demandes dématérialisées;;jours;9;11,5;7;3,5;cible atteinte;5
AA-MAA-2-1;Mission;BG;AA;Action extérieure de l'État;;;MAA-2;Renforcer la qualité et l'efficience du service consulaire;(Objectif du P151);MAA-2-1;Délais de traitement des documents administratifs et des demandes de titres, de la prise de rendez-vous jusqu’à la délivrance au demandeur;(Indicateur du P151);Usager;3211.0;1. Passeports (réseau);;jours;20;20;18;18;cible atteinte;18
AA-MAA-2-1;Mission;BG;AA;Action extérieure de l'État;;;MAA-2;Renforcer la qualité et l'efficience du service consulaire;(Objectif du P151);MAA-2-1;Délais de traitement des documents administratifs et des demandes de titres, de la prise de rendez-vous jusqu’à la délivrance au demandeur;(Indicateur du P151);Usager;3212.0;2. Cartes nationales d'identité (réseau);;jours;17;16;18;18;cible atteinte;18
AA-MAA-2-1;Mission;BG;AA;Action extérieure de l'État;;;MAA-2;Renforcer la qualité et l'efficience du service consulaire;(Objectif du P151);MAA-2-1;Délais de traitement des documents administratifs et des demandes de titres, de la prise de rendez-vous jusqu’à la délivrance au demandeur;(Indicateur du P151);Usager;13390.0;4. Visas court séjour;;jours;13;8;9;7,5;cible atteinte;9
AA-P105-1-1;Programme;BG;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;P105-1;Renforcer la sécurité internationale et la sécurité des Français;;P105-1-1;Accroître la sécurité de la France au travers de celle de nos partenaires;;Citoyen;30234.0;Taux de réalisation des objectifs de coopération de sécurité et de défense;;%;91;94;94;87;absence amélioration;95
AA-P105-1-1;Programme;BG;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;P105-1;Renforcer la sécurité internationale et la sécurité des Français;;P105-1-1;Accroître la sécurité de la France au travers de celle de nos partenaires;;Citoyen;30454.0;Part de femmes participant aux formations;Budget intégrant l'égalité Femmes-Hommes;%;7;8;7,8;8,5;cible atteinte;8
AA-P105-1-1;Programme;BG;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;P105-1;Renforcer la sécurité internationale et la sécurité des Français;;P105-1-1;Accroître la sécurité de la France au travers de celle de nos partenaires;;Citoyen;30453.0;Coût unitaire des formations par élève;;€;4200;4750;4750;5000;absence amélioration;5130
